"1CH.3.1", "Woyinom nye David ne mba a ɔwoo hɔn wɔ Hebron: abakan, Amnon a ɔnye Jezreelnyi Ahinoam woo no no; otsia ebien, Daniel a ɔnye Karmelnyi Abigail woo no no;", ""
"1CH.3.2", "otsia ebiasa, Absalom, Gesurhen Talmai ne babaa Maaka ba no; otsia anan, Adonija, Hagit ba no;", ""
"1CH.3.3", "otsia enum, Sefatia a ɔnye Abital woo no; otsia esia, Itream a ɔnye ne yer Egla woo no.", ""
"1CH.3.4", "Beesia na wɔwoo hɔn maa no wɔ Hebron; na hɔ na odzii hen mfe esuon na abosoom esia: na Jerusalɛm na odzii hen mfe eduasa ebiasa.", ""
"1CH.3.5", "Na woyinom na ɔwoo hɔn wɔ Jerusalɛm: Simea, Sobab, Natan, na Solomon, dɛm baanan yi na ɔnye Ammiel ne babaa Bat-seba woo hɔn.", ""
"1CH.3.6", "Ne mba no binom so nye; Ibhar, Elisua, Elifelet;", ""
"1CH.3.7", "Noga, Nefeg, na Jafia;", ""
"1CH.3.8", "Elisama, Eliada, na Elifelet. Wɔyɛ baakron.", ""
"1CH.3.9", "Woyinom nyinara wɔyɛ David ne mba, nna ɔsor nwewefo mba no so. Ɔwoo babaa so a ɔtoo no Tamar.", ""
"1CH.3.10", "Iyi nye Solomon n’asefo: Solomon, Rehoboam, Abija, Asa, Jehosafat;", ""
"1CH.3.11", "Joram, Ahazia, Joas;", ""
"1CH.3.12", "Amazia, Azaria, Jotam;", ""
"1CH.3.13", "Ahaz, Hezekia, Manaasɛ;", ""
"1CH.3.14", "Amon na Josia.", ""
"1CH.3.15", "Josia ne mba yɛ baanan. N’abakan nye Johanan, otsia ebien no Jehoiakim, ebiasa nye Zedekia, anan nye Sallum.", ""
"1CH.3.16", "Na Jehoiakim ne mba nye Jekonia, na Zedekia.", ""
"1CH.3.17", "Na Jekonia ndɔmmumnyi no ne mba nye; Sealtiel,", ""
"1CH.3.18", "Malkiram, Pedaia, Senazar, Jekamia, Hosama, na Nedabia.", ""
"1CH.3.19", "Na Pedaia ne mba nye Zerubabel, na Simei. Zerubabel ne mba nye Mesullam, na Hanania; na Selomit nye hɔn akyerɛbaa:", ""
"1CH.3.20", "Binom so nye Hasuba, Ohel, Berekia, Hasadia, Jusab-hesed, wɔyɛ beenum.", ""
"1CH.3.21", "Na Hanania ne mba nye Pelatia, na Jesaia. Jesaia ne ba nye Refaia, Refia ne nye ba Arnan, ne ba nye Obadia na ɔno so ne ba nye Sekania.", ""
"1CH.3.22", "Na Sekania ne ba nye Semaia: na Semaia ne ba nye Hatus, Igal, Baria, Nearia, na Safat, esia.", ""
"1CH.3.23", "Na Nearia ne mba nye; Elioenai, Hizkia, na Azrikam, baasa.", ""
"1CH.3.24", "Na Elioenai ne mba; Hodavia, na Eliasib, na Pelaia, na Akkub, Johanan, Delaia, na Anani, beesuon.", ""
