"1CH.4.1", "Juda ne mba nye; Perez, Hezron, Karmi, Hur, na Sobal.", ""
"1CH.4.2", "Na Sobal ne ba Reaia woo Jahat; na Jahat woo Ahumai na Lahad. Woyinom nye Zoratfo ebusuafo.", ""
"1CH.4.3", "Na woyinom nye Etam n’egya ne mba; Jezreel, na Isma, na Idbash: na hɔn akyerɛbaa ne dzin dze Hazelelponi:", ""
"1CH.4.4", "na Gedor n’egya nye Penuel, na Husa so n’egya nye Ezer. Woyinom nye Bɛtlɛhɛm n’egya Efrata, n’abakan Hur ne mba.", ""
"1CH.4.5", "Na Tekoa n’egya Ashur wɔ yernom beenu, Hela na Naara.", ""
"1CH.4.6", "Na Naara woo Ahuzzam, Hefer, Temeni, na Haahastari maa no. Woyinom nye Naara ne mba.", ""
"1CH.4.7", "Na Hela ne mba nye Zeret, Izhar, na Etnan.", ""
"1CH.4.8", "Na Hakoz woo Anub, na Zobeba, na Harum ne ba Aharhel n’ebusuafo.", ""
"1CH.4.9", "Na Jabez nyaa enyimnyam seen no nuanom: na ne na frɛɛ ne dzin Jabez, see dɛ, Medze yaw na mowoo no.", ""
"1CH.4.10", "Na Jabez frɛɛ Israel Nyankopɔn, see dɛ, Ao nkyɛ edze nhyira ara eehyira me, na aatrɛ me he mu, na wo nsa eedzi m’ekyir, na nkyɛ eesie me efi mbusu ho, ama ɔaammfa ɔhaw ammbrɛ me! Na Nyankopɔn maa no dza obisae no.", ""
"1CH.4.11", "Na Suha no nua Kelub woo Mehir a ɔyɛ Eston n’egya no.", ""
"1CH.4.12", "Na Eston woo Bɛt-rafa, na Pasea, na Ir-nahas n’egya Tehinna. Woyinom nye Reeka nkorɔfo.", ""
"1CH.4.13", "Na Kenaz ne mba; Otiniel, na Seraia: na Otiniel ne mba nye; Hatat na Meonotai.", ""
"1CH.4.14", "Na Meonotai woo Ofra: na Seraia woo Ge-harasim n’egya Joab; nna wɔyɛ edwimfo.", ""
"1CH.4.15", "Na Jefune ne ba Kaleb ne mba nye; Iru, Ela, na Naam: na Ela woo Kenaz.", ""
