"1CH.7.1", "Isakar ne mba nye yi; Tola, Pua, Jasub, na Simron. Wɔyɛ baanan.", ""
"1CH.7.2", "Tola ne mba nye; Uzi, Refaia, Jeriel, Jahmai, Ibsam, na Semuel, hɔn egyanom efiefi etsitsir, dɛ, Tola dze; mbarimba akatakyi a wɔyɛ ndam wɔ hɔn mbasantsen mu: hɔn dodow wɔ David ne nda no mu no ɔyɛ mpemeduonu ebien na ahaesia.", ""
"1CH.7.3", "Na Uzi ne ba nye Izrahia; na Izrahia ne mba nye; Maekɛl, Obadia, Joel, Ishia, beenum: hɔn nyinara nyimpa etsitsir a.", ""
"1CH.7.4", "Na hɔn a wɔka hɔn ho, nam hɔn mbasantsen do, dɛ mbrɛ hɔn egyanom efiefi tsetsee no, nye akodzi dɔm ekuwekuw, mpemeduasa esia: na wɔwɔ yernom na mba pii.", ""
"1CH.7.5", "Na hɔn nuanom a wɔwɔ Isakar ebusua ebusua nyinara mu, mbarimba akatakyi a wɔyɛ ndam no, wobuu hɔn ano dɛ mbrɛ hɔn ananakan tse no, wɔyɛ mpemeduowɔtwe esuon.", ""
"1CH.7.6", "Benjamin mba; Bela, Beker, na Jediael, baasa.", ""
"1CH.7.7", "Na Bela mba; Ezbon, na Uzi, na Uziel, na Jerimot, na Iri, beenum; egyanom efiefi etsitsir, mbarimba akatakyi a wɔyɛ ndam; na wɔkaan hɔn ananakan do mpemeduonu ebien na eduasa anan.", ""
"1CH.7.8", "Na Beker mba nye; Zemira, Joas, Eliezer, Elioenai, Omri, na Jeremot, Abija, na Anathot, na Alemet. Woyinom nyinara Beker ne mba a.", ""
"1CH.7.9", "Na wɔkaan hɔn ananakan do, dɛ mbrɛ hɔn mbasantsen tse, hɔn egyanom efiefi do etsitsir, mbarimba akatakyi a wɔyɛ ndam, mpemeduonu na ahaebien.", ""
"1CH.7.10", "Jediael asefo nye; Bilhan, Jeus, Benjamin, Ehud, Kenaana, Zetan, Tarsis, na Ahishahar.", ""
"1CH.7.11", "Woyinom nyinara yɛ Jediael n'asefo, dɛ mbrɛ hɔn egyanom efiefi tsetsee, mbarimba akatakyi a wɔyɛ ndam, mpemduesuon ahaenu a wotum fir edzi kedzi ako wɔ dɔm mu.", ""
"1CH.7.12", "Supim na Huppim yɛ Ir ne mba, na Husim yɛ Aher ne ba.", ""
"1CH.7.13", "Naftali ne mba nye; Jahziel, Guni, Jezer, na Sallum, wɔyɛ Bilha asefo.", ""
"1CH.7.14", "Manaasɛ mba; Asriel a ne yer woo no no: (no nwewe Aramnyi no woo Gilead n'egya Makir:", ""
"1CH.7.15", "na Makir waar Huppim na Supim akyerɛbaa a ne dzin dze Maaka;) na nyia otsia ebien no ne dzin dze Zelofehad: na Zelofehad nyaa mbabaa.", ""
"1CH.7.16", "Na Makir ne yer Maaka woo babanyin, na ɔfrɛɛ ne dzin Peres; na no nuabanyin dzin dze Seres; na ne mba nye Ulam na Rakem.", ""
"1CH.7.17", "Na Ulam ne ba nye Bedan. Woyinom fi Gilead, Makir na Manaasɛ mba mu.", ""
"1CH.7.18", "Na n'akyerɛbaa Hamoleket woo Isod, na Aiezer, na Mahala.", ""
"1CH.7.19", "Na Semida mba nye Ahian, Sekem, Likhi, na Aniam.", ""
"1CH.7.20", "Efraim asefo nye; Sutela, Bered, Tahat, Eleada, Tahat.", ""
"1CH.7.21", "Zabad, Sutela. Sutela, Ezer, na Elead a Gat mbarimba a wɔwoo hɔn wɔ asaase no do no kunkum hɔn, osiandɛ wɔkɔree dɛ worukowia hɔn mbowakuw akɔ.", ""
"1CH.7.22", "Na hɔn egya Efraim gyaam hɔn nda pii, na no nuanom baa dɛ wɔrebɛkyekye no werɛ.", ""
"1CH.7.23", "Na ɔkɔr ne yer nkyɛn, na onyinsenii, na ɔwoo babanyin, na ɔfrɛɛ ne dzin Beria, osiandɛ mbusu na ɔbaa ne fie.", ""
"1CH.7.24", "Na ne babaa nye Seera a ɔkyekyeer Bɛt-horon anaafo na etsifi, na Uzen-seera.", ""
"1CH.7.25", "Efraim ne ba kor so nye Refa a n'asefo nye Resef, Tela, Tahan;", ""
"1CH.7.26", "Ladan, Ammihud, Elisama;", ""
"1CH.7.27", "Nun, na Josua.", ""
"1CH.7.28", "Na hɔn egyapadze na hɔn tsenabew nye Bɛtɛl na no ho nkuroba, na boka afamu Naaran, na anee afamu Gezer, nye no ho nkuroba; Sekem so na no ho nkuroba, dze kodu Azza na no ho nkuroba;", ""
"1CH.7.29", "na Manaasɛmba hɔn ahe nkyɛn no, Bɛt-sean na no nkuroba, Taanak na no nkuroba, Megiddo na no nkuroba, Dor na no nkuroba. Iyinom mu na Israel ne ba Josef n'asefo tsenae.", ""
"1CH.7.30", "Aser mba; Imna, Isva, Isvi, Beria, na hɔn akyerɛbaa Sera.", ""
"1CH.7.31", "Na Beria mba; Heber, na Malkiel a ɔyɛ Birzait n'egya no.", ""
"1CH.7.32", "Na Heber woo Jaflɛt, Somer, na Hotam, na n'akyerɛbaa Sua.", ""
