"1CH.11.1", "Na Israel nyinara boaboaa hɔn ano kɔr David nkyɛn wɔ Hebron, dɛ, Hwɛ, yɛyɛ wo biew na wo honam.", ""
"1CH.11.2", "Mber a etwa mu asen no, mekyerɛ aber a Saul dzi hen no, ɔwo nye nyia ɔdze Israel kɔr sa na ɔdze hɔn sanee bae: na w'EWURADZE Nyankopɔn see wo dɛ, Ɔwo na ebɛnyɛn me man Israel, na ɔwo na ebɛyɛ bapɔmba wɔ me man Israel do.", ""
"1CH.11.3", "Na Israel mpanyimfo no nyinara baa ɔhen no nkyɛn wɔ Hebron; na David nye hɔn dzii ahyɛmu wɔ EWURADZE enyim wɔ Hebron; na wɔseraa David ngo hyɛɛ no ɔhen wɔ Israel do, dɛ mbrɛ EWURADZE n'asɛm a ɔnam Samuel do kae no tse.", ""
"1CH.11.4", "Na David na Israel nyinara sii mu kɔr Jerusalɛm (ɔnoara nye Jebus); nna Jebusfo no, asaase no do atsefo no, wɔwɔ hɔ.", "#Jos 15.63; Atsɛ 1.21"
"1CH.11.5", "Na Jebus atsefo no see David dɛ, Ɔwo mma mmba ha. Naaso David gyee Zion akoban no; ɔnoara so nye David kurow no.", ""
"1CH.11.6", "Na David see dɛ, Obiara a obedzi kan eku Jebusfo no ɔbɛyɛ otsitsir na safohen. Na Zeruia ne ba Joab dzii kan fowee kɔree, na wɔyɛɛ no otsitsir.", ""
"1CH.11.7", "Na David tsenaa akoban no mu; dɛm ntsi wɔfrɛɛ no David no kurow.", ""
"1CH.11.8", "Na ɔkyekyeer kurow no bɔɔ aprɔw, ɔdze fi Millo araa bɔɔ aprɔw: na Joab yɛɛ kurow nkaa no yie.", ""
"1CH.11.9", "Na David kɔr do yɛɛ otsitsir ara; osiandɛ dɔm EWURADZE no dzii n'ekyir.", ""
"1CH.11.10", "Afei woyinom nye mbarimba akatakyi a David nyae no mu etsitsir a wɔhyɛɛ hɔnho dzen kaa no ho wɔ n'ahendzi no mu, dɛ wɔnye Israel nyinara bɛhyɛ no hen, dɛ mbrɛ EWURADZE n'asɛm a ɔwɔ Israel ho no tse.", ""
"1CH.11.11", "Na mbarimba akatakyi a David nyae no hɔn dodow nye yi: Jasobeam Hakmonnyi bi ne ba no, eduasa no mu otsitsir no; ɔno na ɔmaa ne peaa do wɔ ahaasa do kum hɔn prɛko no.", ""
"1CH.11.12", "Na ɔno n'ekyir nye Eleazar, Dodo ba, Ahohnyi a ɔyɛ mbarimba baasa no mu baako no.", ""
"1CH.11.13", "Nna ɔno na ɔwɔ David nkyɛn wɔ Pas-dammim no, na hɔ na Filistiafo aboaboa hɔn ano dɛ wɔrobɔko. Nna asaasetɔw a atoko ayɛ do ma wɔ hɔ; na ɔman no fii Filistiafo no enyim guanee.", ""
"1CH.11.14", "Na wokegyinaa ne finimfin, na wɔperee, na wokum Filistiafo no; na EWURADZE nam konyim kɛse do gyee hɔn nkwa.", ""
"1CH.11.15", "Na etsitsir eduasa no mu baasa siaan famu kɔr ɔbotan no do wɔ David nkyɛn, wɔ Adullam ɔbo tu no mu; nna Filistiafo dɔm no akyer nsera wɔ Refaim ɔbɔn no mu.", ""
"1CH.11.16", "Aber no nna David wɔ tu no mu, na Filistiafo bansifo no so wɔwɔ Bɛtlɛhɛm aber no mu.", ""
"1CH.11.17", "Na David no kɔn dɔe, na ɔsee dɛ, Ao kɛtseankyɛ obi aama me Bɛtlɛhɛm nsubura a ɔwɔ kuropon no ho no mu nsu bi ma maanom!", ""
"1CH.11.18", "Na baasa no bɔe faa Filistiafo dɔm no mu, na wɔkɛsaaw Bɛtlɛhɛm nsubura a ɔwɔ kuropon no ho no mu nsu bi, na wɔfae dze brɛɛ David: naaso ɔammpɛ dɛ ɔnom, na mbom ohuei gui maa EWURADZE,", ""
"1CH.11.19", "na ɔsee dɛ, Me Nyankopɔn, ma ɔmpar me, dɛ mebɛyɛ iyi: ana monnom mbarimba yi a wɔdze hɔn nkwa kitsaa hɔn nsamu yi bɔgyaa? Osiandɛ wɔdze hɔn nkwa kitsaa hɔn nsamu kɛfae bae. Dɛm ntsi ɔammpɛ dɛ ɔnom. Iyi nye dza mbarimba akatakyi baasa no yɛe.", ""
"1CH.11.20", "Na Joab no nua Abishai, na ɔyɛ baasa no mu otsitsir: na ɔmaa ne peaa do wɔ ahaasa do kunkum hɔn, na onyaa dzin wɔ baasa no mu.", ""
"1CH.11.21", "Baasa no mu, ɔno na ɔyɛ onyimnyamfo dodow sen beenu no, na wɔyɛɛ no hɔn safohen: naaso ɔannto baasa no a wodzii kan no.", ""
"1CH.11.22", "Jehoiada ne ba Benaia, ɔbarimba bi a ɔyɛ ndam a ofi Kabzeel ne ba no a ɔyɛɛ akatakyidze no, ɔno na okum Moab nyimpa gyatasɛfo beenu no: na osianee so kokum gyata wɔ mona bi mu wɔ esukwankyɛba ber mu.", ""
"1CH.11.23", "Na okokum Egyptnyi bi, ɔbarimba kɛse bi a ne tsentsen yɛ basafa enum; na Egyptnyi no kitsa peaa a ɔtse dɛ ɔtanwemfo nsadua wɔ ne nsamu; na ɔdze poma sianee kɔr ne nkyɛn, na okohwiim peaa no wɔ Egyptnyi no nsamu, na ɔdze nankasa ne peaa no kum no.", ""
"1CH.11.24", "Iyinom na Jehoiada ne ba Benaia yɛe, na onyaa dzin wɔ mbarimba akatakyi baasa no mu.", ""
"1CH.11.25", "Hwɛ, ɔyɛ onyimnyamfo dodow sen eduasa no, na mbom ɔannto baasa no a wodzii kan no: na David dze no sii n'annkɔbeafo do.", ""
"1CH.11.26", "Eso dɔm no mu mbarimba akatakyi no nye yi; Joab no nua Asahel, Dodo ne ba Elhanan a ofi Bɛtlɛhɛm;", ""
"1CH.11.27", "Harorinyi Sammot, Pelonnyi Helez;", ""
"1CH.11.28", "Tekoanyi Ikkes ne ba Ira, Anathotnyi Abiezer;", ""
"1CH.11.29", "Husatnyi Sibekai, Ahohnyi Ilai;", ""
"1CH.11.30", "Netofatnyi Maharai, Netofatnyi Baana ne ba Heled;", ""
"1CH.11.31", "Ribai a ofi Benjaminmba Gibea ne ba Itai, Piratonnyi Benaia;", ""
"1CH.11.32", "Hurai a ofi Gaas nwora mu, Arbatnyi Abiel;", ""
"1CH.11.33", "Baharumnyi Azmavet, Saalbonnyi Eliaba;", ""
"1CH.11.34", "Gizonnyi Hasem ne mba, Hararnyi Sage ne ba Jonatan;", ""
"1CH.11.35", "Hararnyi Sakar ne ba Ahiam, Ur ne ba Elifal;", ""
"1CH.11.36", "Mekerathnyi Hefer, Pelonnyi Ahija;", ""
"1CH.11.37", "Karmelnyi Hezro, Ezbai ne ba Naarai;", ""
"1CH.11.38", "Natan no nua Joel, Hagri ne ba Mibhar;", ""
"1CH.11.39", "Ammonnyi Zelek, Berotnyi Naharai, Zeruia ne ba Joab n'akodzesoafo.", ""
"1CH.11.40", "Itrinyi Ira, Itrinyi Gareb;", ""
"1CH.11.41", "Hitinyi Uria, Ahlai ne ba Zabad;", ""
"1CH.11.42", "Reubennyi Siza ne ba Adina, Reubenfo mu otsitsir, na eduasa ka no ho;", ""
"1CH.11.43", "Maaka ne ba Hanan, na Mitnyi Josafat;", ""
"1CH.11.44", "Ashteratnyi Uzia, Aroernyi Hotam ne mba Sama na Jeiel;", ""
"1CH.11.45", "Simri ne ba Jediael, na no nua Tizinyi Joha;", ""
"1CH.11.46", "Mahavinyi Eliel, na Elnaam ne mba Jeribai, na Josa-via, na Moabnyi Itma;", ""
"1CH.11.47", "Eliel, na Obed, na Mezobanyi Jaasiel.", ""
