"1CH.13.1", "Na David nye apem apem do na ɔha ɔha do asafohemfo, mekyerɛ mbapɔmba no nyinara kɔr egyina.", ""
"1CH.13.2", "Na David see Israel bagua no nyinara dɛ, Sɛ oye ma hom, na sɛ ofir EWURADZE hɛn Nyankopɔn hɔ a, hom mma yentwar mu nsoma ma wɔnkɔ hɛn nuanom a wɔaka wɔ Israel asaase nyinara do beebiara, nye asɔfo na Levifo a wɔka hɔn ho wɔ hɔn edzidzibea nkurow mu no nkyɛn, ma wonhyiahyia hɔnho mbra hɛn nkyɛn:", ""
"1CH.13.3", "na yɛnkɛfa hɛn Nyankopɔn N'adakaa no mbra hɛn nkyɛn bio: osiandɛ Saul ne nda mu no yɛannhwehwɛ n'ekyir kwan.", ""
"1CH.13.4", "Na bagua no nyinara see dɛ wɔbɛyɛ dɛm: osiandɛ asɛm no tsen wɔ ɔman no nyinara enyi do.", ""
"1CH.13.5", "Nna David poon Israel man mu nyinara hyiae, ofi Egypt ɔwora Sihor ho araa dze kodu Hamat ahɛnee, dɛ wɔrekɛfa Nyankopɔn n'adakaa no efi Kiriat-jearim aba.", "#1 Sam 7.1, 2"
"1CH.13.6", "Na David na Israel nyinara fowee kɔr Baala, ɔno nye Kiriat-jearim a odzi wɔ Juda no, dɛ wɔrekɛfa Nyankopɔn, EWURADZE a ɔtse kerubfo no do a wɔdze Dzin no frɛ no no, n'adakaa no efi hɔ aba.", "#Eks 25.22"
"1CH.13.7", "Na woyii Nyankopɔn adakaa no wɔ tseaseanam fofor bi do, na wɔdze fii Abinadab fie firii: na Uza na Ahio piaa tseaseanam no.", ""
"1CH.13.8", "Na David na Israel nyinara dze hɔn ahoɔdzen nyinara goree wɔ Nyankopɔn enyim: mekyerɛ wɔdze ndwom, nye nsankutsen, na ɔnye bɛnta asanku, na mpintsin, na ɔnye akasaa, na mbɛn.", ""
"1CH.13.9", "Na aber a wodur Kidon ewuporoweebea no, Uza tseen ne nsa suoo adaka no mu; osiandɛ anantwi no fintsiwii.", ""
"1CH.13.10", "Na EWURADZE n'ebufuw dzɛwee wɔ Uza do, na ɔbɔɔ no, osiandɛ ɔtseen ne nsa kaa adaka no ntsi: na hɔ na owui wɔ Nyankopɔn enyim.", ""
"1CH.13.11", "Na David ammpɛ, osiandɛ EWURADZE ebu afa Uza do ntsi: na ɔfrɛɛ bea no Perez-Uza, dze bodu ndɛ da yi.", ""
"1CH.13.12", "Na David suroo Nyankopɔn da no, dɛ, Mibesi dɛn medze Nyankopɔn adakaa no aba me nkyɛn wɔ fie?", ""
"1CH.13.13", "Na David ennyi adaka no ammba ne nkyɛn wɔ David kurow no mu, na mbom ɔdze maan nkyɛn kɔr Gitinyi Obed-edom n'ebusua mu wɔ ne fie abosoom ebiasa.", ""
"1CH.13.14", "Na Nyankopɔn adakaa no kaa Obed-edom n'ebusua mu wɔ ne fie abosoom ebiasa: na EWURADZE hyiraa Obed-edom fi, na dza ɔwɔ nyinara.", "#1 Mbe 26.4, 5"
