"1CH.19.1", "Na iyi ekyir no ɔbaa dɛ Ammonmba hɔn hen Nahas wui, na ne ba bedzii hen wɔ n'ananmu.", ""
"1CH.19.2", "Na David see dɛ, Mebɛyɛ Nahas ne ba Hanun ayamuyie, osiandɛ n'egya yɛɛ me ayamuyie. Nna David somaa abɔfo dɛ wɔnkɛkyekye no werɛ wɔ n'egya ntsi. Na David no nkowaa baa Hanun nkyɛn wɔ Ammonmba asaase no do, dɛ wɔrebɛkyekye no werɛ.", ""
"1CH.19.3", "Nna Ammonmba asafohemfo no see Hanun dɛ, Ana edwen dɛ David dzi w'egya nyi ntsi na ɔasoma awerɛkyekyefo wɔ wo nkyɛn yi? Ana no nkowaa yi ammba wo nkyɛn dɛ wɔrobɔhwehwɛ asaase yi, woebobutuw no, na wɔaserasera ahwɛ bi a?", ""
"1CH.19.4", "Nna Hanun faa David no nkowaa no, na oyiyii hɔn, na otwitwaa hɔn ntar mu finimfin finimfin araa dze bodur hɔn nserɛekyir, na ogyaa hɔn kwan.", ""
"1CH.19.5", "Nna obi sii mu kɔree, na ɔkɛkaa mbrɛ wɔdze yɛɛ mbarimba no ho asɛm kyerɛɛ David. Na ɔsomae ma wokehyiaa hɔn kwan; osiandɛ woegu mbarimba no enyim ase kɛse. Na ɔhen no see dɛ, Hom ntsintsim wɔ Jeriko ma onkodu dɛ hom mbɔdwesa bofuw, ana nkyii hom asan aba.", ""
"1CH.19.6", "Na aber a Ammonmba no hun dɛ hɔn ho abɔn David no, Hanun na Ammonmba no wɔdze dwetɛ  talent   apem somae ma wɔdze kɛgyee Mesopotemia, na Aram-maaka, na Zoba ntseaseanam na mpɔnkɔdofo dɔm.", ""
"1CH.19.7", "Nna wɔgyee ntseaseanam mpemeduasa ebien, na Maakahen na ne man dɔm; hɔn a wɔbae bɛkyeer nsera wɔ Medeba enyim. Na Ammonmba no fifii hɔn nkurow mu poon hɔnho hyiae, na wɔbaa ɔsa.", ""
"1CH.19.8", "Na aber a David tsee no, nna ɔsomaa Joab, na mbarimba akatakyi dɔm no nyinara ma wɔkɔree.", ""
"1CH.19.9", "Na Ammonmba no puei, na wɔbaabaa mpasuar wɔ kurow no mu kuropon ano: na ahemfo no a wɔbae no hɔnara nko na wɔtsenaa wɔ haban no mu.", ""
"1CH.19.10", "Afei aber a Joab hun dɛ ɔko no wɔ n'enyim na n'ekyir no, nna ɔpaa Israel mu mbarimba a wɔasan mu eyi hɔn nyinara mu bi, na ɔmaa wɔdanee kehyiaa Siriafo no.", ""
"1CH.19.11", "Na nkorɔfo nkaa no ɔdze hɔn hyɛɛ no nua Abishai nsa, na wɔbaa hɔnho mu kɔr Ammonmba no do.", ""
"1CH.19.12", "Na ɔsee dɛ, Sɛ Siriafo no yɛ dzen dodow ma me a, ɔno bɔboa me: na sɛ Ammonmba no yɛ dzen dodow ma wo a, ɔno mo so mobɔboa wo.", ""
"1CH.19.13", "Nya akokodur, na ma yɛnyɛ hɛnho mbarimba mma hɛn man, na hɛn Nyankopɔn no nkurow no: na EWURADZE nyɛ dza oye wɔ n'enyiwa do.", ""
"1CH.19.14", "Nna Joab na nkorɔfo a wɔka no ho no twee piin Siriafo no enyim dze kɔbɔɔ enyim; na Siriafo no guanee wɔ n'enyim.", ""
"1CH.19.15", "Na aber a Ammonmba no hun dɛ Siriafo no eguan no, nna hɔn so woguanee wɔ no nua Abishai enyim, na wɔkɛhɛɛn kurow no mu. Nna Joab baa Jerusalɛm.", ""
"1CH.19.16", "Na aber a Siriafo no hun dɛ woegu wɔ Israel enyim no, nna wɔsomaa abɔfo, ma wɔkɔpoon Siriafo a wɔwɔ Esutsen egya no bae, dɛ Hadadezer no dɔm safohen Sofak na odzi hɔn enyim.", ""
"1CH.19.17", "Na wɔbɛkaa kyerɛɛ David; na ɔpoon Israel nyinara hyiae, na okotwaa Jordan, na ɔbaa hɔn do, na ɔbaa hɔn do mpasuar hyiaa hɔn. Dɛm ntsi aber a David baa mpasuar hyiaa Siriafo no, nna wɔnye no koe.", ""
"1CH.19.18", "Na Siriafo no guanee wɔ Israel enyim, na David kunkum Siriafo mu ntseaseanammufo no mu mpemesuon, na anamɔnmufo no mu mpemeduanan, na okum dɔm safohen panyin Sofak.", ""
"1CH.19.19", "Na aber a Hadadezer no nkowaa no hun dɛ woegu wɔ Israel enyim no, wɔnye David siesiei, na wɔsoom no: nkyii so Siriafo no ammpɛ dɛ wɔboa Ammonmba no bio.", ""
