"1CH.23.1", "Na David dzii mfe pii na ɔyɛɛ akɔdaa no; ɔdze ne ba Solomon sii Israel do hen.", "#1 Ahe 1.1-40"
"1CH.23.2", "Na ɔboaa Israel asafohen nyinara, ɔnye asɔfo na Levifo no ano hyiae.", ""
"1CH.23.3", "Na wɔkaan Levifo no, hɔn a woedzi mfe eduasa na ekyir no: na hɔn dodow dɛ mbrɛ wosi a wɔyɛ mbarimba ara nko yɛ mpem eduasa awɔtwe.", ""
"1CH.23.4", "Woyinom mu mpemeduonu anan na wɔnhwɛ EWURADZE fie edwuma no do; na mpemesia nyɛ akyerɛwfo na atsɛmbuafo:", ""
"1CH.23.5", "na mpemanan nyɛ abowanoahwɛfo; na mpemanan mfa ndzɛmba a, David kaa dɛ ɔyɛe maa ayɛyi no nyi EWURADZE ayɛw.", ""
"1CH.23.6", "Na David kyekyɛɛ hɔn mu ebupɛn ebupɛn dɛ mbrɛ Levi mba tse; Gerson, Kohat, na Merari.", ""
"1CH.23.7", "Gersonfo dze Ladan na Simei.", ""
"1CH.23.8", "Ladanmba otsitsir Jehiel, Zetam, na Joel, wɔyɛ baasa.", ""
"1CH.23.9", "Simeimba; Selomot, Haziel, na Haran, wɔyɛ baasa. Woyinom nye Ladan egyanom etsitsir.", ""
"1CH.23.10", "Na Simeimba; Jahat, Zina, na Jeus, na Beria. Baanan yinom nye Simeimba.", ""
"1CH.23.11", "Na Jahat nye otsitsir, na Ziza tsia hɔ: na Jeus na Beria ennya mba pii; dɛm ntsi wɔbɛyɛɛ egyanom fi kor wɔ nkanee kor mu.", ""
"1CH.23.12", "Kohat ne mba; Amram, Izhar, Hebron, na Uziel, baanan.", ""
"1CH.23.13", "Amram ne mba; Aaron na Moses: na woyii Aaron sii nkyɛn, dɛ ɔntsew akrɔnkrɔndze no ho, ɔno na ne mba, nkesi daa, dɛ wɔnhyew eduhuam wɔ EWURADZE enyim, na wɔnsom no, na wonhyira wɔ ne dzin mu, nkesi daa.", "#Eks 28.1"
"1CH.23.14", "Na Moses, Nyame nyimpa no dze, wɔbɔɔ ne mba no edzin foraa Levi ebusuakuw no mu.", ""
"1CH.23.15", "Moses ne mba; Gersom na Eliezer.", ""
"1CH.23.16", "Gersom ne mba; Sebuel otsitsir.", ""
"1CH.23.17", "Na Eliezer ne mba, Rehabia otsitsir. Na Eliezer ennya mba bi so bio; na Rehabia mba na wɔdɔɔ so dodow.", ""
"1CH.23.18", "Izhar ne mba; Selomit otsitsir.", ""
"1CH.23.19", "Hebron ne mba; Jeria otsitsir, Amaria tsia hɔ, Jahaziel tsia ebiasa, na Jekameam tsia anan.", ""
"1CH.23.20", "Uziel ne mba; Mika otsitsir, na Ishia tsia hɔ.", ""
"1CH.23.21", "Merari ne mba; Mahili na Mushi. Mahili ne mba; Eleazar na Kish.", ""
"1CH.23.22", "Na Eleazar wui, na oennya mbabanyin, dɛ mbabaa ara nko: na hɔn nuanom Kish mbabanyin no warwaar hɔn.", ""
"1CH.23.23", "Mushi ne mba; Mahili, Eder, na Jeremot, baasa.", ""
"1CH.23.24", "Woyinom nye Levimba no, dɛ mbrɛ hɔn egyanom efi tse, mekyerɛ egyanom mu etsitsir mu hɔn a wɔkan hɔn a wɔyɛ EWURADZE fie ɔsom edwuma no a woedzi mfe eduonu na ekyir no.", ""
"1CH.23.25", "Na David see dɛ, EWURADZE, Israel Nyankopɔn no ama ne man asomdwee; na ɔtse Jerusalɛm afebɔɔ.", ""
"1CH.23.26", "Na eso onnkehia ama Levifo no dɛ wɔsoa ntamadan no na no som ho ndzɛmba no nyina bio.", "#Deut 10.8"
"1CH.23.27", "Na wɔnam David ne nsɛm a odzi ekyir no do kaan Levimba no hɔn dodow, ofitsi hɔn a woedzi mfe eduonu na ekyir no.", ""
"1CH.23.28", "Na hɔn gyinabew wɔ Aaronmba no enyim dɛ wɔyɛ EWURADZE fie ɔsom edwuma no, wɔ abanguado, na mpia mu, na wɔtsew akrɔnkrɔndze nyinara ho, mekyerɛ EWURADZE fie ɔsom edwuma no;", "#Nka 3.5-9"
"1CH.23.29", "na kyerɛpaanoo no so, na edziban afɔr epitsi ntatar dze, anaa dza wɔakyew no wɔ sɛn mu, anaa dza wɔafɔw, na etwadze na esusudze nyinara;", ""
"1CH.23.30", "na wongyina hɔ anapa daa wɔnda EWURADZE ase wonyi no ayɛw, na ewimbir so dɛmara;", ""
"1CH.23.31", "na wɔmbɔ ɔhyew afɔr nyina mma EWURADZE, wɔ ahomgyenda mu, na abosoom fofor mu, na afahyɛ mu, no dodow mu dɛ mbrɛ atɔrmuadze tse daa nyina wɔ EWURADZE enyim:", ""
"1CH.23.32", "na dɛ wɔnhwɛ ehyiadzi ntamadan ahwɛdze, na krɔnkrɔnbea ahwɛdze, na hɔn nuanom Aaronmba ahwɛdze no mfa nsom EWURADZE ne fi no.", ""
