"1CH.24.1", "Na Aaronmba no hɔn mu nkyekyɛmu nye yinom. Aaron ne mba; Nadab na Abihu, Eleazar na Itamar.", ""
"1CH.24.2", "Na Nadab na Abihu dzii hɔn egya enyim wuwui, na woennya mba: dɛm ntsi Eleazar na Itamar bedzii asɔfo.", "#Lev 10.1, 2"
"1CH.24.3", "Na David kyekyɛɛ hɔn mu, mekyerɛ Zadok a ofi Eleazarmba mu, na Ahimelek a ofi Itamarmba mu, dɛ mbrɛ hɔn edwumayɛ dzibew tse wɔ hɔn som no mu.", ""
"1CH.24.4", "Na wohun Eleazarmba mu mbarimba etsitsir pii seen Itamarmba mu, na wɔkyekyɛɛ hɔn mu: Eleazarmba nyaa egyanom efi etsitsir duesia, na Itamarmba, dɛ mbrɛ hɔn efi tsetsee, awɔtwe.", ""
"1CH.24.5", "Dɛm na wosii dze tonto kyekyɛɛ hɔn mu, yinom nye yinom; na krɔnkrɔnbea asafohen na Nyankopɔn n’asafohen no nyina fi Eleazarmba mu, na Itamarmba mu.", ""
"1CH.24.6", "Na ɔkyerɛwfo Netanel a ofi Levifo mu no ne ba Semaia kyerɛɛw hɔn wɔ ɔhen, na asafohen, na ɔsɔfo Zadok, na Abiathar ba Ahimelek, na asɔfo na Levifo egyanom efiefi mu etsitsir no enyim: woyii egyanom fi kor maa Eleazar, na woyii kor so maa Itamar.", ""
"1CH.24.7", "Afei kyɛfa a odzi kan no bae maa Jehoiarib, dza otsia ebien no bae maa Jedaia;", ""
"1CH.24.8", "dza otsia ebiasa no bae maa Harim, dza otsia anan no bae maa Seorim;", ""
"1CH.24.9", "dza otsia enum no bae maa Malkija, dza otsia esia no bae maa Mijamin;", ""
"1CH.24.10", "dza otsia esuon no bae maa Hakoz, dza otsia awɔtwe no bae maa Abija;", ""
"1CH.24.11", "dza otsia akron no bae maa Jesua, dza otsia du no bae maa Sekania;", ""
"1CH.24.12", "dza otsia dubiako no bae maa Eliasib, dza otsia duebien no bae maa Jakim;", ""
"1CH.24.13", "duebiasa no bae maa Huppa, dza otsia duanan no bae maa Jesebeab;", ""
"1CH.24.14", "dza otsia duenum no bae maa Bilga, dza otsia duesia no bae maa Immer;", ""
"1CH.24.15", "duesuon no bae maa Hezir, duawɔtwe no bae maa Hap-pizez;", ""
"1CH.24.16", "dza otsia duakron no bae maa Petahia, eduonu no bae maa Jehezkel;", ""
"1CH.24.17", "dza otsia eduonu biako no bae maa Jakin, dza otsia eduonu ebien no bae maa Gamul;", ""
"1CH.24.18", "dza otsia eduonu ebiasa no bae maa Delaia, na dza otsia eduonu anan no bae maa Maazia.", ""
"1CH.24.19", "Iyi nye hɔn edwumayɛ dzibew wɔ hɔn som no mu, dɛ wɔnhɛn EWURADZE fie dɛ mbrɛ atɔrmuadze a wɔnam hɔn egya Aaron nsa do dze maa hɔn no tse, dɛ mbrɛ EWURADZE, Israel Nyankopɔn no, hyɛɛ no no.", ""
"1CH.24.20", "Na Levimba nkaa no dze: Amram mba dze, Subael; Subael mba dze, Jehseia.", ""
"1CH.24.21", "Rehabia dze; Rehabia mba dze, Ishia otsitsir no.", ""
"1CH.24.22", "Izharfo dze, Selomot; Selomot mba dze, Jahat.", ""
"1CH.24.23", "Na Hebron ne mba; Jeria otsitsir, Amaria tsia hɔ, Jahaziel tsia ebiasa, Jekameam tsia anan.", ""
"1CH.24.24", "Uziel ne mba, Mika; Mika mba dze, Samir.", ""
"1CH.24.25", "Mika no nua, Ishia: Ishia mba dze, Zekaria.", ""
"1CH.24.26", "Merari ne mba; Mahili na Mushi: Jaazia ne mba; Beno.", ""
"1CH.24.27", "Merari ne mba; Jaazia dze, Beno, na Soham, na Zakur, na Ibri.", ""
"1CH.24.28", "Mahili dze; Eleazar, ɔno oennya mba.", ""
"1CH.24.29", "Kish dze; Kish ne mba, Jerameel.", ""
"1CH.24.30", "Na Mushi ne mba; Mahili, Eder, na Jerimot. Woyinom nye Levifo mba dɛ mbrɛ hɔn egyanom efi tsetsee no.", ""
"1CH.24.31", "Woyinom so twee tonto dɛ hɔn nuanom Aaronmba no ara wɔ ɔhen David, na Zadok na Ahimelek, na asɔfo no na Levifo egyanom efi mu etsitsir no enyim; otsitsir no n’egyanom efi dɛ no nua kuma no dze no ara.", ""
