"1CH.26.1", "Abowanohwɛfo no mu nkyekyɛmu nye yi: Korafo no mu; Kore ba Meselemia a ofi Asaf mba mu.", ""
"1CH.26.2", "Na Meselemia nyaa mba; Zekaria n’abakan, Jediael tsia hɔ, Zebadia tsia ebiasa, Jatniel tsia anan:", ""
"1CH.26.3", "Elam tsia enum, Jehohanan tsia esia, Eliehoenai tsia esuon.", ""
"1CH.26.4", "Na Obed-edom nyaa mbabanyin baawɔtwe. Hɔn awoo ndzidzido ofi abakan do kesi kaaekyir do nye iyi: Semaia, Jehozabad, Joa, Sakar, Netanel,", "#2 Sam 6.11; 1 Mbe 13.14"
"1CH.26.5", "Ammiel, Isakar, na Peulletai: na Nyankopɔn hyiraa no.", ""
"1CH.26.6", "Na ne ba Semaia so wɔwoo mba maa no a wɔhwɛɛ hɔn egya fie do: na wɔyɛ mbarimba akatakyi a wɔyɛ ndam.", ""
"1CH.26.7", "Semaia ne mba; Otni, na Rafael, na Obed, Elzabad, no nuanom wɔyɛ mbarimba a wɔyɛ ndam, Elihu, na Semakia.", ""
"1CH.26.8", "Woyinom nyinara fi Obed-edom ne mba mu: wɔnye hɔn mba na hɔn nuanom, mbarimba akatakyi a wɔwɔ ɔsom mu ahoɔdzen; eduosia ebien a wɔyɛ Obed-edom dze.", ""
"1CH.26.9", "Na Meselemia nyaa mba na enuanom, mbarimba a wɔyɛ ndam duawɔtwe.", ""
"1CH.26.10", "Hosa a ofi Merarimba mu no so nyaa mba; Simri otsitsir, (ɔnnyɛ abakan dze, naaso n’egya yɛɛ no otsitsir;)", ""
"1CH.26.11", "Hilkia tsia hɔ, Tebalia tsia ebiasa, Zekaria tsia anan: Hosa ne mba na no nuanom nyinara wɔyɛ duebiasa.", ""
"1CH.26.12", "Woyinom nye abowanoahwɛfo no hɔn nkyekyɛmu, mbrɛ mbarimba etsitsir no tsetsee; wɔwɔ ɔweɔn edwuma dɛ hɔn nuanom no ara so, dɛ wɔnsom wɔ EWURADZE fie.", ""
"1CH.26.13", "Na wɔtwee tonto, ekumaba tse dɛ ɔkɛse, dɛ mbrɛ hɔn egyanom efi tsetsee, wɔ kuropon biara ano.", ""
"1CH.26.14", "Na boka afamu tonto no bɔɔ Selemia. Nna ne ba Zekaria a ɔyɛ nyimdzee mu ɔfotunyi no wɔtwee no ho tonto; na ne kyɛfa kedzii kwaamu afamu.", ""
"1CH.26.15", "Na Obed-edom dze wɔ pomu afamu; na ne mba dze nye akoradzedan no.", ""
"1CH.26.16", "Supim na Hosa dze wɔ anee afamu, Sal-leket kuropon ho, afowee tsempɔn no do, aweɔmfo no wɔ afa na afa hwɛ enyim.", ""
"1CH.26.17", "Levifo beesia wɔ boka afamu, baanan wɔ kwaamu afamu da kor, baanan wɔ pomu afamu da kor, na akoradzedan no ho dze, beenu beenu.", ""
"1CH.26.18", "Parbar dze, wɔ anee afamu, baanan wɔ tsempɔn no ano, na beenu wɔ Parbar ho.", ""
"1CH.26.19", "Woyinom nye abowanoahwɛfo no hɔn nkyekyɛmu; Korafo mba, na Merarimba no mu.", ""
"1CH.26.20", "Na Levifo no mu bi, Ahija hwɛ Nyankopɔn fie akoradze na akrɔnkrɔndze akoradze no do.", ""
"1CH.26.21", "Ladan, Gerson ne mba no kor; Gersonfo mba wɔyɛ Ladan dze no, egyanom efi mu etsitsir no kor na Gersonnyi Ladan asenyi Jehieli.", ""
"1CH.26.22", "Jehieli ne mba; Zetam, na no nua Joel a wɔhwɛ EWURADZE fie akoradze no do.", ""
"1CH.26.23", "Amramfo, Azharfo, Hebronfo, Uzielfo no mu:", ""
"1CH.26.24", "na Moses ne ba Gersom ne ba Sebuel na odzi akoradze no do ɔpanyin.", ""
"1CH.26.25", "Na no nuanom; Eliezer dze mu na ne ba Rehabia, na ne ba Jesaia, na ne ba Joram, na ne ba Zikri, na ne ba Selomot fi bae.", ""
"1CH.26.26", "Selomot yi na no nuanom na wodzii akrɔnkrɔndze a ɔhen David, na n’egyanom efi mu etsitsir no, apem apem na ɔha ɔha do asafohen na dɔm do asafohen no yɛɛ no krɔnkrɔn no nyinara akoradze do mpanyin.", ""
"1CH.26.27", "Akodzi mu asadze mu bi na wɔyɛɛ no krɔnkrɔn dɛ wɔdze repempam EWURADZE ne fi no.", ""
"1CH.26.28", "Na ndzɛmba nyinara so a adzehunyi Samuel, na Saul Kish ne ba no, na Abner Ner ba, na Joab Zeruia ba yɛɛ no krɔnkrɔn no; obiara n’adze biara a ɔayɛ no krɔnkrɔn no, ɔwɔ Selomot, na no nuanom nsamu.", ""
"1CH.26.29", "Izharfo mu Kenania na ne mba a wɔhwɛ Israel kwasafo edwuma no do, dɛ wɔyɛ akyerɛwfo na atsɛmbuafo.", ""
"1CH.26.30", "Hebronfo mu, Hasabia na no nuanom, mbarimba a wɔyɛ ndam, apem ahaesuon, na wɔhwɛ Israel do wɔ Jordan egya anee afamu; wɔ EWURADZE n’edwuma nyinara, na ɔhen no no som afamu.", ""
"1CH.26.31", "Hebronfo mu na otsitsir Jerija wɔ, mekyerɛ Hebronfo no mu, dɛ mbrɛ hɔn egyanom efi mu ebusuasantsen tse. David ahendzi mu afe a otsia eduanan mu na wɔhwehwɛɛ hɔn, na wohun hɔn mu mbarimba akatakyi a wɔyɛ ndam wɔ Jazer a ɔwɔ Gilead.", ""
"1CH.26.32", "Na no nuanom, mbarimba a wɔyɛ ndam no, wɔyɛ mpemebien ahaesuon, egyanom efi etsitsir a David dze hɔn sisii Reubenfo, Gadfo, na Manaasɛfo ebusua fa no do, wɔ asɛm biara a ɔfa Nyankopɔn ho, na ɔhen no no ho nsɛm ho.", ""
