"1CO.1.1", "Paul a wɔnam Nyankopɔn ne pɛ do wɔafrɛ no ayɛ no Jesus Kraest ɔsomafo, nye onua Sostenes,", ""
"1CO.1.2", "dze kɛma Nyankopɔn asɔr a ɔwɔ Korinte, wɔ hɔn a wɔatsew hɔn ho wɔ Kraest Jesus mu afrɛ hɔn dɛ wɔmbɛyɛ ahotseweefo, nye hɔn a wɔbɔ yɛnye hɔn nyina Ewuradze Jesus Kraest dzin wɔ mbea nyina no.", "#Ndwu 18.1"
"1CO.1.3", "Adom nye asomdwee a ofi hɛn Egya Nyankopɔn nye Ewuradze Jesus Kraest no nka hom.", ""
"1CO.1.4", "Meda me Nyankopɔn ase daa wɔ hom ho, wɔ Nyankopɔn adom a wɔdze adom hom wɔ Kraest Jesus mu ntsi,", ""
"1CO.1.5", "dɛ adze nyina mu wɔama hom enya hom ho wɔ no mu, wɔ kasahom nye nyimdzee nyina mu,", ""
"1CO.1.6", "dɛ mbrɛ Kraest ho dasedzi no etsim wɔ hom mu no;", ""
"1CO.1.7", "ama hom annka ekyir wɔ adom akyɛdze biara mu; ber a hom rotweɔn hɛn Ewuradze Jesus Kraest ne nyikyerɛ no:", ""
"1CO.1.8", "ɔno so na ɔbɛma hom etsim ekodu ewiei amma woeennhu mfom bi wɔ hom ho wɔ Ewuradze Jesus Kraest da no mu.", ""
"1CO.1.9", "Nyankopɔn a wɔnam no do afrɛ hom aba ne Ba hɛn Ewuradze Jesus Kraest anyɛnkoyɛ mu no, ɔyɛ nokwafo.", ""
"1CO.1.10", "Afei, enuanom, menam hɛn Ewuradze Jesus Kraest ne dzin do meserɛ hom dɛ hom nyina nka asɛnkor, na mma mpaapaamu mmba hom mu, na mbom hom nyina ndzi mu wɔ adwen kor nye tsirmsɛm kor mu.", ""
"1CO.1.11", "Na, mo nuanom, hɔn a wofi Kloe fie ebeyi me hom ho asotsiw dɛ wentwiwentwi wɔ hom mu.", ""
"1CO.1.12", "Dza mekyerɛ nye yi, hom nyina keka dɛ, Emi dze, meyɛ Paul dze, Emi dze, meyɛ Apollos dze, Emi dze, meyɛ Siifas dze, Emi dze, meyɛ Kraest dze.", "#Ndwu 18.24"
"1CO.1.13", "Ana wɔapaapaa Kraest mu? Ana Paul na wɔbɔɔ no mbeamudua mu maa hom? Anaa Paul dzin mu na wonumaa hom hyɛe?", ""
"1CO.1.14", "Meda Nyankopɔn ase dɛ mennuma hom mu bi gyedɛ dɛ Krispus nye Gaius,", "#Ndwu 18.8; Ndwu 19.29; Rom 16.23"
"1CO.1.15", "amma obi aannka dɛ wonumaa hom hyɛɛ mankasa me dzin mu.", ""
"1CO.1.16", "(Ɛhɛɛ, mekaa dɛ munumaa Stefanas fiefo: na nkaa no dze, sɛ munumaa bi dze a, ɔno minnyim.)", "#1 Kor 16.15"
"1CO.1.17", "Na nnyɛ dɛ Kraest somaa me dɛ mumbonuma ara bi, na mbom dɛ membɛka asɛmpa no, nnyɛ dɛ ɔkasanyansa mu ara bi, amma Kraest mbeamudua no aannyɛ kwa.", ""
"1CO.1.18", "Na mbeamudua no ho asɛm no yɛ nkwaseasɛm ma hɔn a wɔrehera, na hɛn a wɔregye hɛn nkwa no dze, ɔyɛ Nyankopɔn no tum ma hɛn.", ""
"1CO.1.19", "Osiandɛ wɔakyerɛw no dɛ, Mebɛsɛɛ enyansafo nyansaa, Na enyimdzefo nyimdzee no meyi no tokyen.", "#Isa 29.14"
"1CO.1.20", "Onyansafo wɔ hen? Ɔkyerɛwfo wɔ hen? Wiadze yi mu okyingyefo wɔ hen? Ana Nyankopɔn nndaan wiadze nyansaa nkwaseasɛm bi?", "#Job 12.17; Isa 19.12; 33.18; Isa 44.25"
"1CO.1.21", "Na Nyankopɔn nyansaa mu no, wiadze ammfa nyansa do ennhu Nyankopɔn no, ɔsɔɔ Nyankopɔn enyi dɛ ɔnam asɛnka no nkwaseasɛm no do bɛgye hɔn a wɔgye dzi nkwa.", ""
"1CO.1.22", "Osiandɛ Jewfo rohwehwɛ asɛnkyerɛdze, na Griikfo dze, wɔhwehwɛ nyansa;", ""
"1CO.1.23", "na hɛn dze, yɛka Kraest a wɔbɔɔ no mbeamudua mu ho asɛm, dza ɔyɛ fintsidua ma Jewfo, na nkwaseasɛm ma amanamamfo no.", ""
"1CO.1.24", "Na hɔn a wɔafrɛ hɔn no dze, Jewfo o, Griikfo o, Kraest yɛ Nyankopɔn no tum na Nyankopɔn ne nyansaa ma hɔn.", ""
"1CO.1.25", "Osiandɛ dza ɔyɛ dɛ Nyankopɔn nkwaseadze yi yɛ nyansa kyɛn nyimpa ne nyansaa, na Nyankopɔn n'adze a ɔyɛ mberɛw yɛ dzen kyɛn nyimpa dze.", ""
"1CO.1.26", "Na, enuanom, hom nhwɛ hom frɛ no ara mpo ɛ, dɛ hom nnyɛ honam afamu enyansafo pii, nnyɛ etumfo pii, nnyɛ adehye pii:", ""
"1CO.1.27", "na wiadze nkwaseadze na Nyankopɔn apa dɛ ɔdze bɛhyɛ enyansafo enyito, na wiadze mu dza ɔyɛ mberɛw na Nyankopɔn apa dɛ ɔdze bɛhyɛ dza ɔyɛ dzen enyito;", ""
"1CO.1.28", "na wiadze mu dza onnyi dzin, nye dza wommbu no hwee na Nyankopɔn apa, ndzɛmba a onnyi hɔ mpo, dɛ ɔdze bɛma dza ɔwɔ hɔ ayɛ kwa;", ""
"1CO.1.29", "amma honam biara aannhyehyɛ noho wɔ Nyankopɔn enyim.", ""
"1CO.1.30", "Na Nyankopɔn mu na ofi na hom wɔ Kraest Jesus mu, ɔno na wofi Nyankopɔn mu ayɛ no nyansa nye tsenenee, nye ahotsew, nye ɔgye ama hɛn:", ""
"1CO.1.31", "dɛ mbrɛ wɔakyerɛw no dɛ, Nyia ɔhyehyɛ noho, wɔmma ɔnhyehyɛ noho wɔ Ewuradze mu no.", "#Jer 9.24"
