"1CO.4.1", "Dɛm na hom mma nyimpa mbu hɛn, dɛ Kraest asomfo nye Nyankopɔn esumasɛm do ahwɛfo.", ""
"1CO.4.2", "Na, afei, dza wɔhwehwɛ no ɔhwɛfo ho nye dɛ wohu no ɔnokwafo.", ""
"1CO.4.3", "Na emi dze, ɔyɛ me asɛm ketseaba bi dɛ hom anaa nyimpa abaguafo bobu me atsɛn: mankasa mpo mummbu moho atsɛn.", ""
"1CO.4.4", "Na mankasa minnyim biribi tsia mo ho, naaso minndzi bem wɔ iyi mu: nyia obu me atsɛn nye Ewuradze.", ""
"1CO.4.5", "Dɛm ntsi mma hom nntwar ber ano mmbu biribi ho atsɛn, ma onkodu dɛ Ewuradze bɛba, ɔno na ɔdze sum mu dza osuma nyina bɛba kan mu, na oeyi akoma mu apam edzi: nna obiara benya n'ayɛyi efi Nyankopɔn hɔ.", ""
"1CO.4.6", "Nsɛm yi, enuanom, madan ama mankasa moho nye Apollos ma hom eesua wɔ hɛn ho dɛ mma hom nntra dza wɔakyerɛw no, amma ɔbaako ntsi obi aannhoran enntsia ɔbaako.", ""
"1CO.4.7", "Na woana na ɔma eyɛ dansewa fi afofor mu? Na ebɛnadze na ewɔ a wɔammfa amma wo? Na sɛ inyae a, ɔyɛ dɛn na ehyehyɛ woho dɛ gyama ennya?", ""
"1CO.4.8", "Hom ewie mee dada; nyew, hom enya hom ho dada; hom ekwetsir hɛn edzi hen: nkyɛ mepɛ dɛ hom dzi hen ampa, ama hɛn so yɛnnye hom eedzi.", ""
"1CO.4.9", "Na mususu dɛ Nyankopɔn dze hɛn asomafo edzi ekyir, dɛ hɔn a woeyi hɔn ama owu; osiandɛ yɛayɛ ahwɛdze ama wiadze nye abɔfo nye nyimpa.", ""
"1CO.4.10", "Yɛyɛ nkwasea wɔ Kraest ntsi, na hom dze, hom yɛ enyansafo wɔ Kraest mu; yɛyɛ mberɛw, na hom dze, hom yɛ dzen; hom dze, wɔdze enyidzi ma hom, na hɛn dze, wommbu hɛn hwee.", ""
"1CO.4.11", "Ɔdze bodu sesei dɔn yi mu ɔkɔm nye nsukɔm nyina dze hɛn, yedzi adagyaw, wɔbɔ hɛn ekutuku, yennyi beebi tse;", ""
"1CO.4.12", "na yɛberɛ dze hɛnara hɛn nsa yɛ edwuma; wɔyaw hɛn a, yehyira; wɔhaw hɛn a, yɛpen do;", "#Ndwu 18.3"
"1CO.4.13", "wɔsɛɛ hɛn dzin a, yɛka abodweesɛm kyerɛ hɔn; yɛayɛ dɛ wiadze fi, nyimpa mu ntɔmpamu dze ebodu ndɛ.", ""
"1CO.4.14", "Nnyɛ dɛ merebɛhyɛ hom fɛr ntsi na merekyerɛw iyi, na mbom dɛ murubotu hom fo dɛ mba a modɔ hɔn a.", ""
"1CO.4.15", "Na sɛ hom wɔ akwankyerɛfo pedu wɔ Kraest mu mpo a, hom nnyi egyanom pii: na emi na menam asɛmpa no do mowoo hom wɔ Kraest Jesus mu.", ""
"1CO.4.16", "Dɛm ntsi meserɛ hom, hom nsuasua me.", "#1 Kor 11.1; Fil 3.17"
"1CO.4.17", "Iyi ntsi na masoma Timoti a ɔyɛ me ba dɔfo nye nokwafo wɔ Ewuradze mu no wɔ hom nkyɛn; ɔno na ɔbɛkaa hom m'akwan a ɔwɔ Kraest mu, dɛ mbrɛ mekyerɛkyerɛ wɔ asɔrasɔr nyina mu, wɔ mbeambea nyina no.", ""
"1CO.4.18", "Na wosusu dɛ gyama meremmba hom nkyɛn ntsi na binom rohoran no.", ""
"1CO.4.19", "Na sɛ Ewuradze pɛ a, mebɛba hom nkyɛn ntsɛmara, na mubohu hɔn a wɔahoran no hɔn tum, na nnyɛ hɔn nsɛm a.", ""
"1CO.4.20", "Osiandɛ Nyankopɔn ahendzi nnyi kasa mu ara gyan, na mbom tum mu.", ""
"1CO.4.21", "Dza ɔwɔ hen na hom pɛ? Memfa abaa mbra hom do, anaa memfa ɔdɔ nye ɔdwe sunsum?", ""
