"1CO.11.1", "Hom nsuasua me, dɛ mbrɛ mo so musuasua Kraest no.", "#1 Kor 4.16; Fil 3.17"
"1CO.11.2", "Afei miyi hom ayɛw dɛ hom kaa me adze nyina mu, na hom da ho dze atsetsesɛm no mu, dɛ mbrɛ medze hyɛɛ hom nsa no ara.", ""
"1CO.11.3", "Na mepɛ dɛ hom hu dɛ ɔbarimba biara ne tsir nye Kraest, na ɔbaa ne tsir nye ɔbarimba, na Kraest ne tsir nye Nyankopɔn.", ""
"1CO.11.4", "Ɔbarimba biara a ɔrosɔr, anaa ɔrehyɛ nkɔm, na ɔakata ne tsir no, ɔhyɛ ne tsir fɛr.", ""
"1CO.11.5", "Na ɔbaa biara a ɔrosɔr, anaa ɔrehyɛ nkɔm, na ɔannkata ne tsir no, ɔhyɛ ne tsir fɛr, na ɔtse dɛ nyia ɔapra ne tsir no ara.", ""
"1CO.11.6", "Na sɛ ɔannkata ne tsir a, ma ɔmpra ne tsir so; na sɛ ɔyɛ enyito ma ɔbaa dɛ oyi anaa ɔpra ne tsir a, ɔnodze ma ɔnkata ne tsir.", ""
"1CO.11.7", "Na ɔbarimba dze, ɔnnsɛ dɛ ɔkata ne tsir, osiandɛ ɔyɛ Nyankopɔn no honyi nye n’enyimnyam, na ɔbaa dze ɔyɛ ɔbarimba n’enyimnyam.", "#Gye 1.26, 27"
"1CO.11.8", "Na nnyɛ ɔbarimba na ofi ɔbaa mu, na mbom ɔbaa na ofi ɔbarimba mu;", "#Gye 2.18-23"
"1CO.11.9", "eso nnyɛ ɔbaa ntsi na wɔbɔɔ ɔbarimba, na mbom ɔbarimba ntsi na wɔbɔɔ ɔbaa.", ""
"1CO.11.10", "Iyi ntsi na ɔsɛ dɛ ɔbaa nya dza ɔkyerɛ tumdzi wɔ ne tsir do, wɔ abɔfo no ntsi.", ""
"1CO.11.11", "Naaso Ewuradze mu dze, ɔbarimba nnkwetsir ɔbaa, na ɔbaa so nnkwetsir ɔbarimba:", ""
"1CO.11.12", "na dɛ mbrɛ ɔbaa fi ɔbarimba mu no, mbrɛ ɔbarimba so nam ɔbaa do ba nye no; na adze nyina fi Nyankopɔn mu.", ""
"1CO.11.13", "Homankasa mbu hom mu atsɛn; ana oye dɛ ɔbaa dze tsir a ɔannkata do yɛ asɔr ma Nyankopɔn?", ""
"1CO.11.14", "Ana ɔbrasu ara mpo nnkyerɛkyerɛ hom dɛ sɛ ɔbarimba sie tsir kusuww a, ɔyɛ enyimguase ma no a?", ""
"1CO.11.15", "Na sɛ ɔbaa dze osie tsir kusuww a, ɔyɛ enyimnyam ma no, osiandɛ wɔdze ne tsinhwi maa no dɛ akatado.", ""
"1CO.11.16", "Na sɛ obi pɛ dɛ odzi ntokwano a, hɛn dze, yɛnnyɛ dɛm adze no, na Nyankopɔn asɔrasɔr so nnyɛ dɛm.", ""
"1CO.11.17", "Na dza medze rehyɛ hom yi, mirinnyi hom ayɛw, osiandɛ hom nnhyia mu wɔ papa ntsi, na mbom bɔn ntsi a.", ""
"1CO.11.18", "Dza odzi kan nye dɛ metse dɛ sɛ hom hyia mu wɔ asɔr mu a, mpaapaamu wɔ hom mu; na megye no mu bi midzi.", ""
"1CO.11.19", "Oye dɛ fɛkuwbɔ horow ba hom mu, ama hɔn a wɔgye hɔn to mu no aada edzi wɔ hom mu.", ""
"1CO.11.20", "Na sɛ hom behyia fakor a, nnyɛ Ewuradze edzidzi na hom dzi no:", ""
"1CO.11.21", "na hom ridzidzi a, ɔbaako dzi kan dzi nankasa n’edziban, na obi ɔkɔm dze no, na obi abow.", ""
"1CO.11.22", "Ebɛnadze ntsi a? Ana hom nnyi efi a hom dzidzi mu? Anaa nnyɛ Nyankopɔn asɔr na hom bu no enyimtsia, na hom hyɛ hɔn a wonnyi bi enyito? Mense hom dɛn? Minyi hom ayɛw wɔ yi mu anaa? Mirinnyi hom ayɛw.", ""
"1CO.11.23", "Na emi dze, minyaa Ewuradze nsamu dza medze memaa hom no dɛ: Ewuradze Jesus anadwe no a woyii no mae no, ɔfaa paanoo;", ""
"1CO.11.24", "na ɔdaa ase no, obubui, na ɔsee dɛ, Me nyimpadua a wɔdze ama hom nye yi: hom nyɛ iyi mfa nyɛ me nkaa.", ""
"1CO.11.25", "Dɛmara so na edzidzi ekyir no ɔfaa kɔɔpow no see dɛ, Kɔɔpow yi nye ahyɛmu fofor no wɔ mo bɔgyaa mu: hom nyɛ iyi mber biara a hom bɔnom no mfa nyɛ me nkaa.", "#Eks 24.8; Jer 31.31-34; Eks 24.6-8"
"1CO.11.26", "Na mber biara a hom dzi paanoo yi, na hom nom kɔɔpow yi, hom bɔ Ewuradze wu no ho dawur dze kesi dɛ ɔbɛba.", ""
"1CO.11.27", "Dɛm ntsi obiara a obedzi paanoo yi, anaa ɔbɔnom Ewuradze kɔɔpow yi dɛ mbrɛ ɔnnsɛ no, obedzi Ewuradze nyimpadua nye no bɔgyaa ho fɔ.", ""
"1CO.11.28", "Na ma nyimpa nsɔ noho nhwɛ, na ondua dɛm ndzi paanoo no bi, na ɔnnom kɔɔpow no bi.", ""
"1CO.11.29", "Na nyia odzi na ɔnom no, odzi na ɔnom dze atsɛmbu ba nankasa noho do, osiandɛ oemmbu Ewuradze nyimpadua bi yie.", ""
"1CO.11.30", "Iyi ntsi na hom mu pii ayɛ mberɛw na wɔyaryar, na piinara so adeda .", "#11.30 ADEDA: Iyi ase kyerɛ dɛ: Ewuwu."
"1CO.11.31", "Na sɛ yeebu hɛnankasa hɛnho yie a, nkyɛ wommbuu hɛn atsɛn.", ""
"1CO.11.32", "Na sɛ wobu hɛn atsɛn a, Ewuradze tsea hɛn amma woeemmbu yɛnye wiadze fɔ.", ""
"1CO.11.33", "Dɛm ntsi, mo nuanom, sɛ hom behyia mu ribedzidzi a, hom ntwentweɔn homho.", ""
"1CO.11.34", "Na sɛ ɔkɔm dze bi a, wɔmma ondzidzi fie, mma hom eemmbehyia mu emmbenya atsɛmbu. Na nkaa no dze, sɛ meba a, mebɛka ho asɛm yie.", ""
