"1CO.12.1", "Na dza ɔfa no sunsum mu nsɛm  ho no dze, enuanom, memmpɛ dɛ biribiara bosuma hom.", "#12.1 NSƐM: Binom ka dɛ: Sunsum mu akyɛdze."
"1CO.12.2", "Hom nyim dɛ nkan no a hom yɛ abosonsɔrfo no, hom maa wogyaa hom kɔr abosom mmum nkyɛn.", ""
"1CO.12.3", "Dɛm ntsi merema hom ehu dɛ obiara a ɔnam Nyankopɔn Sunsum mu kasa no, ɔmmfrɛ Jesus ebusudze; na obiara nntum nnka dɛ Jesus nye Ewuradze gyedɛ ɔnam Sunsum Krɔnkrɔn mu.", ""
"1CO.12.4", "Na adom akyɛdze horow wɔ hɔ, na Sunsum kor no ara a.", "#Rom 12.6-8"
"1CO.12.5", "Na ɔsom horow wɔ hɔ, na Ewuradze kor no ara a.", ""
"1CO.12.6", "Na dwumadzi horow wɔ hɔ, na Nyankopɔn kor no ara na ɔyɛ adze nyina wɔ hɔn nyina mu.", ""
"1CO.12.7", "Naaso wɔdze Sunsum edziyi no ma hɔn nyina nkorkor, na aayɛ hɔn mfaso.", ""
"1CO.12.8", "Na wɔnam Sunsum mu ama obi enyansasɛm, obi so nyimdzeesɛm, dɛ mbrɛ Sunsum kor no ara tse:", ""
"1CO.12.9", "obi so gyedzi, wɔ Sunsum kor no ara mu; obi so yarsa akyɛdze wɔ Sunsum kor no ara mu;", ""
"1CO.12.10", "obi so etumdzeyɛ; obi so nkɔnhyɛ; obi so esunsum mu nhumu; obi so kasa horow; obi so kasa horow nkyerɛasee:", ""
"1CO.12.11", "na yinom nyina Sunsum kor no ara na ɔyɛ, na ɔkyekyɛ ma hɔn nkorkor dɛ mbrɛ ɔpɛ.", ""
"1CO.12.12", "Na dɛ mbrɛ nyimpadua yɛ kor, na ɔwɔ mfafakuwa pii, na nyimpadua ne mfafakuwa no nyina dɔɔ so dze, naaso wɔyɛ nyimpadua kor no, mbrɛ Kraest so tse nye no.", "#Rom 12.4, 5"
"1CO.12.13", "Na hɛn nyina so, Jewfo o, Griikfo o, nkowaa o, adehye o, woenuma hɛn Sunsum kor mu aba nyimpadua kor mu; na wɔama hɛn nyina anom Sunsum kor no ara bi.", ""
"1CO.12.14", "Na nyimpadua nnyɛ fafakuwa kor, na pii.", ""
"1CO.12.15", "Sɛ anan se dɛ, Mennyɛ nsa ntsi mennyɛ nyimpadua ho bi a, nna nnyɛ iyi ntsi na ɔma ɔnnyɛ nyimpadua ho bi.", ""
"1CO.12.16", "Na sɛ aso se dɛ, Mennyɛ enyiwa ntsi mennyɛ nyimpadua ho bi a, nna nnyɛ yi ntsi na ɔma ɔnnyɛ nyimpadua ho bi.", ""
"1CO.12.17", "Na sɛ nyimpadua nyina yɛ enyiwa a, ɔtse no wɔ hen? Ne nyina yɛ ɔtse a, ohua no wɔ hen?", ""
"1CO.12.18", "Na afei Nyankopɔn dze mfafakuwa esisi nyimpa ho nkorkor dɛ mbrɛ ɔpɛ.", ""
"1CO.12.19", "Na sɛ hɔn nyina yɛ fafakuwa kor a, nyimpadua no wɔ hen?", ""
"1CO.12.20", "Na afei mfafakuwa dɔɔ so dze, naaso nyimpadua no yɛ kor.", ""
"1CO.12.21", "Na enyiwa nntum nnse nsa dɛ, Minnyi wo ho hia; anaaso bio, tsir nntum nnse anan dɛ, Minnyi wo ho hia.", ""
"1CO.12.22", "Na mbom nyimpadua ho mfafakuwa a wɔyɛ dɛ wɔyɛ mberɛw dodow no hɔn na hɔn ho hia;", ""
"1CO.12.23", "na nyimpadua ho bi a yɛdwen dɛ ɔnnsɛ enyidzi pii no na yɛhyɛ no enyidzi pii; na dza ɔnnyɛ fɛw wɔ hɛn ho no na ɔwɔ ahomka pii;", ""
"1CO.12.24", "na dza ɔyɛ fɛw wɔ hɛn ho no nnhia dɛm: na Nyankopɔn dze nyimpadua no atoatoa mu, na mfafakuwa a wɔka bi no ɔama hɔn enyidzi pii;", ""
"1CO.12.25", "amma mpaapaamu aammba nyimpadua no mu, na mbom mfafakuwa no eenya ndwendwenho kor no ara ama hɔnho nkorkor.", ""
"1CO.12.26", "Na sɛ fafakuwa kor hu amandze a, mfafakuwa no nyina hu bi; na eso wɔhyɛ fafakuwa kor enyimnyam a, mfafakuwa no nyina nye no dzi dɛw.", ""
"1CO.12.27", "Na afei hom yɛ Kraest nyimpadua no nye no ho mfafakuwa nkorkor.", ""
"1CO.12.28", "Na Nyankopɔn dze binom esisi asɔr no mu: dza odzi kan asomafo, otsia ebien nkɔnhyɛfo, otsia ebiasa akyerɛkyerɛfo, nkyii etumdzeyɛ, na nkyii yarsa akyɛdze, mboa, mpanyindzi nye ɔkasa ahorow.", "#Efe 4.11"
"1CO.12.29", "Ana hɔn nyina yɛ asomafo? Hɔn nyina yɛ nkɔnhyɛfo? Hɔn nyina yɛ akyerɛkyerɛfo? Hɔn nyina yɛ etumdzeyɛfo?", ""
"1CO.12.30", "Hɔn nyina wɔ yarsa akyɛdze? Hɔn nyina kasa kasa horow? Hɔn nyina kyerɛ ase?", ""
"1CO.12.31", "Mbom hom mper akyɛdze tsitsir no ho, na afei merekyerɛ hom kwan a oye kyɛn biribiara.", ""
