"1CO.15.1", "Na afei, enuanom, merema hom ehu asɛmpa no a mekaa kyerɛɛ hom, na hom so gyee, na hom kitsa mu so,", ""
"1CO.15.2", "ɔnam do so na hom nya nkwa, sɛ hom suo asɛmpa no ara mekaa kyerɛɛ hom no mu dzen a, gyedɛ hom gyee dzii kwa.", ""
"1CO.15.3", "Na nsɛm a odzi kan a mo so minyae a medze hyɛɛ hom nsa nye dɛ hɛn bɔn ntsi na Kraest wui dɛ mbrɛ kyerɛwnsɛm no se;", "#Isa 53.5-12"
"1CO.15.4", "na dɛ wosiee no, na ne ndaansa no wonyaan no dɛ mbrɛ kyerɛwnsɛm no se;", "#Dwom 16.8-10; Mat 12.40; Ndwu 2.24-32"
"1CO.15.5", "na dɛ oyii noho kyerɛɛ Siifas, na nkyii oyii noho kyerɛɛ duebien no;", "#Luk 24.34; Mat 28.16, 17; Mar 16.14; Luk 24.36; Joh 20.19"
"1CO.15.6", "na nkyii oyii noho kyerɛɛ enuanom bɔbor ahaenum prɛko a hɔn mu piinara tsetse hɔ sesei, na binom adeda;", ""
"1CO.15.7", "na nkyii oyii noho kyerɛɛ James; na nkyii oyii noho kyerɛɛ asomafo no nyina;", ""
"1CO.15.8", "na hɔn nyinara ekyir, na oyii noho kyerɛɛ mo so a metse dɛ obi a wɔwo no ber a ɔnnsoe mu.", "#Ndwu 9.3-6"
"1CO.15.9", "Na emi nye asomafo no mu ekumaba a mennsɛ dɛ wɔfrɛ me ɔsomafo mpo, osiandɛ mihiahiaa Nyankopɔn asɔr ho.", "#Ndwu 8.3"
"1CO.15.10", "Naaso ɔnam Nyankopɔn adom do na metse dɛ mbrɛ metse yi, na n’adom a ɔdze doom me no annyɛ gyan: na mbom mayɛ edwuma pii asen hɔn nyina, naaso nnyɛ emi a, na mbom Nyankopɔn adom a ɔnye me nam no a.", ""
"1CO.15.11", "Ntsi sɛ emi o, hɔn o, dza yɛpaa mu ka nye yi, na dza hom gyee dzii nye yi.", ""
"1CO.15.12", "Na sɛ wɔka no Kraest ho dɛ oenyan efi ewufo mu a, ɔyɛ dɛn na hom mu binom ka dɛ ewufosoɛr bi nnyi?", ""
"1CO.15.13", "Na sɛ ewufosoɛr bi nnyi hɔ a, nna Kraest so nnyanee:", ""
