"1KI.4.1", "Na ɔhen Solomon dzii Israel nyinara do hen.", ""
"1KI.4.2", "Na woyinom nye asafohemfo a onyae; Zadok ne ba Azaria nye ɔsɔfo;", ""
"1KI.4.3", "Elihoref na Ahija, Sisa ne mba no, nye akyerɛwfo; Jehosafat, Ahilud ne ba no, nye ɔsɛnkaafo;", ""
"1KI.4.4", "na Jehoiada ne ba Benaia na ɔhwɛ dɔm no do; na Zadok na Abiathar nye asɔfo;", ""
"1KI.4.5", "na Natan ne ba Azaria na ɔhwɛ ahwɛdofo no do; na Natan ne ba Zabud na ɔyɛ ɔsɔfo, na ɔhen no fotufo;", ""
"1KI.4.6", "na Ahishar na ɔhwɛ fidua no do; na Abda ne ba Adoniram na ɔhwɛ ɔtowyi edwuma no do.", ""
"1KI.4.7", "Nna Solomon wɔ ahwɛdofo duebien wɔ Israel nyinara do a wɔdze edziban ma ɔhen na ne fidua: nyimpa baako wɔ dɛ ɔma edziban bosoom kor wɔ afrenhyia mu.", ""
"1KI.4.8", "Na hɔn edzin nye yi: Ben-hur wɔ Efraim nkokodo nkurow no mu:", ""
"1KI.4.9", "Ben-deker, wɔ Makaz, na Saalbim, na Bɛt-semes, na Elon-beth-hanan:", ""
"1KI.4.10", "Ben-hesed, wɔ Aru-bot; ɔno na Soko, na Hefer asaase nyinara dzi wɔ no:", ""
"1KI.4.11", "Ben-abinadab, wɔ Dor akoko do nyinara; onyaa Solomon ne babaa Tafat waar no;", ""
"1KI.4.12", "Ahilud ne ba Baana, wɔ Taanak na Megiddo, na Bɛt-sean nyinara a ɔwɔ Zaretan ne nkyɛn, wɔ Jezreel ase, ifi Bɛt-sean kodu Abel-mehola, dze kodu Jokmeam egya.", ""
"1KI.4.13", "Ben-geber, wɔ Ramot-gilead; ɔno na Manaasɛ ne ba Jair no nkurow a ɔwɔ Gilead no, dzi wɔ no: ɔnoara so na Argob asaase a ɔwɔ Bashan, nkurow akɛse eduosia a no ho wɔ afasu na boran adaban no, yɛ nedze:", ""
"1KI.4.14", "Iddo ne ba Ahinadab, wɔ Mahanaim:", ""
"1KI.4.15", "Ahimaaz, wɔ Naftali; ɔno so faa Solomon ne babaa Basemat waar no:", ""
"1KI.4.16", "Husai ne ba Baana, wɔ Aser na Bealot:", ""
"1KI.4.17", "Parua ne ba Jehosafat, wɔ Isakar:", ""
"1KI.4.18", "Ela ne ba Simei, wɔ Benjamin:", ""
"1KI.4.19", "Uri ne ba Geber, wɔ Gilead asaase do, wɔ Amorifo Sihon na Bashanhen Ɔge ɔman mu; na ɔno nye ɔhwɛdofo kortonoo a ɔwɔ asaase no do.", ""
"1KI.4.20", "Juda na Israel wɔdɔɔ so, hɔn dodow tse dɛ mpoano anhwea, wodzidzi na wɔnom na hɔn enyi gye.", ""
"1KI.4.21", "Na Solomon dzii hen wɔ ahenman a ofi Esutsen no ho nyinara dze kodu Filistiafo asaase do, na Egypt he do: wɔdze ayɛyɛdze bae, na wɔsoom Solomon wɔ no nkwa nda no nyinara mu.", ""
"1KI.4.22", "Na Solomon ne dakor edzidzi ɔyɛ isiam pa etwadze eduasa na eburow isiam etwadze eduosia;", ""
"1KI.4.23", "anantwi a wɔadɔ seradze du, na edzidzibea do anantwi eduonu, na nguan ɔha, ɔsor ntorɔm, na ndoa na nwansan, na ntumbowa a wɔadɔ seradze.", ""
"1KI.4.24", "Osiandɛ ɔno na ɔwɔ tum wɔ Esutsen no n'afa ha asaase no nyinara do, ofi Tifsa araa dze bodu Gaza, wɔ Esutsen n'afa ha ahemfo nyinara do: na onyaa amandwee wɔ nkyɛnkyɛn nyinara a abɔ no ho aprɔw.", ""
"1KI.4.25", "Na Juda na Israel tsenaa no dwudwoodwo, nyimpa biara wɔ no wenyindua ase na n'adɔmbadua ase, ofi Dan araa kodu Beer-seba, wɔ Solomon nda nyinara mu.", ""
"1KI.4.26", "Na Solomon wɔ ne ntseaseanam ho mpɔnkɔdan mu mpɔnkɔ mpemeduanan, na mpɔnkɔdofo mpemduebien.", ""
"1KI.4.27", "Na ahwɛdofo no hwehwɛɛ edziban maa ɔhen Solomon, na hɔn a wɔbaa ɔhen Solomon no pon ho nyinara, nyimpa biara wɔ no bosoom mu: wɔmma hwee nnhia.", ""
"1KI.4.28", "Na wɔdze atoko so na efuw a wɔdze ma mpɔnkɔ na mbowa a hɔn ho yɛ har baa beebi mbrɛ ahwɛdofo no wɔwɔ, nyimpa biara dɛ mbrɛ n'ahwɛdodze tse no ara.", ""
"1KI.4.29", "Na Nyankopɔn maa Solomon nyansa na ntseasee dodow mbordo, na akoma a ɔtrɛ, dɛ mpoano anhwea.", ""
"1KI.4.30", "Na Solomon ne nyansaa so sen bokamba no nyinara hɔn nyansaa, na Egypt nyansa nyinara.", ""
"1KI.4.31", "Nna ɔyɛ nyansafo sen nyimpa nyinara; ɔsen Ezranyi Etan, na Mahol ne mba, Heman, Kalkol, na Darda: na ne nka tahyee amanaman nyinara mu hyiae.", ""
"1KI.4.32", "Na obubuu mbɛ mpensa: na no ndwom yɛ apem nye enum.", ""
"1KI.4.33", "Na ɔkaa ndua ho asɛm, ofi nkyindur a ɔwɔ Lebanon do araa dze kodu odwonhataw a ofifir fasu mu do: na ɔkaa mbowadoma, na ntumbowa, na nketsembowa, na esunam so ho asɛm.", ""
"1KI.4.34", "Na aman nyinara mu nyimpa bi baa dɛ woribetsie Solomon ne nyansaa, wofi asaase do ahemfo a wɔtsee ne nyansaa nka no nyinara nkyɛn bae.", ""
