"1KI.7.1", "Solomon dze mfe duebiasa sii nankasa n’ahemfie no wiei.", ""
"1KI.7.2", "Na osii Lebanon kwaa dan no; ne tsentsen yɛ basafa eduonum, na ne tɛtɛr basafa eduonu enum, na no krɔn basafa duenum, ɔwɔ nkyindur edum akyerɛpɛn anan do, nye nkyindur mpuna gu edum no do.", ""
"1KI.7.3", "Na wɔdze nkyindur saam sor wɔ mpuna eduanan enum a ogu edum no do no do; kyerɛpɛn kor mu duenum.", ""
"1KI.7.4", "Na ntokura akyerɛpɛn ebiasa wɔ hɔ, na tokura hwɛ tokura enyim araa ban ebiasa.", ""
"1KI.7.5", "Na mbobow na mpondua no nyinara yɛ nsamdo mpuna atweanan: na tokura hwɛ tokura enyim araa ban ebiasa.", ""
"1KI.7.6", "Na ɔyɛɛ edum abrandaa; ne tsentsen yɛ basafa eduonu enum, na ne tɛtɛr yɛ basafa duenum; na abrandaa bi wɔ hɔn enyim, na edum na mpuna durdur wɔ enyim.", ""
"1KI.7.7", "Na ɔyɛɛ ahengua abrandaa mbrɛ obobu hɔ atsɛn, mekyerɛ atsɛmbu abrandaa no a: na ɔdze nkyindur kataa do fi famu kodur nsamdo enyi.", ""
"1KI.7.8", "Na ne fi mbrɛ ɔtse, dampan kor no a ɔwɔ abrandaa no mu afamu no, ne yɛbea tse dɛmara. Ɔyɛɛ dan so a ɔtse dɛ abrandaa yi maa Farao ne babaa, (nyia Solomon waar no no).", ""
"1KI.7.9", "Iyinom nyinara yɛ abo a ɔsom bo, mekyerɛ abo a woetwa woesusu no dɛ wɔdze nseradaa sianee, no mu na n’ekyir, mekyerɛ ofi fapem do kɛpem etsifi, na dɛmara ɔdze fi ekyir afamu kodu pampan kɛse no do.", ""
"1KI.7.10", "Na fapem no yɛ abo a ɔsom bo, mekyerɛ abo akɛse a, basafa enum enum abo, na basafa anan anan abo.", ""
"1KI.7.11", "Na ɔsor abo a ɔsom bo, mekyerɛ ɔbo a woesusu etwa na nkyindur dua.", ""
"1KI.7.12", "Na dampan kɛse a ɔbɔ aprɔw no wɔ abo a wɔasen akyerɛpɛn ebiasa, na nkyindur mpuna kyerɛpɛn kor; tse dɛ mbrɛ EWURADZE ne dan no no mu afamu na ɔdan no n’abrandaa no tse.", ""
"1KI.7.13", "Na ɔhen Solomon somae ma wɔkɛfaa Hiram fi Taere bae.", ""
"1KI.7.14", "Ɔyɛ Naftali ebusuakuw mu ɔbaa okunafo bi ne ba, na n’egya nye ɔbarimba bi a ofi Taere, boran odwimfo a; na nyansa na ntseasee na nyimdzee ahyɛ no ma, dɛ ɔdze dzi boran dwuma nyinara mu edwin. Na ɔbaa ɔhen Solomon nkyɛn, na ɔbɛyɛɛ n’edwuma nyinara.", ""
"1KI.7.15", "Na ɔyɛɛ boran edum ebien no, kor ne tsentsen yɛ basafa akron; na ahoma basafa esia abɔ no ho aprɔw.", ""
"1KI.7.16", "Na ɔyɛɛ boran ntaadotsir ebien dɛ wɔdze sisi edum no etsifi: ntaadotsir kor no krɔn yɛ basafa ebien nye fa, na ntaadotsir kor so no krɔn yɛ basafa ebien nye fa.", ""
"1KI.7.17", "Atena a wɔawen no dam dam, na ntweaban kyinkyimii, wɔ ntaadotsir a ɔwɔ edum no etsifi no ho; esuon wɔ ntaadotsir kor ho, na esuon wɔ ntaadotsir kor so ho.", ""
