"1KI.12.1", "Na Rehoboam sii mu kɔr Sekem: osiandɛ Israel nyinara baa Sekem dɛ wɔrebɛhyɛ no ɔhen.", ""
"1KI.12.2", "Na ɔbaa dɛ, aber a Nebat ne ba Jeroboam tsee no, (osiandɛ nna ɔda ho wɔ Egypt, mbrɛ oguanee fii ɔhen Solomon enyim kɔree kɛtsenae no,", ""
"1KI.12.3", "na wɔsomae ma wokehyiaa no bae;) nna Jeroboam na Israel dɔm no nyinara bae, na wɔbɛkaa kyerɛɛ Rehoboam, dɛ,", ""
"1KI.12.4", "W'egya yɛɛ hɛn kɔndua durdur: dɛm ntsi afei yɛ w'egya no som dzendzen no, na no kɔndua durdur a ɔdze too hɛn do no, harhar, na yɛnsom wo.", ""
"1KI.12.5", "Na ɔsee hɔn dɛ, Hom mma me ndaansa, na nkyii hom nsan mbra me nkyɛn bio. Na ɔman no twee mu kɔree.", ""
"1KI.12.6", "Na ɔhen Rehoboam nye nkɔdaa a wɔsoom n'egya Solomon dɛ apamfo mber a ɔda ho tse ase no, faa apam, dɛ, Afotu bɛn na hom dze rema me dɛ memfa nsan nkobua ɔman yi.", ""
"1KI.12.7", "Na wɔkaa kyerɛɛ no dɛ, Sɛ ndɛ yi ɔwo eyɛ akowaa ma ɔman yi, na esom hɔn, na ibua hɔn, na eka nsɛm pa kyerɛ hɔn a, ɔno wɔbɛyɛ wo nkowaa daa nyina.", ""
"1KI.12.8", "Naaso ɔpoow nkɔdaa no hɔn afotu a wɔdze maa no no, na ɔnye mberantsɛ a wɔnye no nyinii a afei wɔabɛyɛ n'apamfo no no dwenee.", ""
"1KI.12.9", "Na obisaa hɔn dɛ, Afotu bɛn na hom dze ma, ma yɛdze mbuae aasan akɛma ɔman yi a wɔaka akyerɛ me, dɛ, Yɛ kɔndua a w'egya dze too hɛn do no harhar no?", ""
"1KI.12.10", "Na mberantsɛ a wɔnye no nyinii no kaa kyerɛɛ no dɛ, Ka kyerɛ ɔman yi a wɔbɛkaa kyerɛɛ wo dɛ, W'egya yɛɛ hɛn kɔndua durdur, na ɔwo dze, yɛ no harhar ma hɛn no; dɛ: Me nsatseaba kakraba mpo yɛ dur sen m'egya n'asen.", ""
"1KI.12.11", "Na afei sɛ m'egya dze kɔndua durdur soaa hom a, emi so mobɔto hom kɔndua no do: sɛ m'egya dze mpire tseaa hom a, emi dze, medze nyankom nketsebowa  mebɛtsea hom.", "#12.11 NYANKOM NKETSEBOWA: Iyi yɛ abowa nwoma bi a wɔdze mperɛgoow etuatua mu a nna wɔdze hwe wɔ dɛm ber no mu a n'ano yɛ yaw papaapa."
"1KI.12.12", "Nna Jeroboam na ɔman no nyinara baa Rehoboam nkyɛn da a otsia ebiasa no, dɛ mbrɛ ɔhen no kae no, dɛ, Da a otsia ebiasa no, hom nsan mbra me nkyɛn, no.", ""
"1KI.12.13", "Na ɔhen no buaa ɔman no ebufuw mu, na ɔpoow nkɔdaa no hɔn apam a wɔdze maa no no;", ""
"1KI.12.14", "na ɔkaa kyerɛɛ hɔn dɛ mbrɛ mberantsɛ no hɔn apam no tse, dɛ, M'egya yɛɛ hom kɔndua durdur, na emi dze mobɔto hom kɔndua do; m'egya dze mpire tseaa hom, na emi dze medze nyankoma nketsebowa mebɛtsea hom.", ""
"1KI.12.15", "Na ɔhen no enntsie ɔman no; osiandɛ nna ɔyɛ adze a EWURADZE ahyehyɛ, ama ɔaama ɔno EWURADZE n'asɛm a ɔnam Silonnyi Ahija nsa do kaa kyerɛɛ Nebat ba Jeroboam no etsim.", ""
"1KI.12.16", "Na aber a Israel nyinara hun dɛ ɔhen no enntsie hɔn no, ɔman no buaa ɔhen no dɛ, Ebɛn kyɛpɛn na yɛwɔ wɔ David mu? Nkyii so yennyi egyapadze wɔ Jesse ne ba no mu: Israel e, hom nkɔ hom asesee mu oo: afei David, hwɛ wankasa wo fie. Nna Israel sii mu kɔr hɔn asesee mu.", ""
"1KI.12.17", "Na Israelmba a wɔtsetse Juda nkurow mu no dze, Rehoboam dzii hɔn do hen.", ""
"1KI.12.18", "Nna ɔhen Rehoboam somaa Adoram a ɔhwɛ ɔtowyi edwuma do no; na Israel nyinara siiw no abo, ma ɔtɔree. Na ɔhen Rehoboam yɛɛ ntsɛm foow ne tseaseanam dɛ oruguan akɔ Jerusalɛm.", ""
"1KI.12.19", "Nna Israel tseew etua wɔ David fi do, dze bodu ndɛ da yi.", ""
"1KI.12.20", "Na ɔbaa dɛ, aber a Israel nyinara tsee dɛ Jeroboam fi Egypt asan aba no, nna wɔsomae ma wokehyiaa no ma ɔbaa dɔm no nkyɛn, na wɔhyɛɛ no hen wɔ Israel nyinara do: obiara nnyi hɔ a odzii David fi ekyir, gyedɛ Juda ebusuakuw nko.", ""
"1KI.12.21", "Na aber a Rehoboam baa Jerusalɛm no, ɔboaboaa Juda fi nyinara, na Benjamin ebusuakuw ano, nyimpa a wɔasan mu eyi mpemɔha eduowɔtwe a wɔyɛ akofo ano, dɛ ɔnye Israel fi rokɔko, adan ahendzi no ama Solomon ne ba Rehoboam bio.", ""
"1KI.12.22", "Na Nyankopɔn n'asɛm baa Nyame nyimpa Semaia nkyɛn, dɛ,", ""
"1KI.12.23", "Ka kyerɛ Solomon ne ba Rehoboam, Judahen, na Juda na Benjamin fi nyinara, na ɔman nkaa no, dɛ,", ""
"1KI.12.24", "Mbrɛ EWURADZE se nye yi, Mma hom mmfow nnkɔ, nkyii so mma wɔnnye hom nuanom Israelmba nnkɔko: nyimpa biara nsan nkɔ ne fie; na asɛm no fir mara. Nna wotsiee EWURADZE n'asɛm no, na wɔsanee kɔr hɔn kwan, dɛ mbrɛ EWURADZE n'asɛm no tse.", ""
"1KI.12.25", "Nna Jeroboam kyekyeer Sekem wɔ Efraim nkokodo nkurow no mu, na ɔtsenaa mu; na ofii hɔ kɔree kɛkyekyeer Penuel.", ""
"1KI.12.26", "Na Jeroboam see n'akoma mu dɛ, Annhwɛ a ahendzi no bɛsan akɔ David fie:", ""
"1KI.12.27", "wɔ ber a ɔman yi fow kɔ kɔbɔ afɔr wɔ EWURADZE fie wɔ Jerusalɛm no, bɛyɛ nna ɔman yi akoma adan akɔ hɔn wura nkyɛn bio, mekyerɛ Judahen Rehoboam a; na woeku me, na wɔasan akɔ Judahen Rehoboam nkyɛn.", ""
"1KI.12.28", "Nna ɔhen no faa apam, na ɔyɛɛ sika anantwimba ebien; na ɔsee hɔn dɛ, Ɔdɔɔ so dodow ma hom dɛ hom bɔfow akɔ Jerusalɛm; Israel, hwɛ w'enyame a wɔdze wo fi Egypt asaase do bae nye iyinom.", ""
"1KI.12.29", "Na ɔdze kor kesii Bɛtɛl, na ɔdze kor so kesii Dan.", ""
"1KI.12.30", "Na asɛm yi maa wɔyɛɛ bɔn: osiandɛ ɔman no kɔree kɔsoom hɔn wɔ Bɛtɛl araa dze kɔr Dan.", ""
"1KI.12.31", "Na ɔyɛɛ mbeambea sorɔnsorɔm do adan, na ɔhyɛɛ ɔman no mu binom a wommfi Levimba mu no asɔfo.", ""
"1KI.12.32", "Na Jeroboam hyehyɛɛ afahyɛ wɔ bosoom a otsia awɔtwe no mu wɔ bosoom no ne da a otsia duenum no do, ɔtse dɛ afahyɛ a ɔwɔ Juda no, na ɔfowee kɔr afɔrmbukyia no nkyɛn; dɛmara na ɔyɛɛ no wɔ Bɛtɛl, ɔbɔɔ afɔr maa anantwimba a ɔyɛe no: na ɔdze mbeambea sorɔnsorɔm do asɔfo a ɔyɛe no guu Bɛtɛl.", ""
"1KI.12.33", "Na ɔfowee kɔr afɔrmbukyia no a ɔyɛe no wɔ Bɛtɛl wɔ bosoom a otsia awɔtwe no mu da a otsia duenum no, mekyerɛ bosoom a ɔbɔɔ nankasa ne tsirmu hyɛe no mu a: na ɔhyehyɛɛ afahyɛ maa Israelmba no, na ɔfowee kɔr afɔrmbukyia no nkyɛn dɛ ɔrekɛhyew eduhuam.", ""
