"1KI.14.1", "Aber no mu no Jeroboam ne ba Abija yaree.", ""
"1KI.14.2", "Na Jeroboam see ne yer dɛ, Meserɛ wo, Soɛr, na sakyer woho amma woeennhu wo dɛ eyɛ Jeroboam ne yer: na kɔ Siloh; hwɛ, hɔ na nkɔnhyɛnyi Ahija a ɔkaa no wɔ mo ho dɛ mibedzi hen wɔ ɔman yi do no wɔ.", ""
"1KI.14.3", "Na fa boodoo ntɔwmu du, na tatarmba, na ewo pɔr kitsa, na kɔ ne nkyɛn: ɔno na ɔbɛka dza ɔbɛba abofra no do akyerɛ wo.", ""
"1KI.14.4", "Na Jeroboam ne yer no yɛɛ dɛm, na ɔsoɛree na osii mu kɔr Siloh, na ɔbaa Ahija ne fie. Afei Ahija no nkɔdaayɛ ntsi n'enyiwa ayɛ kusukusu na onnhu adze.", ""
"1KI.14.5", "Na EWURADZE see Ahija dɛ, Hwɛ, Jeroboam ne yer reba wo hɔ ebebisa wo hɔ adze wɔ ne ba ho, na ɔyar: dɛm na dɛm na ka kyerɛ no: na ɔbɛba dɛ, sɛ ɔba a, obepetuw ayɛ noho dɛ ɔbaa fofor bi.", ""
"1KI.14.6", "Na ɔbaa dɛ, aber a Ahija tsee n'ananadze nka dɛ ɔaba abow no ano no, ɔsee dɛ, Bra, ɔwo Jeroboam ne yer; ɔyɛ dɛn ntsi na epetuw ayɛ woho dɛ obi yi? Na wɔdze nsɛm durdur asoma me wo hɔ.", ""
"1KI.14.7", "Kɔ, kɛka kyerɛ Jeroboam dɛ, Mbrɛ EWURADZE, Israel Nyankopɔn se nye yi: Susuampa dɛ memaa wo do wɔ ɔman no mu, na mehyɛɛ wo ɔpanyin wɔ me man Israel do,", ""
"1KI.14.8", "na metseew ahendzi no fii David fie, na medze memaa wo: naaso ɔwo annyɛ dɛ m'akowaa David a odzii me mbransɛm do, na ɔdze n'akoma nyinara dzii m'ekyir, dɛ ɔbɛyɛ dza ɔtsen nko wɔ m'enyiwa do no;", ""
"1KI.14.9", "na ɔwo ayɛ bɔn asen hɔn a wodzii w'enyim nyinara, na akɔ akɛyɛ enyame fofor, na ehonyi a woegu ama wo ho, dɛ edze riyi me ebufuw, na atow me akyen w'ekyir:", ""
"1KI.14.10", "dɛm ntsi, hwɛ, medze mbusu bɛba Jeroboam fi do, na metwa Jeroboam mu abofra banyin biara akyen, Israel mu nyia wɔatow no mu na nyia woegyaa no, na mapra Jeroboam fie sɛsɛɛsɛ, dɛ mbrɛ obi pra efikyir, ma ne nyinara asa koraa.", ""
"1KI.14.11", "Nyia ofi Jeroboam mu a obowu wɔ kurow mu no, nkraman bedzi; na nyia obowu wɔ haban mu no wimu ntumbowa bedzi, na EWURADZE na ɔaka yi.", ""
"1KI.14.12", "Dɛm ntsi soɛr, kɔ wo fie: na sɛ w'anan si kurow no mu ara a, abofra no bowu.", ""
"1KI.14.13", "Na Israel nyinara begyam no, na woesie no: na ɔno nko na ofi Jeroboam mu a ɔbɔkɔ adakamona mu: osiandɛ ɔno no mu na woehu adze pa bi wɔ EWURADZE, Israel Nyankopɔn no, afamu, wɔ Jeroboam fie.", ""
"1KI.14.14", "Nkyii so EWURADZE bɛma ɔhen bi do ama noho wɔ Israel a da no obotwa Jeroboam fi akyen: na ebɛnadze a? Seseiara mpo a.", ""
"1KI.14.15", "Na EWURADZE bɔbɔ Israel, dɛ mbrɛ ndzɛmbir hihim wɔ nsu mu; na oetutu Israel efi asaase pa a ɔdze maa hɔn egyanom yi do, na ɔabɔ hɔn apetse Esutsen no n'egya; osiandɛ wɔayɛ hɔn Aserim dze eyi EWURADZE ebufuw.", ""
"1KI.14.16", "Na osian Jeroboam no bɔn a ɔayɛ na ɔdze ama Israel so ayɛ bɔn no ntsi, obegyaa Israel mu ama.", ""
"1KI.14.17", "Na Jeroboam ne yer no soɛree sii mu, na ɔbaa Tirza: na obodur ofi no n'apondua ase dze no do ara nna abofra no wui.", ""
"1KI.14.18", "Na Israel nyinara siee no, na wogyaam no; dɛ mbrɛ EWURADZE n'asɛm a ɔnam n'akowaa nkɔnhyɛnyi Ahija ne nsa do kae no tse no.", ""
"1KI.14.19", "Na Jeroboam no ho nsɛm nkaa no, mbrɛ osii dzii ako, na mbrɛ osii dzii hen no, hwɛ, wɔakyerɛw no wɔ Israel ahemfo hɔn Mbermunsɛm nwoma no mu.", ""
"1KI.14.20", "Na nda a Jeroboam dze dzii hen yɛ mfe eduonu ebien: na ɔkɔr ne nsamankyir, na ne babanyin Nadab na ɔhyɛɛ n'ananmu dzii hen.", ""
"1KI.14.21", "Na Solomon ne ba Rehoboam dzii hen wɔ Juda. Rehoboam hyɛɛ ase dzii hen no, nna oedzi mfe eduanan biako, na odzii hen mfe duesuon wɔ Jerusalɛm, kurow a EWURADZE saan mu yii no wɔ Israel ebusuakuw ebusuakuw nyinara mu dɛ ɔdze ne dzin bɔto hɔ no mu: na ne na yɛ Ammonnyi a ne dzin dze Naama.", ""
"1KI.14.22", "Na Juda yɛɛ dza omuo wɔ EWURADZE enyi do; na wɔdze hɔn bɔn a wɔyɛe no yii EWURADZE nyinkun seen dza hɔn egyanom yɛe no nyinara.", ""
"1KI.14.23", "Osiandɛ hɔn so wɔyeyɛɛ mbeambea sorɔnsorɔm, na edum, na Aserim, wɔ koko tsentsen biara do, na dua momon biara ase maa hɔnho;", ""
"1KI.14.24", "na sodomfo so wɔ asaase no do: wɔyɛɛ dɛ mbrɛ amanaman a EWURADZE tuu hɔn wɔ Israelmba enyim no hɔn ekyiwadze nyinara tse.", ""
"1KI.14.25", "Na ɔbaa dɛ, ɔhen Rehoboam n'afe a otsia enum no mu no, Egypthen Sasak fowee baa Jerusalɛm do:", ""
"1KI.14.26", "na ɔfaa EWURADZE ne fie akoradze, na ɔhen no ne fie akoradze no; ɔfaa ne nyinara kwa dze kɔree: na ɔfaa sika akyɛm a Solomon yɛe no nyinara dze kɔree.", ""
"1KI.14.27", "Na ɔhen Rehoboam yɛɛ boran akyɛm dze sisii hɔn ananmu, na ɔdze hyɛɛ abrampɔfo a wɔhwɛ ɔhen no ne fie abowano no do asafohemfo no nsa.", ""
"1KI.14.28", "Na ɔbaa dɛ, mber dodow biara a ɔhen no kɔ EWURADZE ne fie no abrampɔfo no susuo mu, na wɔdze san besi abrampɔfo pia mu.", ""
"1KI.14.29", "Afei Rehoboam no ho nsɛm nkaa, na dza ɔyɛe no nyinara, ana wɔnnkyerɛɛw no wɔ Juda ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"1KI.14.30", "Na akodzi daa Rehoboam na Jeroboam ntamu daa.", ""
"1KI.14.31", "Na Rehoboam kɔr ne nsamankyir, na wosiee no wɔ n'egyanom nkyɛn wɔ David kurow no mu: nna ne na ne dzin dze Naama, Ammonnyi a, na ne babanyin Abijam dzii hen wɔ n'ananmu.", ""
