"1KI.16.1", "Na EWURADZE n’asɛm baa Hanani ba Jehu nkyɛn tsiaa Baasha, dɛ,", ""
"1KI.16.2", "Susuampa dɛ memaa wo do fii huntuma mu, na mehyɛɛ wo ɔpanyin wɔ me man Israel do; na ɔwo anantsew Jeroboam no kwan mu, na ama me man Israel ayɛ bɔn, na wɔdze hɔn bɔn eyi me ebufuw ntsi;", ""
"1KI.16.3", "hwɛ, mebɛpra Baasha na ne fi korakora; na mebɛyɛ wo fi dɛ Nebat ne ba Jeroboam ne fi.", ""
"1KI.16.4", "Nyia ofi Baasha mu a obowu wɔ kurow mu no nkraman bedzi; na nedze mu nyia obowu wɔ haban mu no, wimu ntumbowa bedzi.", ""
"1KI.16.5", "Afei Baasha no ho nsɛm nkaa no, na dza ɔyɛe, na ne ndam, ana wɔnnkyerɛɛw no wɔ Israel ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"1KI.16.6", "Na Baasha kɔr ne nsamankyir, na wosiee no Tirza; na ne babanyin Ela na odzii hen wɔ n’ananmu.", ""
"1KI.16.7", "Na nkyii so EWURADZE n’asɛm nam Hanani ne ba, nkɔnhyɛnyi Jehu n’abaw do bae betsiaa Baasha na ne fi, osian mbusu a ɔbɔɔ no wɔ EWURADZE enyi do nyinara ntsi, dɛ ɔdze ne nsaano edwuma yii no ebufuw yɛɛ dɛ Jeroboam ne fi no, na osiandɛ okum no ntsi.", ""
"1KI.16.8", "Judahen Asa n’afe a otsia eduonu esia no mu na Baasha ne babanyin Ela hyɛɛ ase dzii hen wɔ Israel do wɔ Tirza, na odzii hen mfe ebien.", ""
"1KI.16.9", "Na n’akowaa Zimri a ɔyɛ ne ntseaseanam mu fa do safohen no, paam ne tsir do: na dabi a ɔnodze ɔwɔ Tirza ronom nsa abow wɔ Arza a ɔhwɛ ahemfiefo do wɔ Tirza no ne fie no:", ""
"1KI.16.10", "na Zimri kɔr hɔ na ɔkɔwɔɔ no kum no, wɔ Judahen Asa n’afe a otsia eduonu esuon no mu, na odzii hen wɔ n’ananmu.", ""
"1KI.16.11", "Na ɔbaa dɛ, aber a ɔhyɛɛ ase ridzi hen no, ntsɛmara a ɔtsenaa n’ahengua do no, nna okum Baasha fifo nyinara: oenngyaa no ɔbanyimba kor mpo, n’ebusuafo mu o, ne mfɛfo mu o.", ""
"1KI.16.12", "Dɛm na Zimri sɛɛ Baasha fi nyinara, dɛ mbrɛ EWURADZE n’asɛm a ɔnam nkɔnhyɛnyi Jehu do kae tsiaa Baasha no tse no,", ""
"1KI.16.13", "wɔ Baasha no bɔn nyinara, na ne ba Ela no bɔn a ɔyɛe, na wɔdze maa Israel so yɛɛ bɔn, dɛ, wɔdze hɔn egyangyandze yii EWURADZE, Israel Nyankopɔn ebufuw no ntsi.", ""
"1KI.16.14", "Afei Ela no ho nsɛm nkaa no, na dza ɔyɛe nyinara, ana wɔnnkyerɛɛw no wɔ Israel ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"1KI.16.15", "Judahen Asa n’afe a otsia eduonu esuon no mu na Zimri dzii hen nda esuon wɔ Tirza. Afei nna Israelman no akyer Gibeton a ɔyɛ Filistiafo dze no ho nsera.", ""
"1KI.16.16", "Na aber a hɔn a wɔakyer nsera no tsee dɛ wɔrese dɛ, Zimri akɔ apam, na eso oeku ɔhen no: dɔm no nyinara dze dɔm do safohen Omri hyɛɛ hen wɔ Israel do da no ara wɔ nsera no mu.", ""
"1KI.16.17", "Na Omri fi Gibeton sii mu kɔree, na Israel akofo nyinara ka no ho, na wokotuaa Tirza.", ""
"1KI.16.18", "Na ɔbaa dɛ, aber a Zimri hun dɛ kurow no wɔagye no, nna osii mu kɔr ɔhen no ne fi aban no mu, na ɔdze ogya hyeew ɔhen no ne fi no guu no do, na owui,", ""
"1KI.16.19", "osian no bɔn a ɔyɛe dɛ ɔyɛɛ dza omuo wɔ EWURADZE enyi do, dɛ ɔnantseew Jeroboam kwan mu, na no bɔn a ɔyɛe dze maa Israel yɛɛ bɔn no mu ntsi.", ""
"1KI.16.20", "Afei Zimri no ho nsɛm nkaa no na no nkontompɔ a otwae no, ana wɔnnkyerɛɛw no wɔ Israel ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"1KI.16.21", "Nna Israelmba no mu paa ekuw ebien: ɔman no mu fa dzii Ginat ne ba Tibni ekyir, dɛ wɔbɛhyɛ no hen: na ɔfa so dzii Omri ekyir.", ""
"1KI.16.22", "Na ɔman no a wodzii Omri ekyir no nsa daa ɔman no a wodzii Ginat ne ba Tibni ekyir no do: na Tibni wui, na Omri dzii hen.", ""
"1KI.16.23", "Judahen Asa n’afe a otsia eduasa biako no mu na Omri hyɛɛ ase dzii hen wɔ Israel do, na odzii hen mfe duebien: mfe esia na ɔdze dzii hen wɔ Tirza.", ""
"1KI.16.24", "Na ɔkɔtɔɔ Samaria koko wɔ Semer hɔ maa dwetɛ ndwetɛbona ebien; na ɔkyekyeer koko no do kurow, na ɔdze koko no wura Semer ne dzin frɛɛ kurow a ɔkyekyeree no ne dzin dɛ Samaria.", ""
"1KI.16.25", "Na Omri yɛɛ dza omuo wɔ EWURADZE enyi do, na ɔyɛɛ emumuyɛdze seen hɔn a wodzii n’enyim nyinara.", ""
"1KI.16.26", "Osiandɛ ɔnantseew Nebat ba Jeroboam no kwan nyinara, na no bɔn a ɔdze maa Israel fomee no mu, dɛ wɔdze hɔn egyangyandze yii EWURADZE, Israel Nyankopɔn no ebufuw.", ""
"1KI.16.27", "Afei Omri no ho nsɛm nkaa no, dza ɔyɛe, na ne mbanyinndam a ɔkyerɛe no, ana wɔnnkyerɛɛw no wɔ Israel ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"1KI.16.28", "Nna Omri kɔr ne nsamankyir, na wosiee no wɔ Samaria: na ne babanyin Ahab dzii hen wɔ n’ananmu.", ""
"1KI.16.29", "Na Judahen Asa n’afe a otsia eduasa awɔtwe no mu Omri ne ba Ahab hyɛɛ ase dzii hen wɔ Israel do: na Omri ne ba Ahab dzii hen wɔ Israel do wɔ Samaria mfe eduonu ebien.", ""
"1KI.16.30", "Na Omri ne ba Ahab yɛɛ dza omuo wɔ EWURADZE enyim seen hɔn a wodzii n’enyim nyinara.", ""
"1KI.16.31", "Na ɔbaa dɛ, dɛ gyama ɔyɛ adze harhar ma no dɛ ɔbɛnantsew Nebat ne ba Jeroboam no bɔn mu no ntsi, nna ɔfaa Zidonfo hen Etbaal ne babaa Jezebel ayewar, na osii mu kɔree kɔsoom Baal, na ɔkotoow no.", ""
"1KI.16.32", "Na osii afɔrmbukyia maa Baal wɔ Baal fi a osii no wɔ Samaria no mu.", ""
"1KI.16.33", "Na Ahab yɛɛ Asera no; na Ahab kɔr do araa dɛ ɔdze beyi EWURADZE, Israel Nyankopɔn no ebufuw sen Israel ahemfo a wodzii n’enyim nyinara.", ""
"1KI.16.34", "Ne nda mu na Bɛtɛlnyi Hiel kyekyeer Jeriko: ɔhweer n’abakan Abiram dze toow ne fapem, na ɔhweer ne ba kaekyir banyin Segub sisii n’ano mbobotsen; dɛ mbrɛ EWURADZE n’asɛm a ɔnam Nun ne ba Josua abaw do kae no tse.", ""
