"1KI.22.1", "Na Siria na Israel tsenaa hɔ mfe ebiasa a ɔko bi nnyi hɔn ntamu.", ""
"1KI.22.2", "Na ɔbaa dɛ afe a otsia ebiasa no mu no, Judahen Jehosafat sianee baa Israelhen do.", ""
"1KI.22.3", "Na Israelhen no see no nkowaa dɛ, Ana hom nyim dɛ Ramot-gilead yɛ hɛndze, na yɛayɛ komm na yɛnngye mmfi Siriahen no nsamu yi?", ""
"1KI.22.4", "Na ɔsee Jehosafat dɛ, Ana enye me bɔkɔ Ramot-gilead akɔko a? Na Jehosafat see Israelhen no dɛ, Metse dɛ woara, me man tse dɛ wo man, mo mpɔnkɔ tse dɛ wo mpɔnkɔ.", ""
"1KI.22.5", "Na Jehosafat see Israelhen no dɛ, Meserɛ wo, bisa EWURADZE n'asɛm ndɛ.", ""
"1KI.22.6", "Nna Israelhen no boaboaa nkɔnhyɛfo no ano, mbarimba bɛyɛ ahaanan, na ɔsee hɔn dɛ, Ana monkɔ Ramot-gilead nkɔko, anaa mingyaa? Na wɔsee dɛ, Fow kɔ; na EWURADZE dze bɛhyɛ ɔhen nsa.", ""
"1KI.22.7", "Na Jehosafat see dɛ, Ana EWURADZE no nkɔnhyɛnyi bi so nnyi ha, ma yeebebisa no hɔ adze?", ""
"1KI.22.8", "Na Israelhen no see Jehosafat dɛ, Ɔbarimba baako bi da ho wɔ ha a nkyɛ yɛnam no do bebisa EWURADZE hɔ adze, Imla ne ba Mikaia a: na mikyir no; osiandɛ ɔnnhyɛ mo ho nkɔm pa, na bɔn nko. Na Jehosafat see dɛ, Mma mma ɔhen nnse dɛm.", ""
"1KI.22.9", "Nna Israelhen no frɛɛ ɔsafohen bi, na ɔsee dɛ, Kɛfa Imla ne ba Mikaia bra ntsɛmara.", ""
"1KI.22.10", "Afei Israelhen na Juda hen Jehosafat tsetse hɔn nhengua do nkorkor, hyehyɛ hɔn ahentar, wɔ Samaria kuropon ahɛnee gua do; na nkɔnhyɛfo no nyinara rehyɛ nkɔm wɔ hɔn enyim.", ""
"1KI.22.11", "Na Kenaana ne ba Zedekia yɛɛ dadze mmbɛn, na ɔsee dɛ, Mbrɛ EWURADZE se nye yi, Iyinom na edze bosun Siriafo no ara ma wɔahyew.", ""
"1KI.22.12", "Na nkɔnhyɛfo no nyinara hyɛɛ nkɔm dɛm, dɛ, Fow kɔ Ramot-gilead na kɛyɛ yie: na EWURADZE dze bɛhyɛ ɔhen nsa.", ""
"1KI.22.13", "Na ɔbɔfo no a ɔkɔr dɛ ɔrekɛfrɛ Mikaia no kaa kyerɛɛ no dɛ, Afei hwɛ, nkɔnhyɛfo no dze ano kor ka nsɛm pa kyerɛ ɔhen: Meserɛ wo, ma w'asɛm nyɛ dɛ hɔn mu baako n'asɛm, na ka dɛ oye.", ""
"1KI.22.14", "Na Mikaia see dɛ, Dɛ EWURADZE tse ase yi, dza EWURADZE bɛse me no, ɔno na mebɛka.", ""
"1KI.22.15", "Na aber a ɔbaa ɔhen no nkyɛn no, ɔhen no see no dɛ, Mikaia, ana yɛnkɔ Ramot-gilead nkɔko, anaa yenngyaa? Na obuaa dɛ, Fow kɔ na kɛyɛ yie; na EWURADZE dze bɛhyɛ ɔhen nsa.", ""
"1KI.22.16", "Na ɔhen no see dɛ, Mpɛn ahen ara na menka ntam ngu wo do ma ka dza ɔyɛ nokwar nko wɔ EWURADZE ne dzin mu kyerɛ me?", ""
"1KI.22.17", "Na ɔsee dɛ, Muhun Israel nyinara dɛ wɔapetse mbepɔw do, dɛ nguan a wonnyi oguanhwɛfo: na EWURADZE see dɛ, Iyinom wonnyi wura; ma wɔnsan, nyimpa biara nkɔ ne fie asomdwee mu.", ""
"1KI.22.18", "Na Israelhen no see Jehosafat dɛ, Ana mannka annkyerɛ wo dɛ, Ɔnnkɛhyɛ mo ho nkɔm pa, dɛ bɔn nko?", ""
