"1PE.5.1", "Mpanyin a wɔwɔ hom mu no, emi a mo so meyɛ ɔpanyin, nye Kraest amandzehu ho dasefo, na mowɔ kyɛfa wɔ enyimnyam a wɔrebɛda no edzi no mu no, mutu hom fo dɛ:", ""
"1PE.5.2", "Hom nnyɛn Nyankopɔn nguankuw a wɔdze ahyɛ hom nsa no. Hom nhwɛ hɔn do wɔ Nyame mu; nnyɛ nhyɛdo, na mbom ɔpɛdo, nnyɛ edzifodzepɛ ntsi, na mbom dɛ hom wɔ mu enyigye ntsi;", "#Joh 21.15-17"
"1PE.5.3", "nnyɛ dɛ hɔn a wodzi dza wɔdze ahyɛ hɔn nsa no do ahokyerɛ mu, na mbom hom nyɛ fasusu mma nguankuw no.", ""
"1PE.5.4", "Na sɛ Oguanhwɛfo panyin no yi noho edzi a, hom eenya enyimnyam ahenkyɛw a ɔmmpa da no.", ""
"1PE.5.5", "Dɛmara na hom mbabun so, hom mbrɛ homho adze nhyɛ mpanyimfo ase. Nyew, hom nyina mbrɛ homho adze nhyehyɛ homho ase, na hom mfura ahobrɛadze dɛ tam: osiandɛ Nyankopɔn siw ahopɔwfo kwan, mbom ɔdom ahobrɛadzefo.", "#Mbɛ 3.34"
"1PE.5.6", "Dɛm ntsi hom mbrɛ homho adze nhyɛ Nyankopɔn tum nsa no ase, ama ɔaama hom do wɔ ber a ɔsɛ mu.", "#Mat 23.12; Luk 14.11; 18.14"
"1PE.5.7", "Hom ntow hom dadwen nyina nkyen no do, osiandɛ ɔdwen hom ho.", ""
"1PE.5.8", "Hom nyɛ enyigyen, hom nweɔn: osiandɛ hom tamfo abɔnsam tse dɛ gyata a ɔropɔw nenam rohwehwɛ nyia obenya no amen no:", ""
"1PE.5.9", "ɔno na hom nsiw no kwan pintsinn wɔ gyedzi no mu, osiandɛ hom nyim dɛ amandzehu kor no ara na wɔreda no edzi wɔ hom nuanom a wɔwɔ wiadze mu no mu.", ""
"1PE.5.10", "Na adom nyina Nyankopɔn a ɔafrɛ hom aba n'enyimnyam a onnyiewiei mu wɔ Kraest mu no, sɛ hom nya hu amandze kakra a, ekyir yi nankasa bɛma hom edzi mu, egyina pintsinn, ɔbɛhyɛ hom dzen, na obesi hom pi.", ""
"1PE.5.11", "Ɔno na enyimnyam nye tumdzi yɛ nedze mbersantsen mfesantsen. Amen.", ""
"1PE.5.12", "Menam onua Silvanus a mubu no nokwafo no do, na makyerɛw nsɛm kakra yi abrɛ hom, medze tu hom fo, midzi dase dɛ iyi nye Nyankopɔn no nokwar adom no. Hom ngyina mu pintsinn.", "#Ndwu 15.22, 40"
"1PE.5.13", "Asɔr a ɔwɔ Babilɔn a ɔno so ɔasan mu eyi no dɛ mbrɛ woeyi hom no, kyia hom; me ba Mark so kyia hom.", "#Ndwu 12.12, 25; 13.13; 15.37-39; Kol 4.10; Fael 24"
"1PE.5.14", "Hom mfa etuwyɛ a ɔdɔ wɔ mu nkyiakyia homho. Asomdwee nka hom a hom wɔ Kraest Jesus mu nyina.", ""
