"1SA.5.1", "Na Filistiafo no faa Nyankopɔn n’adakaa no, na wɔdze fii Ebenezer baa Ashdod.", ""
"1SA.5.2", "Na Filistiafo no faa Nyankopɔn n’adakaa no, na wɔdze baa Dagon ne fie, na wɔdze besii Dagon ne nkyɛn.", ""
"1SA.5.3", "Na adze kyee no a Ashdodfo no soɛɛr anapaatu no, nna hwɛ, Dagon ahwe daadze ma n’enyim bom famu wɔ EWURADZE n’adakaa no enyim. Na wɔfaa Dagon, na wɔdze no sii ne sibea bio.", ""
"1SA.5.4", "Na adze kyee a wɔsoɛɛr anapaatu no, hwɛ, Dagon ahwe daadze bio ma n’enyim bom famu wɔ EWURADZE n’adakaa no enyim; na Dagon ne tsir na ne nsakum ebien nyina etwitwa gu apondua ase dze no do; na Dagon no kutusin no ara nko na aka.", ""
"1SA.5.5", "Dɛm ntsi nna Dagon n’asɔfoe, anaaso obiara a ɔba Dagon fie no, nntsia Dagon n’apondua ase dze no do wɔ Ashdod dze bodu ndɛ da yi.", ""
"1SA.5.6", "Na Nyankopɔn ne nsa yɛɛ dur wɔ Ashdodfo do, na opuuw hɔn, na ɔmaa mpɔmpɔ bobɔɔ hɔn; mekyerɛ Ashdod na no ho nkurow no.", ""
"1SA.5.7", "Na Ashdodfo no hun dɛ ɔtse dɛm no, wɔsee dɛ, Israel hɔn Nyankopɔn n’adakaa no nnkɛnye hɛn atsena: osiandɛ ne nsa ayɛ dzen wɔ hɛn, na hɛn nyame Dagon do papa.", ""
"1SA.5.8", "Dɛm ntsi wɔsomae ma wokehyiahyiaa Filistiafo mpanyimfo no nyinara ma wɔbaa hɔn nkyɛn, na wɔsee dɛ, Yɛnyɛ Israel Nyankopɔn n’adakaa no dɛn? Na wobuaa dɛ, Wɔmma wɔnsoa Israel Nyankopɔn n’adakaa no nkɔ Gat. Na wɔsoaa Israel Nyankopɔn n’adakaa no kɔr hɔ.", ""
"1SA.5.9", "Na ɔbaa dɛ, wɔsoae kɔree ekyir no, EWURADZE ne nsa dze ewuwuiwu kɛsenara baa kurow no do: na ɔbobɔɔ kurow no mu mba no, mbofra na mpanyin nyina, na mpɔmpɔ bobɔɔ hɔn.", ""
"1SA.5.10", "Nna wɔsomae ma wɔdze Nyankopɔn n’adakaa no kɔr Ekron. Na ɔbaa dɛ Nyankopɔn n’adakaa no dur Ekron no, nna Ekronfo no kekaa mu dɛ, Wɔdze Israel Nyankopɔn n’adakaa no abrɛ hɛn dze rubokuku hɛn na hɛn nkorɔfo.", ""
"1SA.5.11", "Dɛm ntsi wɔsomae ma wokehyiahyiaa Filistiafo mpanyimfo, nna wɔsee dɛ, Wɔmma wɔmfa Israel Nyankopɔn n’adakaa no nkɔ n’ananmu bio, amma woeennkuku hɛn na hɛn nkorɔfo: osiandɛ ewuwuiwu kɛsenara baa kurow no nyinara do; na Nyankopɔn ne nsa yɛɛ duduudur wɔ hɔn do.", ""
"1SA.5.12", "Na nkorɔfo no a woennwuwu no, mpɔmpɔ bobɔɔ hɔn: na kurow no ne ntseamu kɔr sor.", ""
