"1SA.6.1", "Na EWURADZE n’adakaa no dzii abosoom esuon wɔ Filistiafo mba no mu.", ""
"1SA.6.2", "Na Filistiafo no frɛɛ asɔfo na akɔmfo no dɛ, Yɛnyɛ EWURADZE n’adakaa no dɛn? Hom nkyerɛ hɛn dza yɛmfa nka ho nkesi n’ananmu.", ""
"1SA.6.3", "Na wɔsee dɛ, Sɛ hom dze Israel Nyankopɔn n’adakaa no rokɔ a, mma hom mmfa no pan nnkɔ; na mbrɛ ɔbɛyɛ nyinara hom mfa asodzi afɔr mma no: na hom ho bɛyɛ hom dzen, na hom bohu adze kor a osian ntsi ma ne nsa mmfi hom do.", ""
"1SA.6.4", "Nna wobisaa dɛ, Ebɛn asodzi afɔr na yɛmfa mma no? Na wɔsee dɛ, Sika a wɔayɛ no dɛ mpɔmpɔ enum, na sika nkura enum, dɛ mbrɛ Filistiafo mpanyimfo no hɔn dodow tse: na mbusu kor no ara na ɔbaa hom na hom mpanyimfo nyinara do.", ""
"1SA.6.5", "Dɛm ntsi hom nyɛ hom mpɔmpɔ no n’ehonyi, na hom nkura a wɔsɛɛ asaase no n’ehonyi; na hom mfa enyimnyam mma Israel Nyankopɔn; kyerɛ gyangyanbiara obeyi ne nsa efi hom, na hom enyame, na hom asaase do a.", ""
"1SA.6.6", "Ɔyɛ dɛn ntsi mbom na hom pirim hom akoma dɛ mbrɛ Egyptfo na Farao piriim hɔn akoma yi? Aber a ɔyɛɛ anwanwadze wɔ hɔn mu no, ana woenngya nkorɔfo no kwan, ma wɔaannkɔ bi a?", ""
"1SA.6.7", "Dɛm ntsi afei, hom mfa tseaseanam fofor na hom nsiesie, na anantwiber ebien a wɔma enumfo a kɔndua nnkɔr hɔn do da, na hom mfa anantwi no nsa tseaseanam no, na hom mpaa hɔn mba no mfi hɔn ho mbra fie:", ""
"1SA.6.8", "na hom mfa EWURADZE n’adakaa no nsi tseaseanam no do, na hom mfa sika egudze no a hom dze reyɛ asodzi afɔr ama no no ngu sikadaka mu nsi ne nkyɛn; na wongya no kwan ma ɔnkɔ.", ""
"1SA.6.9", "Na wɔnhwɛ, sɛ ɔfa noara no ntoaado kwan too kɔ Bɛt-semes a, nna ɔnoara na ɔabɔ hɛn mbusu kɛse yi: na sɛ annyɛ dɛm a, nna yebohu dɛ nnyɛ ne nsa bi na okum hɛn, na esian bi na esian hɛn.", ""
"1SA.6.10", "Na mbarimba no yɛɛ dɛm: na wɔfaa anantwiber a wɔma enumfo ebien, na wɔdze hɔn sesee tseaseanam no, na wɔtoow hɔn mba no mu wɔ fie:", ""
"1SA.6.11", "na wɔdze EWURADZE n’adakaa no sii tseaseanam no do, na wɔdze sikadaka no a sika nkura na hɔn mpɔmpɔ ehonyi wɔ mu no kaa ho.", ""
"1SA.6.12", "Na anantwiber no faa akwantsen kɔr Bɛt-semes kwan no do; wɔfaa tsempɔn no do kɔree, mbrɛ wɔrokɔ no nna worusu, na wɔanndan ammfa enyimfa anaa abankum; na Filistiafo mpanyimfo no dzii hɔn ekyir kodur Bɛt-semes ntoaado.", ""
"1SA.6.13", "Nna Bɛt-semesfo rutwa hɔn ewifua wɔ bɔnsa no mu: na wɔmemaa hɔn enyi do, na wohun adaka no, na ɔyɛɛ hɔn dɛw dɛ wohunii.", ""
"1SA.6.14", "Na tseaseanam no baa Bɛt-semesnyi Josua ne haban mu, na ogyinaa hɔ, beebi mbrɛ ɔbo kɛse bi wɔ: na wɔpaapaa tseaseanam no no dua no mu, na wɔdze anantwiber no bɔɔ ɔhyew afɔr maa EWURADZE.", ""
"1SA.6.15", "Na Levifo no yii EWURADZE n’adakaa no sii famu, na sikadaka no a ɔka ho no a sika egudze no wɔ mu no, na wɔdze sisii ɔbo kɛse no do: na Bɛt-semesfo bobɔɔ ɔhyew afɔr, na wokunkum okum afɔr da no ara maa EWURADZE.", ""
"1SA.6.16", "Na Filistiafo mpanyimfo beenum no hunii no, wɔsanee kɔr Ekron da no ara.", ""
"1SA.6.17", "Na iyinom nye sika mpɔmpɔ a Filistiafo no dze yɛɛ asodzi afɔr dze maa EWURADZE no; Ashdod dze kor, Gaza dze kor, Ashkelon dze kor, Gat dze kor, Ekron dze kor;", ""
"1SA.6.18", "na sika nkura no, tse dɛ mbrɛ Filistiafo nkurow a ɔyɛ mpanyimfo beenum no dze no no dodow tse, nkurow a wɔatotow ho aban na nkurobaase: mekyerɛ ɔdze kodu ɔbo kɛse no a wɔdze EWURADZE n’adakaa no sii do no ho, ɔbo no wɔ hɔ ara dze bodu ndɛ da yi wɔ Bɛt-semesnyi Josua ne haban mu.", ""
"1SA.6.19", "Na EWURADZE kum Bɛt-semesfo no mu bi, osiandɛ wɔahwɛ EWURADZE n’adakaa no mu, mekyerɛ okum ɔman no mu nyimpa eduosuon, na nyimpa mpemeduonum: na ɔman no dzii awerɛhow, osiandɛ EWURADZE dze oku kɛse eku ɔman no.", ""
"1SA.6.20", "Na Bɛt-semesfo no see dɛ, Woana na obotum egyina EWURADZE, Nyankopɔn Krɔnkrɔn yi enyim, na obefi hɛn nkyɛn akɔ woana hɔ?", ""
"1SA.6.21", "Na wotuu abɔfo ma wɔkɔr Kiriat-jearimfo hɔ, dɛ, Filistiafo dze EWURADZE n’adakaa no asan bio; hom mbra, na hom mbɛfa mfow nkɔ hom nkyɛn.", ""
