"1SA.8.1", "Na ɔbaa dɛ, Samuel yɛɛ akɔdaa no, ɔyɛɛ ne mbabanyin atsɛmbuafo wɔ Israel do.", ""
"1SA.8.2", "Na n’abakan ne dzin dze Joel; na nyia otsia hɔ no dzin dze Abija: wɔyɛɛ atsɛmbuafo wɔ Beer-seba.", ""
"1SA.8.3", "Naaso ne mba annantsew n’akwan do, na wɔdanee kedzii mfaso ekyir, na wɔgyegyee mboaba, na wobubuu ntɛnkyew.", ""
"1SA.8.4", "Nna Israel mpanyimfo nyinara boaboaa hɔn ano, na wɔbaa Samuel nkyɛn wɔ Rama:", ""
"1SA.8.5", "na wɔsee no dɛ, Hwɛ, ɔwo ayɛ akɔdaa, na wo mbabanyin so nnantsew w’akwan do: afei hyɛ hen ma hɛn, ma ɔnhwɛ hɛn do dɛ mbrɛ amanaman nyinara yɛ no.", ""
"1SA.8.6", "Na aber a wɔsee dɛ, Ma hɛn ɔhen ma ɔnhwɛ hɛn do no, asɛm no annyɛ Samuel dɛw. Na Samuel bɔɔ mpaa maa EWURADZE.", ""
"1SA.8.7", "Na EWURADZE see Samuel dɛ, Tsie ɔman no ne ndze wɔ dza wɔse wo nyinara mu: na nnyɛ ɔwo bi na wɔapow wo na emi mbom na wɔapow me dɛ mma mma minndzi hɔn do hen.", ""
"1SA.8.8", "Dɛ mbrɛ ndzeyɛe a wɔayɛ nyinara ofitsi da a miyii hɔn wɔ Egypt bae, dze ebodu ndɛ, wɔ dɛ wɔapow me na wɔakɔsom enyame fofor no, dɛmara so na wɔdze reyɛ wo so.", ""
"1SA.8.9", "Dɛm ntsi afei tsie hɔn ndze: mbom kɔkɔ papaara na bɔ hɔn, na kyerɛ hɔn ɔhen a ɔbɔhwɛ hɔn do no ne ndzeyɛe.", ""
"1SA.8.10", "Na Samuel kaa EWURADZE ne nsɛm no nyinara kyerɛɛ ɔman no a wobisaa ɔhen wɔ no hɔ no.", ""
"1SA.8.11", "Na ɔsee dɛ, Ɔhen a ɔbɔhwɛ hom do no mbrɛ ne ndzeyɛe bɛyɛ nye yi: ɔbɛfa hom mbabanyin, na ɔdze hɔn akɔ ne ntseaseanam, na no mpɔnkɔdofo mu; na wobotu mbirika edzi ne ntseaseanam enyim:", ""
"1SA.8.12", "na ɔdze hɔn ayɛ apem do asafohemfo, na eduonum eduonum do asafohemfo; na ɔbɛma binom adɔw n’asaase, na woebu no ndɔbaa, na wɔayɛ n’akodze, na ne ntseaseanam ho adze.", ""
"1SA.8.13", "Na ɔbɛfa hom mbabaa ma wɔaayɛ eduhuamforafo, na edzibanyɛfo, na boodoo atofo.", ""
"1SA.8.14", "Na ɔbɛgye hom nhaban na hom wenyin nture, na hom ngodua nture; mekyerɛ no mu papa no a, na ɔdze ama n’asomfo.", ""
"1SA.8.15", "Na ɔbɛfa hom aba na hom wenyin nture no mu ebupɛn du du, na ɔdze ama n’asafohemfo na n’asomfo.", ""
"1SA.8.16", "Na ɔbɛfa hom nkowaa, na hom mfonabaa, na hom mberantsɛ mu apapa no, na hom nsoasopɔnkɔ, na ɔdze hɔn egu n’edwuma mu.", ""
"1SA.8.17", "Ɔbɛfa hom nguankuw mu ebupɛn du du: na hom ayɛ no nkowaa.", ""
"1SA.8.18", "Na da no hom bosu wɔ hom hen a hom asan mu afa no ntsi; naaso EWURADZE nnkobua hom da no.", ""
"1SA.8.19", "Naaso ɔman no poow dɛ wobetsie Samuel ne ndze; na wɔsee dɛ, Oho; ɔhen ara na yɛregye ma ɔaahwɛ hɛn do;", ""
"1SA.8.20", "ma hɛn so yɛayɛ dɛ mbrɛ amanaman nyinara tse; na ama hɛn hen ahwɛ hɛn do, na oeepue edzi hɛn enyim, na ɔaako hɛn ko.", ""
"1SA.8.21", "Na Samuel tsee ɔman no hɔn nsɛm nyinara na ɔkɛkaa ne nyinara esiado esiado kyerɛɛ EWURADZE.", ""
"1SA.8.22", "Na EWURADZE see Samuel dɛ, Tsie hɔn ndze, na hyɛ ɔhen ma hɔn. Na Samuel see Israel mbarimba no dɛ, Hom mu obiara nkɔ no kurow mu.", ""
