"1SA.23.1", "Na wɔkaa kyerɛɛ David dɛ, Hwɛ, Filistiafo nye Keila roko, na wɔrofow ewuporowee no.", ""
"1SA.23.2", "Dɛm ntsi David bisaa EWURADZE dɛ, Ana monkɔ munkoku Filistiafo yi? Na EWURADZE see David dɛ, Kɔ, na koku Filistiafo no, na gye Keila nkwa.", ""
"1SA.23.3", "Na David ne mbarimba no see no dɛ, Hwɛ, yesuro wɔ Juda ha yi, ɔbɛyɛ dɛn na burbur nkyii yɛbɔkɔ Keila nye Filistiafo akɔko.", ""
"1SA.23.4", "Nna David kɔr do araa bisaa EWURADZE bio, na EWURADZE buaa no dɛ, Soɛr, sian kɔ Keila; na mibeyi Filistiafo no ahyɛ wo nsa.", ""
"1SA.23.5", "Na David na ne mbarimba no sii mu kɔr Keila, na wɔnye Filistiafo no kɔkoe, na wɔfaa hɔn anyɛmbowa bae, na wokum hɔn oku kɛsenara. Nna David gyee Keilafo nkwa.", ""
"1SA.23.6", "Na ɔbaa dɛ aber a Ahimelek ne ba Abiathar ruguan akɔ David nkyɛn wɔ Keila no, nna asɔfotar kitsa ne nsamu na ɔdze kɔree.", ""
"1SA.23.7", "Na wɔkaa kyerɛɛ Saul dɛ David aba Keila. Na Saul see dɛ, Nyankopɔn eyi no ahyɛ me nsa; na wɔatow no mu dɛ ɔakɛhɛn kurow a ɔwɔ nkuropon na adaban mu.", ""
"1SA.23.8", "Na Saul hyiahyiaa ɔman no nyinara dɛ wɔnkɔ ɔsa, wɔnkɔ Keila, wonkotua David na ne mbarimba no.", ""
"1SA.23.9", "Na David hun dɛ Saul rekyer no ho sa bɔn; na ɔsee ɔsɔfo Abiathar dɛ, Fa asɔfotar no bra ha.", ""
"1SA.23.10", "Nna David see dɛ, EWURADZE, Israel Nyankopɔn, w’akowaa atse no ampaara dɛ Saul rohwehwɛ aba Keila, abɛsɛɛ kurow no wɔ me ntsi.", ""
"1SA.23.11", "Ana Keilafo beyi me ahyɛ ne nsa? Ana Saul bɛba dɛ mbrɛ w’akowaa matse no? EWURADZE, Israel Nyankopɔn e, mokotow serɛ wo, ka kyerɛ w’akowaa. Na EWURADZE see dɛ, Ɔbɛba.", ""
"1SA.23.12", "Nna David see dɛ, Ana Keila beyi emi na me mbarimba no ahyɛ Saul nsa? Na EWURADZE see dɛ, Wobeyi wo ama.", ""
"1SA.23.13", "Nna David na ne mbarimba a wɔbɛyɛ ahaesia no, soɛree, na wosii mu fii Keila, na wɔkɔr beebiara a wobotum kɔ. Na wɔkaa kyerɛɛ Saul dɛ, David efi nsa eguan efi Keila; na ogyaa dɛ ɔbɔkɔ.", ""
"1SA.23.14", "Na David kɛtsenaa sar no do, wɔ akoban no mu, na ɔtsenaa koko do nkurow no mu wɔ Zif sar no do. Na daa nyinara Saul hwehwɛɛ no, naaso Nyankopɔn ennyi no annhyɛ ne nsa.", ""
"1SA.23.15", "Na David hun dɛ Saul epue robɔhwehwɛ eku no: ber a nna ɔwɔ Zif sar no do wɔ kwaa no mu.", ""
"1SA.23.16", "Na Saul ne ba Jonatan soɛree na ɔkɔr David nkyɛn, wɔ kwaa no mu, na ɔkɛhyɛɛ ne nsa dzen wɔ Nyankopɔn mu.", ""
"1SA.23.17", "Na ɔsee no dɛ, Mma nnsuro; na m’egya Saul ne nsa nnkɛka wo; na ebɛyɛ hen wɔ Israel do, na mayɛ w’edziekyir; na m’egya Saul so nyim no dɛm.", ""
"1SA.23.18", "Na hɔn beenu no dzii ahyɛmu wɔ EWURADZE n’enyim: na David tsenaa kwaa no mu, na Jonatan sii mu kɔr ne fie.", ""
