"1TH.5.1", "Na nda no nye mber no ho dze, enuanom, onnhia hom dɛ wɔkyerɛw biribi brɛ hom.", ""
"1TH.5.2", "Osiandɛ homankasa nyim pefee dɛ Ewuradze ne da no bɛba dɛ mbrɛ owifo ba anadwe.", "#Mat 24.43; Luk 12.39; 2 Pet 3.10"
"1TH.5.3", "Na ber a wɔrese dɛ, Asomdwee nye ahotɔ no, nna awerɛfir sɛɛ bɛba hɔn do dɛ mbrɛ awoko ba ɔbaa a onyinsen do; na wonnkefi nsa.", ""
"1TH.5.4", "Na hom dze, enuanom, hom nnyi sum mu, nna da no abɔto hom dɛ owifo.", ""
"1TH.5.5", "Hom nyina yɛ kan mba nye adzekyee mba; yɛnnyɛ adzesaa anaa sum mba.", ""
"1TH.5.6", "Dɛm ntsi mma hom mma yɛnndeda dɛ nkaa no, na mbom hom mma yɛnweɔn na hɛn enyi nda hɔ.", ""
"1TH.5.7", "Na hɔn a wɔda da anadwe; na hɔn a wɔbow bow anadwe.", ""
"1TH.5.8", "Na hɛn dze, yɛyɛ adzekyee mba ntsi, hom mma hɛn enyi nda hɔ, yɛnhyɛ gyedzi nye ɔdɔ dɛ akatabo, nye nkwagye ho enyidado no dɛ dadzekyɛw.", "#Isa 59.17; Efe 6.13-17"
"1TH.5.9", "Na Nyankopɔn ennyi hɛn annto hɔ amma ebufuw, na mbom dɛ yebenya nkwagye a ɔnam hɛn Ewuradze Jesus Kraest do.", ""
"1TH.5.10", "Ɔno na owui maa hɛn ama sɛ yɛtse ase o, yewu o, yɛnye no nyina aatsena ase.", ""
"1TH.5.11", "Dɛm ntsi hom nhyɛ hom ho nkuran nkorkor, na hom mboa hom ho nkorkor dɛ mbrɛ hom reyɛ yi ara.", ""
"1TH.5.12", "Na yɛserɛ hom, enuanom, dɛ hom ndzi hɔn a wɔyɛ hom mu edwuma no nyi, na wodzi hom do mpanyin wɔ Ewuradze mu, na wɔkasa kyerɛ hom no.", ""
"1TH.5.13", "Hom mfa ɔdɔ mbu hɔn papaapa, osian hɔn edwuma no ntsi. Hom ntsena asomdwee mu.", ""
"1TH.5.14", "Na yetu hom fo so, enuanom, dɛ hom nkasa nkyerɛ hɔn a wɔyɛ basabasa, hom nkyekye hɔn a hɔn akoma apa werɛ, hom nwowaw hɔn a wɔyɛ mberɛw, na hom nyɛ penkyɛr wɔ nyimpa nyina afamu.", ""
"1TH.5.15", "Hom nhwɛ mma obi ammfa bɔn enntua obi bɔn kaw; na mbom hom ndzi dza oye ekyir daa, wɔ hom ho nkorkor nye nyimpa nyina afamu.", ""
"1TH.5.16", "Hom enyi ngye daa;", ""
"1TH.5.17", "mma hom nngyaa mpaabɔ da;", ""
"1TH.5.18", "adze nyina mu hom nda ase: na iyi nye Nyankopɔn ne pɛ wɔ Kraest Jesus mu wɔ hom ho.", ""
"1TH.5.19", "Mma hom nndum Sunsum no;", ""
"1TH.5.20", "mma hom mmbu nkɔnhyɛsɛm enyimtsia;", ""
"1TH.5.21", "mbom hom nsɔ adze nyina nhwɛ; hom nsuo dza oye mu dzen;", ""
"1TH.5.22", "hom ntwe homho mfi bɔn biara ho.", ""
"1TH.5.23", "Na ɔno asomdwee Nyankopɔn nankasa nsan hom ho koraa, na ɔnkora hom sunsum nye kra nye nyimpadua do dɛ asɛm bi nnyi ho wɔ Ewuradze Jesus Kraest ne ba mu.", ""
"1TH.5.24", "Ɔnokwafo nye nyia ɔafrɛ hom no, na ɔnoara so na ɔbɛyɛ.", ""
"1TH.5.25", "Enuanom, hom mbɔ mpaa mma hɛn.", ""
"1TH.5.26", "Hom mfa etuwyɛ  krɔnkrɔn nkyiakyia enuanom nyina.", "#5.26 Griik no ka dɛ MFEWANO."
"1TH.5.27", "Medze Ewuradze no tum hyɛ hom dɛ hom nkenkan nwoma yi nkyerɛ enuanom no nyina.", ""
"1TH.5.28", "Ewuradze Jesus Kraest n'adom nka hom.", ""
