"1TI.3.1", "Ɔyɛ nokwasɛm dɛ, Sɛ obi pɛ ɔhwɛfo edwuma a, ɔapɛ edwuma pa.", ""
"1TI.3.2", "Dɛm ntsi, ɔsɛ ɔhwɛfo dɛ no ho nnyi asɛm, ɔyɛ ɔyer baako kun, n'enyi da hɔ, n'adwen mu tsew, ɔyɛ wense wense, ɔpɛ ahɔhoyɛ, otum kyerɛkyerɛ;", "#Tit 1.6-9"
"1TI.3.3", "ɔnnyɛ nsahweam, ɔnnyɛ pupopupo; na mbom ɔdwe, ɔmmpɛ ham, ɔnnyɛ sikanyibernyi;", ""
"1TI.3.4", "ɔhwɛ nankasa ne fie do yie, ma ne mba hyɛ n'ase wɔ fɔntɔmmyɛ nyina mu;", ""
"1TI.3.5", "na sɛ obi nnhu nankasa ne fi do hwɛ a, ɔyɛ dɛn tum hwɛ Nyankopɔn n'asɔr do?", ""
"1TI.3.6", "Mma ɔnnyɛ obi a ɔbaa asɔr no mu nkyɛree, amma ɔaannhoran annkɔtɔ abɔnsam n'afɔbu mu.", ""
"1TI.3.7", "Afei so ɔsɛ dɛ hɔn a wɔwɔ ekyir so bɔ no dzin pa; amma ɔaannhwe enyimguase nye abɔnsam efir mu.", ""
"1TI.3.8", "Dɛmara na asɔr mu asomfo no so ɔsɛ dɛ hɔn enyim yɛ fɔntɔmm, wɔnnyɛ tɛkyerɛmanta, wɔnnyɛ nsahweam, wɔnnyɛ edzifodzepɛfo;", ""
"1TI.3.9", "wɔkora gyedzi esumasɛm no wɔ tsibowa a no ho tsew mu.", ""
"1TI.3.10", "Na yinom so wondzi kan nsɔ hɔn nhwɛ ana, sɛ hɔn ho nnyi asɛm bi a, wɔasom dɛ asɔr mu asomfo.", ""
"1TI.3.11", "Mbaa so hɔn enyim nyɛ fɔntɔmm dɛmara, mma wɔnnyɛ anokumdzifo, mbom nkorɔfo a hɔn enyi da hɔ, na wodzi nokwar wɔ adze nyina mu.", ""
"1TI.3.12", "Asɔr mu asomfo no mu biara nyɛ nyimpa a ne yer kor a wɔhwɛ hɔn mba nye hɔnankasa hɔn fie do yie.", ""
"1TI.3.13", "Na hɔn a wɔasom yie dɛ asɔr mu asomfo no, wonya gyinabew pa, nye ndamyɛ kɛse wɔ gyedzi a ɔwɔ Kraest Jesus mu no mu.", ""
"1TI.3.14", "M'enyi da kwan dɛ ɔnnkɛkyɛr na maba wo nkyɛn, naaso merekyerɛw iyi abrɛ wo;", ""
"1TI.3.15", "ama sɛ bi a mebɛkyɛr a, eehu mbrɛ ɔsɛ dɛ ebɔ wo bra wɔ Nyankopɔn fie a ɔyɛ Nyankopɔn tseasefo n'asɔr mu a ɔyɛ nokwar no ne fadum nye ne ngyinado no.", ""
"1TI.3.16", "Na ekyingye nnyi ho dɛ nyamesom esumasɛm no so ampaara; Nyankopɔn daa no ho edzi wɔ honam mu, wobuu no bem wɔ sunsum mu, abɔfo hun no, wɔbɔɔ no dawur wɔ amanaman mu, wɔgyee no dzii wɔ wiadze, wɔfaa no kɔr sor wɔ enyimnyam mu.", ""
