"1TI.5.1", "Mma nntwuw ɔpanyin enyim, na mbom tu no fo dɛ egya; na mberantsɛ no dɛ enuanom;", ""
"1TI.5.2", "mbaampanyin no dɛ nanom; nkataasia no dɛ nkyerɛbaa, wɔ ahotsew nyina mu.", ""
"1TI.5.3", "Ekunafo a wɔyɛ ekunafo ara ampa no, dzi hɔn nyi.", ""
"1TI.5.4", "Na sɛ okunafo bi wɔ mba anaa mbanana a, wɔmma wonsua dɛ wodzi kan kyerɛ nyamesompa wɔ hɔn efiefi do, na wontua hɔn awofo kaw; na iyi na ɔsɔ enyi wɔ Nyankopɔn enyim.", ""
"1TI.5.5", "Na nyia ɔyɛ okunafo ampa, na aka no nko no, ɔdze n’enyidado to Nyankopɔn do, na osuo nkotoserɛ asɔr nye mpaabɔ mu adzekyee nye adzesaa.", ""
"1TI.5.6", "Na nyia ɔdze noho ma wiadze enyigye no, ɔyɛ tseaseewu.", ""
"1TI.5.7", "Na nsɛm yi na kyerɛkyerɛ hɔn, amma woeennya hɔn ho asɛm bi annka.", ""
"1TI.5.8", "Na sɛ obi annhwɛ nankasa nedze, nkanka ne fiefo a, ɔapa gyedzi no, ɔyɛ nyimpa bɔn kyɛn nyia ɔnngye nndzi mpo.", ""
"1TI.5.9", "Mma wɔmmfa obi a onnyae nndzii mfe eduosia mmfora ekunafo nnkan. Ɔwɔ dɛ ɔyɛ obi a ɔawar kun kor,", ""
"1TI.5.10", "na wɔbɔ no dzin pa wɔ ndwuma ho dɛ: ɔatsetse mbofra, ɔayɛ ahɔhoyɛ, ɔahohor ahotseweefo no anan ho, ɔaboa hɔn a wɔakɔ ahohia mu, na ɔdze no ho ama ndwuma pa nyina.", ""
"1TI.5.11", "Na ekunafo a wonnyinii dze, mma nngye hɔn; osiandɛ sɛ Kraest ho fon hɔn a, wɔbɛpɛ dɛ wɔbɔwar;", ""
"1TI.5.12", "na wonya afɔbu dɛ wɔapow gyedzi a odzi kan no.", ""
"1TI.5.13", "Na no mu ara so na wosua enyihaw, kyimakyima efiefi; na nnyɛ enyihaw nko, na wɔyɛ anobɛrbɛr nye agyegyensɛm mu so, keka nsɛm a ɔnnsɛ hɔn dɛ wɔka.", ""
"1TI.5.14", "Dɛm ntsi mepɛ dɛ hɔn a wonnyinii no, wɔwar, wo mba, hwɛ fie, na wɔaamma ɔtamfo biara kwan mma ɔaannyaw hɔn;", ""
"1TI.5.15", "osiandɛ binom adan ekedzi abɔnsam ekyir dada.", ""
"1TI.5.16", "Na sɛ ɔbaa gyedzinyi  bi wɔ ekunafo a, wɔmma ɔmboa hɔn; na mma wɔnnyɛ adzesoa mma asɔr; ama asɔr no aaboa hɔn a wɔyɛ ekunafo ara ampa no.", "#5.16 ƆBAA GYEDZINYI: Anaadɛ: “Ɔbanyin gyedzinyi”."
"1TI.5.17", "Mpanyimfo a wodzi panyin yie no, wombu hɔn dɛ wɔsɛ enyidzi mbɔho, nkanka hɔn a wɔyɛ edwuma wɔ asɛm no nye nkyerɛkyerɛ mu no.", ""
"1TI.5.18", "Na kyerɛw no ka dɛ, Mma nnkyekyer nantwi a ɔporow eburow no n’ano, na eso dɛ, Ɔfata dɛ odwumayɛnyi nya n’akatua.", "#Deut 25.4; Mat 10.10; Luk 10.7"
"1TI.5.19", "Mma nntsie ɔpanyin ho ntoatoa, gyedɛ adasefo beenu anaa baasa anomu.", ""
"1TI.5.20", "Hɔn a wɔyɛ bɔn no ka hɔn enyim, ama nkaa no so eesuro.", ""
"1TI.5.21", "Mehyɛ wo wɔ Nyankopɔn nye Ewuradze Kraest Jesus nye abɔfo a wɔasan mu eyi hɔn no enyim dɛ, hwɛ yinom yie, na mma nnyɛ tsirmsum, eso mma nnyɛ biribiara nyiyimu do.", ""
"1TI.5.22", "Mma mmfa wo nsa nngu obiara do awerɛfir mu, na eso mmfa woho mmfora binom hɔn bɔn; sie woho krɔnn.", ""
"1TI.5.23", "Mma nnda ho nnom nsu nko, na wo yafun nye wo mberɛw a etɔ yɛ ntsi, nom wenyin kakra.", ""
"1TI.5.24", "Nyimpa binom hɔn bɔn da edzi dzi hɔn enyim dze hɔn rokɔ atsɛmbu mu, na binom dze dzi hɔn ekyir.", ""
"1TI.5.25", "Dɛmara na ndwuma pa so da edzi; na dza ɔsor mbrɛ ɔtse no mpo nntum nnhuntsa.", ""
