"2CH.1.1", "Na David ne ba Solomon maa n’ahendzi no tsimii, na EWURADZE ne Nyankopɔn no dzii n’ekyir, na ɔmaa no do kɛsenara.", ""
"2CH.1.2", "Na Solomon kasaa kyerɛɛ Israel nyinara, apem apem na ɔha ɔha do asafohemfo no, na atsɛmbuafo no, na Israel nyinara mu ɔbapɔmba biara, egyanom efiefi mu etsitsir no.", ""
"2CH.1.3", "Nna Solomon, na mboanofo a wɔka no ho no nyinara sii mu kɔr bea sorɔnsorɔm no a ɔwɔ Gibeon no do; osiandɛ hɔ na Nyankopɔn n’ehyiadzibuw no a EWURADZE n’akowaa Moses yɛɛ no wɔ sar no do no wɔ.", ""
"2CH.1.4", "Na Nyankopɔn n’adakaa no dze David akɛfa no wɔ Kiriat-jearim aba bea a David esiesie ama no no do; osiandɛ oesi buw bi ama no wɔ Jerusalɛm.", "#2 Sam 6.1-17; 1 Mbe 13.5-14; 15.25—16.1"
"2CH.1.5", "Nkyii so boran afɔrmbukyia no a Bezalel, Uri ba no, Hur ba no, yɛe no, ɔwɔ EWURADZE ne ntamadan no enyim hɔ: na Solomon na mboanofo no hwehwɛɛ n’ekyir kwan.", "#Eks 38.1-7"
"2CH.1.6", "Na Solomon fowee kɔr boran afɔrmbukyia no a ɔwɔ EWURADZE enyim no a osi ehyiadzibuw no enyim no ho, na ɔbɔɔ ɔhyew afɔr apem wɔ do.", ""
"2CH.1.7", "Anadwe no ara nna Nyankopɔn yii noho kyerɛɛ Solomon, na ɔsee no dɛ, Bisa dza memfa mma wo.", ""
"2CH.1.8", "Na Solomon see Nyankopɔn dɛ, Ɔwo na ayɛ m’egya David ayamuyie kɛse, na ahyɛ me ɔhen wɔ n’ananmu.", ""
"2CH.1.9", "Afei, EWURADZE Nyankopɔn, ma w’anohoba ntsim mma m’egya David: osiandɛ ɔwo ahyɛ me ɔhen wɔ ɔman a hɔn dodow tse dɛ asaase do huntuma do.", "#Gye 13.16; 28.14"
"2CH.1.10", "Afei ma me nyansa na nyimdzee, ma muntum mfa mbu wo man yi: na woana na obotum ebu wo man yi a ɔyɛ kɛse dɛm yi atsɛn?", ""
"2CH.1.11", "Na Nyankopɔn see Solomon dɛ, Osiandɛ iyi wɔ w’akoma mu, na emmbisa ahonya, akoradze, anaa enyidzi, na eso hɔn a wɔtan wo hɔn nkwa, nkyii so emmbisa nkwa tsentsen; na mbom ebisa nyansa na nyimdzee ama woho, ma edze eebu me man a mahyɛ wo hɔn do hen no atsɛn ntsi yi:", ""
"2CH.1.12", "nyansa na nyimdzee medze ama wo; na mebɛma wo ahonya, na akoradze, na enyidzi so a ahemfo a woedzi w’enyim no mu biara ennya no dɛm, eso hɔn a wodzi w’ekyir no mu biara rinnya ne saso.", ""
"2CH.1.13", "Nna Solomon fii n’akwantu a otui kɔr bea sorɔnsorɔm no a ɔwɔ Gibeon no, fii ehyiadzibuw no enyim baa Jerusalɛm; na odzii hen wɔ Israel do.", ""
"2CH.1.14", "Na Solomon boaboaa ntseaseanam na mpɔnkɔdofo ano: na onyaa ntseaseanam apem ahaanan, na mpɔnkɔdofo mpemduebien, na ɔdze hɔn sisii ntseaseanam nkurow no mu, na ɔnye ɔhen no nkyɛn wɔ Jerusalɛm.", "#1 Ahe 4.26"
"2CH.1.15", "Na ɔhen no maa dwetɛ na sika yɛɛ dɛ abo wɔ Jerusalɛm, ɔmaa nkyindur ndua so yɛɛ dɛ ankye ndua bi a ɔwowɔ abɔn mu nkurow mu, wɔ ɔdodow mu.", ""
"2CH.1.16", "Na mpɔnkɔ a Solomon nyae no, wɔdze fi Egypt bae; ɔhen n’eguadzifo no kɛgyegyee hɔn ekuwekuw mu, kuw kor wɔ no bo do.", "#Deut 17.16"
"2CH.1.17", "Na wɔkɛfaa tseaseanam fi Egypt bae dze bɛgyee dwetɛ dwetɛbona ahaesia, na mpɔnkɔ so, dze bɛgyee ɔha eduonum: na dɛmara so na wɔdze bi fiir edzi bɔtɔnee maa Hitifo ahemfo na Siria ahemfo no nyinara.", ""
