"2CH.2.1", "Afei Solomon sii n'adwen pi dɛ obesi ofi ama EWURADZE ne dzin, na ofi ama n'ahendzi.", ""
"2CH.2.2", "Na Solomon kaan ndzesoadzefo mpemeduosuon a wɔsoasoa adze, na mbepɔw do nduatwafo mpemeduowɔtwe, na mpemebiasa ahaesia a wɔhwɛ hɔn do.", ""
"2CH.2.3", "Na Solomon somae ma wɔkɔr Taerehen Huram nkyɛn, dɛ, Dɛ mbrɛ ɔwo nye m'egya David yɛe, na ekɛmaa no nkyindur ndua dɛ ɔmfa nsi ofi ntsena mu no, mekyerɛ dɛmara so na enye me nyɛ.", ""
"2CH.2.4", "Hwɛ, mirisi dan ama m'EWURADZE Nyankopɔn ne dzin, na wɔaayɛ no krɔnkrɔn ama no, na wɔaahyew eduhuam a ɔyɛ huam wɔ n'enyim, na wɔdze aama daa kyerɛpaanoo no, na ɔhyew afɔr no anapa na ewimbir, ahomgyeda, na abosoom fofor, na hɛn EWURADZE Nyankopɔn n'afahyɛ a wɔahyehyɛ no. Iyi yɛ mbra ma Israel daa.", ""
"2CH.2.5", "Na ɔdan a mirisi no so: osiandɛ hɛn Nyankopɔn no so sen enyame nyinara.", ""
"2CH.2.6", "Na woana ara na obotum esi dan ama no, hwɛ dɛ ɔsor na ɔsor no sorsor mpo nntum nnkora no yi? Woana nye me koraa na mibesi dan ama no, gyedɛ eduhuam a wɔhyew wɔ n'enyim nko?", "#1 Ahe 8.27; 2 Mbe 6.18"
"2CH.2.7", "Dɛm ntsi afei, brɛ me nyimpa onyansafo bi a obedzi edwin wɔ sika, na dwetɛ, na boran, na dadze, na ɔberdum, na serdaa, na bibir mu, na obotum eyiyi nsema ahorow nyinara, ma ɔmbɛka edwimfo a wɔwɔ me nkyɛn wɔ Juda na Jerusalɛm a m'egya David siesiee hɔn siei no ho.", ""
"2CH.2.8", "Eso fa nkyindur ndua, ɔpepeaa ndua, na algum ndua fi Lebanon brɛ me: na minyim dɛ wo nkowaa botum etwa ndua wɔ Lebanon: na, hwɛ, mo nkowaa bɛka wo nkowaa ho,", ""
"2CH.2.9", "ma woeesiesie ndua piigyan ama me: osiandɛ dan a miribesi no ɔso na ɔyɛ nwanwa.", ""
"2CH.2.10", "Na, hwɛ, mebɛma wo nkowaa, nduatwafo a wotwa ndua no edziban, ewi etwadze mpemeduonu, na atoko etwadze mpemeduonu, na wenyin galɔn mpemɔha nye du, na ngo galɔn mpemɔha nye du.", ""
"2CH.2.11", "Nna Taerehen Huram buaa no wɔ nwoma a ɔdze brɛɛ Solomon no mu dɛ, Osiandɛ EWURADZE dɔ ne man ntsi, nna ɔahyɛ wo hen wɔ hɔn do.", ""
"2CH.2.12", "Nkyii so Huram see dɛ, Nhyira nka EWURADZE, Israel Nyankopɔn a ɔyɛɛ ɔsor na asaase, dɛ ɔama ɔhen David ɔba nyansafo a wɔama no nyimdzee na ntseasee a obesi dan ama EWURADZE, na ofi ama n'ahendzi.", ""
"2CH.2.13", "Na afei masoma ɔbarimba onyansafo a wɔama no ntseasee, mekyerɛ m'egya Huram,", ""
"2CH.2.14", "ɔbaa bi a ofi Dan ne mbabaa mu ne ba, n'egya nye ɔbarimba bi a ofi Taere, onyim sika, na dwetɛ, boran, dadze, abo, na ndua, ɔberdum, bibir, na ndwera fɛɛfɛw, na serdaa mu edwin dzi; eso onyim nsema ahorow nyinara yiyi, na ndwindze biara ho edwin: ma wɔmma no dzibew bi ma ɔnka wo mbarimba enyansafo, na mo wura David w'egya ne mbarimba enyansafo no ho.", ""
"2CH.2.15", "Dɛm ntsi afei ewifua na atoko, ngo na nsa a mo wura kaa ho asɛm no, wɔmma ɔmfa mbrɛ no nkowaa:", ""
"2CH.2.16", "na yebotwa ndua efi Lebanon, dodow ara a ibehia no: na yɛdze no mpanta no edua po do abrɛ wo wɔ Jopa; na ɔwo so edze afow akɔ Jerusalɛm.", ""
"2CH.2.17", "Na Solomon kaan ahɔho a wɔwɔ Israel asaase do no nyinara, dɛ mbrɛ nkanee a n'egya David dze kaan hɔn no tse; na wohun hɔn dɛ wɔyɛ mpemɔha eduonum na mpemebiasa ahaesia.", ""
"2CH.2.18", "Na ɔhyɛɛ hɔn mu mpemeduosuon dɛ wɔnsoasoa adze, na mpemeduowɔtwe a wɔyɛ mbepɔw do nduatwafo, na mpemebiasa ahaesia a wɔyɛ ahwɛdofo dɛ wɔmma nkorɔfo no nyɛ edwuma.", ""
