"2CH.6.1", "Nna Solomon kaa dɛ, EWURADZE ase dɛ, ɔbɛtsena sum kebii mu.", ""
"2CH.6.2", "Na emi dze, mesi dan ayɛ tsenabew ama wo, na beebi a ebɛtsena hɔ daa.", ""
"2CH.6.3", "Na ɔhen no daan n’enyi, na ohyiraa Israel mboanofo nyinara: na Israel mboanofo no nyinara gyinagyinaa tsentsen.", ""
"2CH.6.4", "Na ɔsee dɛ, Nhyira nka EWURADZE, Israel Nyankopɔn a ɔdze n’ano kyerɛɛ m’egya David, na ɔdze ne nsa ahyɛ no ma, dɛ,", "#2 Sam 7.1-13; 1 Mbe 17.1-12"
"2CH.6.5", "Ofitsi da a medze me man mifi Egypt asaase do mebae no, mannsan mu ennyi kurow bi emmfi Israel ebusuakuw ebusuakuw nyinara mu dɛ wonsi mu dan, ma me dzin ntsena hɔ; nkyii so mannsan mu ennyi nyimpa biara dɛ ondzi panyin wɔ me man Israel do:", ""
"2CH.6.6", "mbom masan mu eyi Jerusalɛm, dɛ me dzin ntsena hɔ; na masan mu eyi David dɛ ɔnhwɛ me man Israel do.", ""
"2CH.6.7", "Afei ɔwɔ m’egya David n’akoma mu dɛ nkyɛ obesi dan ama EWURADZE, Israel Nyankopɔn no, ne dzin.", ""
"2CH.6.8", "Na EWURADZE see m’egya David dɛ, Susuampa dɛ ɔwɔ w’akoma mu dɛ nkyɛ ibesi dan ama me dzin no, ayɛ no yie dɛ ɔwɔ w’akoma mu:", ""
"2CH.6.9", "naaso ɔwoara nnkesi dan no, na mbom wo ba a ofi w’asen mu bɛba no, ɔno na obesi dan no ama me dzin.", ""
"2CH.6.10", "Na EWURADZE ama n’asɛm a ɔkae no ahyɛ ma; na masoɛr mahyɛ m’egya David n’ananmu, na metse Israel ahengua do, dɛ mbrɛ EWURADZE bɔɔ anohoba no, na mesi dan no ama EWURADZE, Israel Nyankopɔn no ne dzin.", ""
"2CH.6.11", "Na hɔ na medze adaka no a EWURADZE n’ahyɛmu a ɔnye Israelmba dzii no wɔ mu no esi.", ""
"2CH.6.12", "Na ogyinaa EWURADZE n’afɔrmbukyia no enyim wɔ Israel mboanofo no nyinara enyim, na ɔtrɛɛ ne nsamu:", ""
"2CH.6.13", "(osiandɛ Solomon ayɛ boran sumpii bi a ne tsentsen yɛ basafa ebien na fa, na ne tɛtɛr basafa ebien na fa, na no krɔn basafa kor na fa, na ɔdze esi abangua no ne finimfin; na ɔno do na okegyinae, na ɔkotoow n’anankoroma enyim wɔ Israel mboanofo no nyinara enyim, na ɔtrɛɛ ne nsamu wɔ sor:)", ""
"2CH.6.14", "na ɔsee dɛ, EWURADZE Nyankopɔn, Onyankopɔn bi nnyi hɔ a ɔtse dɛ ɔwo, wɔ sor, anaa asaase do a isie ahyɛmu na mbɔbɔrhu ma wo nkowaa a wɔdze hɔn akoma nyinara nantsew w’enyim:", ""
"2CH.6.15", "ɔwo a esie dza edze bɔɔ w’akowaa m’egya David anohoba no ama no: nyew, ɔwo edze w’ano kae, na edze wo nsa ahyɛ no ma, dɛ mbrɛ ɔtse ndɛ da yi.", ""
"2CH.6.16", "Dɛm ntsi afei, EWURADZE, Israel Nyankopɔn, sie dza edze abɔ anohoba ama w’akowaa m’egya David no ma no, dɛ, Nyimpa a ɔbɛtsena Israel ahengua do rommbɔ wo wɔ m’enyim; sɛ wo mba hwɛ hɔn kwan yie, dɛ wɔbɛnantsew wɔ me mbra mu dɛ mbrɛ ɔwo anantsew wɔ m’enyim yi ara a.", "#1 Ahe 2.4"
"2CH.6.17", "Dɛm ntsi afei, EWURADZE, Israel Nyankopɔn, ma w’asɛm a ekaa kyerɛɛ w’akowaa David no ntsim.", ""
"2CH.6.18", "Ma aso ampa dɛ Nyankopɔn bɛtsena nyimpa nkyɛn wɔ asaase do a? Hwɛ, ɔsor na ɔsor no sorsor mpo nntum nnkora wo; na ankantam ɔdan yi a mesi yi!", "#2 Mbe 2.6"
"2CH.6.19", "Naaso EWURADZE me Nyankopɔn, bu w’akowaa ne mpaabɔ, na no ntotɔserɛ bi, dɛ ibetsie w’akowaa ne nkekamu na ne mpaabɔ a ɔrobɔ no w’enyim yi:", ""
"2CH.6.20", "dɛ w’enyi bobue wɔ ɔdan yi do adzekyee na adzesaa, mekyerɛ bea a ɔwoara ase dɛ edze wo dzin bɛtsena hɔ no do; dɛ ibetsie mpaabɔ a w’akowaa bɔbɔ akyerɛ bea yi do no.", "#Deut 12.11"
"2CH.6.21", "Na tsie w’akowaa na wo man Israel ntotɔserɛ, aber a wɔrobɔ mpaa kyerɛ bea yi do; nyew, tsie no wɔ wo tsenabea hɔ, mekyerɛ ɔsor a; na sɛ etse a, fa fir.", ""
"2CH.6.22", "Sɛ nyimpa bi yɛ bɔn tsia ne nyɛnko, na ntam bi bɛda no do dɛ ɔka, na ɔba bɛka ntam wɔ w’afɔrmbukyia enyim wɔ ofi yi mu a:", ""
"2CH.6.23", "ɔno ɔwoara tsie wɔ sor, na yɛ, na bu wo nkowaa atsɛn, dɛ erehyɛ ɔdzebɔnyɛnyi no ananmu, ma no kwan eebua nankasa n’etsifi; na irubu ɔtseneneenyi no bem, ma aama no dɛ mbrɛ ne ndzeyɛtsenenee tse.", ""
"2CH.6.24", "Na sɛ wɔka wo man Israel gu wɔ atamfo enyim, osiandɛ wɔayɛ bɔn etsia wo ntsi; na wɔsan ba bio bɔbɔ wo dzin, na wɔbɔ mpaa na wɔtotɔ serɛ wɔ w’enyim wɔ ofi yi mu a:", ""
"2CH.6.25", "ɔno ɔwoara tsie wɔ sor, na fa wo man Israel hɔn bɔn kyɛ, na fa hɔn bra asaase a ɔwoara dze maa hɔn na hɔn egyanom no do bio.", ""
"2CH.6.26", "Sɛ wɔtow sor mu, na nyankom nntɔ, osiandɛ wɔayɛ bɔn etsia wo ntsi; na sɛ wɔbɔ mpaa kyerɛ bea yi do, na wɔbɔ wo dzin, na wɔsan fi hɔn bɔn ho, dɛ ahaw hɔn ntsi a:", ""
"2CH.6.27", "ɔno ɔwoara tsie wɔ sor, na fa wo nkowaa na wo man Israel hɔn bɔn kyɛ hɔn, dɛ erekyerɛ hɔn ɔkwan pa a ɔsɛ dɛ wɔfa do; na ma nyankom ntɔ ngu w’asaase a ɔwoara dze ama wo man dɛ egyapadze no do.", ""
"2CH.6.28", "Sɛ ɔkɔm ba asaase no do, sɛ ɔyardɔm ba, sɛ ehuw anaa ɔpo, mbɛbɛw anaa nkonyinko ba; sɛ hɔn atamfo botua hɔn wɔ hɔn nkuropon asaase do; owuyar biara anaa yarba biara ba a;", ""
"2CH.6.29", "mpaabɔ na ntotɔserɛ biara a nyimpa biara, anaa wo man Israel nyinara bɛyɛ a nyimpa biara bohu nankasa no wuyar na nankasa ne yaw, na ɔbɛtrɛ ne nsamu akyerɛ ofi yi do no:", ""
"2CH.6.30", "ɔno ɔwoara tsie wɔ ɔsor wo tsenabea hɔ, na fa kyɛ, na ma nyimpa biara dɛ mbrɛ n’akwan nyinara tse, nyia ɔwoara inyim n’akoma mu a; (osiandɛ ɔwo, mekyerɛ ɔwoara nkotoo, na inyim nyimpa mba hɔn akoma mu;)", ""
"2CH.6.31", "ama woeesuro wo, na wɔaanantsew w’akwan do, mber tsentsen a wɔdze bɛtsena asaase a ɔwoara edze maa hɔn egyanom no do no.", ""
"2CH.6.32", "Nkyii so ɔhɔho a ommfi wo man Israel mu ho dze, sɛ wo dzin kɛse, na wo tum nsa, na w’abasa a atsen mu no ntsi, ma ofi ekyirekyir man bi mu ba; na sɛ wɔba bɔbɔ mpaa kyerɛ dan yi do a:", ""
"2CH.6.33", "ɔno ɔwoara tsie wɔ ɔsor, mekyerɛ wo tsenabea hɔ, na yɛ dɛ mbrɛ ɔhɔho no su frɛ wo no nyinara; ma asaase do aman nyinara eehu wo dzin, na woeesuro wo, dɛ mbrɛ wo man Israel yɛ, na woeehu dɛ wo dzin na wɔdze frɛ ɔdan yi a mesi yi.", ""
"2CH.6.34", "Sɛ wo man fir edzi nye hɔn atamfo kedzi ako, wɔ ɔkwan biara a ɔwoara bɔsoma hɔn do, na wɔbɔ wo mpaa kyerɛ kurow a asan mu eyi, na dan a mesi ama wo dzin yi do a:", ""
"2CH.6.35", "ɔno ɔwoara tsie hɔn mpaabɔ na hɔn ntotɔserɛ wɔ sor, na dzi hɔn asɛm ma hɔn.", ""
"2CH.6.36", "Sɛ wɔyɛ bɔn tsia wo, (osiandɛ nyimpa bi nnyi hɔ a onnyi bɔn,) na wo bo fuw hɔn, na iyi hɔn ma atamfo, ma wɔfa hɔn ndɔmmum kɔ asaase bi do ekyirekyir o, ɔbɛn o;", ""
"2CH.6.37", "naaso sɛ hɔnara wɔdwen wɔ asaase a wɔafa hɔn ndɔmmum akɔ do no do, na wɔsan bio, na wɔtotɔ serɛ wo wɔ hɔn ndɔmmum asaase no do, dɛ, Yɛayɛ bɔn, yeetwa nkontompɔ, yeedzi emumuyɛsɛm;", ""
"2CH.6.38", "sɛ wɔdze hɔn akoma nyinara na hɔn kra nyinara san ba wo nkyɛn wɔ hɔn ndɔmmum asaase no do, mbrɛ wɔafa hɔn ndɔmmum akɔ no, na woyi mpaa kyerɛ hɔn asaase a ɔwoara edze maa hɔn egyanom, na kurow a ɔwoara asan mu eyi, na wɔkyerɛ ɔdan a mesi ama wo dzin yi do a:", ""
"2CH.6.39", "ɔno ɔwoara tsie hɔn mpaabɔ na hɔn ntotɔserɛ wɔ sor, mekyerɛ wo tsenabea hɔ, na dzi hɔn asɛm ma hɔn; na fa kyɛ wo man a wɔayɛ bɔn etsia wo no.", ""
