"2CH.8.1", "Na ɔbaa dɛ mfe eduonu a Solomon dze sisii EWURADZE ne fi, na nankasa ne fi, n'ewiei no,", ""
"2CH.8.2", "nna nkurow a Huram dze maa Solomon no, Solomon kyekyeree, na ɔmaa Israelmba kɛtsenatsenaa hɔ.", ""
"2CH.8.3", "Na Solomon sii mu kɔr Hamat-zoba, na okedzii do nyim.", ""
"2CH.8.4", "Na ɔkyekyeer Tadmor wɔ sar no do, na adzekora nkurow a ɔkyekyeer no wɔ Hamat no nyinara.", ""
"2CH.8.5", "Eso ɔkyekyeer etsifi Bɛt-horon, na anaafo Bɛt-horon, nkurow a wɔagyegye ho ban a ɔwowɔ afasu, nkuropon, na apon ekyir adaban;", ""
"2CH.8.6", "na Baalat, na adzekora nkurow a Solomon wɔ no nyinara, na ne ntseaseanam nkurow nyinara, na no mpɔnkɔdofo nkurow, na dza Solomon pɛɛ dɛ ɔkyekyer dze gye n'enyi wɔ Jerusalɛm nyinara, na Lebanon, na n'ahendzi asaase no nyinara mu.", ""
"2CH.8.7", "Na nkorɔfo a wɔkae wɔ Hitifo, na Amorifo, na Perizfo, na Hivifo, na Jebusfo mu nyinara a wommfi Israel mu no dze;", ""
"2CH.8.8", "hɔn mba a wɔkaa hɔn ekyir wɔ asaase no do no a Israelmba enntum annsɛɛ hɔn pasapasa no bi no, hɔn na Solomon gyegyee hɔn enyadze ɔtowdwuma dze bodur ndɛ da yi.", ""
"2CH.8.9", "Na Israelmba no mu dze, Solomon annyɛ mu bi n'edwuma mu nkowaa; na hɔn nye mbarimba akofo, na n'asafohemfo do etsitsir, na ne ntseaseanam na no mpɔnkɔdofo do mpanyimfo.", ""
"2CH.8.10", "Na woyinom nye ɔhen Solomon n'ahwɛdofo mu etsitsir; mekyerɛ nyimpa ahaenu eduonum a wɔhwɛ nkorɔfo no do.", ""
"2CH.8.11", "Na Solomon dze Farao babaa no fii David kurow mu baa ofi a oesi ama no no mu: na ɔsee dɛ, Me yer nnkɛtsena Israelhen David fie, osiandɛ beebi mbrɛ EWURADZE n'adakaa no aba hɔ no yɛ krɔnkrɔn.", ""
"2CH.8.12", "Nna Solomon bɔɔ ɔhyew afɔr maa EWURADZE wɔ EWURADZE n'afɔrmbukyia a osii no wɔ nkrandaa no enyim no do,", ""
"2CH.8.13", "da biara na no mu dza ɔsɛ no na ɔbɔɔ ɔhyew afɔr no, dɛ mbrɛ Moses ne mbrasɛm tse, ahomgyenda dze, bosoom fofor dze na afahyɛ dze, afrenhyia mu mpɛn ebiasa, mekyerɛ epitsi afahyɛ no mu, na adapɛn nda afahyɛ no mu, na ntamadan afahyɛ no mu.", "#Nka 28.9, 10, 11-15; Eks 23.14-17; 34.22, 23; Nka 28.16—29.39; Deut 16.16"
"2CH.8.14", "Na, dɛ mbrɛ n'egya David ne mbra no tse no ɔdze asɔfo no hɔn nkyekyɛmu no sisii hɔn som do, na Levifo no so hɔn nhwɛdodwuma mu, dɛ wonyi ayɛw, na wɔnsom wɔ asɔfo no enyim, dɛ mbrɛ da biara no mu edwuma gye: mbobowano ahwɛfo no so dɛ mbrɛ hɔn nkyekyɛmu tse wɔ kuropon biara ano: na dɛm na Nyame nyimpa David hyɛe.", ""
"2CH.8.15", "Na woemmfi ɔhen no ne mbrasɛm a ɔwɔ asɔfo na Levifo no do wɔ asɛm biara, anaa akoradze no ho emmfi.", ""
"2CH.8.16", "Afei Solomon n'edwuma nyinara wosiesiei maa da a wɔtoow EWURADZE ne dan no ne fapem, na okodur dɛ wowiei. Nna wowiee EWURADZE ne fi no korakora.", ""
"2CH.8.17", "Nna Solomon sii mu kɔr Ezion-geber, na Elot, wɔ mpoano wɔ Edom asaase do.", ""
"2CH.8.18", "Na Huram nam no nkowaa nsa do dze ahɛn, na nkowaa a wɔwɔ po ho nyimdzee brɛɛ no; na wɔnye Solomon no nkowaa no kɔr Ofir, na wɔkɛfaa hɔ sika kɔkɔɔ  talent   ahaanan eduonum, na wɔdze brɛɛ ɔhen Solomon.", ""
