"2CH.10.1", "Na Rehoboam sii mu kɔr Sekem: osiandɛ Israel nyinara aba Sekem dɛ wɔrebɛhyɛ no hen.", ""
"2CH.10.2", "Na ɔbaa dɛ, aber a Nebat ba Jeroboam tsee no, (osiandɛ ɔda ho wɔ Egypt, mbrɛ oguanee fii ɔhen Solomon enyim kɔree no,) nna Jeroboam sanee fii Egypt bae.", ""
"2CH.10.3", "Na wɔsomae ma wɔkɛfrɛɛ no; na Jeroboam na Israel nyinara bae, na wɔbɛkaa kyerɛɛ Rehoboam, dɛ,", ""
"2CH.10.4", "W’egya yɛɛ hɛn kɔndua durdur: dɛm ntsi afei yɛ w’egya no som dzendzen, na no kɔndua durdur a ɔdze too hɛn do no, harhar, na yɛnsom wo.", ""
"2CH.10.5", "Na ɔsee hɔn dɛ, Ondzi ndaansa, na hom mbra me nkyɛn bio. Na ɔman no twee mu kɔree.", ""
"2CH.10.6", "Na ɔhen Rehoboam nye nkɔdaa a wɔsoom n’egya Solomon dɛ apamfo mber a nna ɔtse ase no faa apam dɛ, Afotu bɛn na hom dze rema me ma medze mbuae aasan akɛma ɔman yi?", ""
"2CH.10.7", "Na wɔkaa kyerɛɛ no, dɛ, Sɛ eyɛ ayamuyie ma ɔman yi, na esɔ hɔn enyi, na eka nsɛm pa kyerɛ hɔn a, ɔno wɔbɛyɛ wo nkowaa daa nyina.", ""
"2CH.10.8", "Na ɔpoow nkɔdaa no hɔn apam a wɔdze maa no no, na ɔnye mberantsɛ a wɔnye no nyinii a wɔsom no dɛ apamfo no faa apam.", ""
"2CH.10.9", "Na ɔsee hɔn dɛ, Afotu bɛn na hom dze ma, ma yɛdze mbuae aasan akɛma ɔman yi a wɔaka akyerɛ me dɛ, Yɛ kɔndua a w’egya dze too hɛn do no harhar no?", ""
"2CH.10.10", "Na mberantsɛ a wɔnye no nyinii no kaa kyerɛɛ no, dɛ, Dɛm na ka kyerɛ ɔman yi a wɔbɛkaa kyerɛɛ wo, dɛ, W’egya yɛɛ hɛn kɔndua durdur, na ɔwo dze yɛ no harhar ma hɛn no; dɛm na ka kyerɛ hɔn, Me nsatseaba kakraba ɔyɛ dur sen m’egya n’asen.", ""
"2CH.10.11", "Na afei susuampa dɛ m’egya dze kɔndua durdur soaa hom no, emi so mobɔto hom kɔndua no do: m’egya dze mpire tseaa hom, na emi dze medze nyankoma nketsebowa mebɛtsea hom.", ""
"2CH.10.12", "Nna Jeroboam na ɔman no nyinara baa Rehoboam nkyɛn da a otsia ebiasa no, dɛ mbrɛ ɔhen no kae no, dɛ, Da a otsia ebiasa no hom mbra me nkyɛn bio no.", ""
"2CH.10.13", "Na ɔhen no buaa hɔn ebufuw mu; na ɔhen Rehoboam poow nkɔdaa no hɔn apam no,", ""
"2CH.10.14", "na ɔkaa kyerɛɛ hɔn dɛ mbrɛ mberantsɛ no hɔn apam no tse, dɛ, M’egya yɛɛ hom kɔndua durdur, na emi dze, mobɔto do: m’egya dze mpire tseaa hom, na emi dze, medze nyankoma nketsebowa mebɛtsea hom.", ""
"2CH.10.15", "Nna ɔhen no enntsie ɔman no; osiandɛ ofi Nyankopɔn hɔ na ɔbaa dɛm, ama EWURADZE eetsim n’asɛm a ɔnam Silonnyi Ahija ne nsa do kaa kyerɛɛ Nebat ba Jeroboam no.", ""
"2CH.10.16", "Na aber a Israel nyinara hun dɛ ɔhen no enntsie hɔn no, nna ɔman no buaa ɔhen no, dɛ, Ebɛn kyɛpɛn na yɛwɔ wɔ David mu? Nkyii so yennyi egyapadze wɔ Jesse ne ba no mu: Israel e, hom nkɔ hom asesee mu o: afei David, hwɛ wankasa wo fie. Nna Israel nyinara sii mu kɔr hɔn asesee mu.", ""
"2CH.10.17", "Na Israelmba a wɔtsetse Juda nkurow mu no dze Rehoboam dzii hɔn do hen.", ""
"2CH.10.18", "Nna ɔhen Rehoboam somaa Hadoram a ɔhwɛ ɔtowdwuma do no; na Israelmba no siiw no abo, ma ɔtɔree. Na ɔhen Rehoboam yɛɛ ntsɛm foow ne tseaseanam, dɛ oruguan akɔ Jerusalɛm.", ""
"2CH.10.19", "Nna Israel tseew etua wɔ David fi do, dze bodu ndɛ da yi.", ""
