"2CH.13.1", "Ɔhen Jeroboam n’afe a otsia duawɔtwe no mu na Abija hyɛɛ ase dzii hen wɔ Juda do.", ""
"2CH.13.2", "Mfe ebiasa na odzii hen wɔ Jerusalɛm: na ne na ne dzin dze Mikaia, Uriel a ofi Gibea ne babaa a. Na akodzi baa Abija na Jeroboam ntamu.", ""
"2CH.13.3", "Na Abija dze dɔm mbarimba a wɔyɛ ndam, mekyerɛ mbarimba a wɔasan mu eyi hɔn mpemahaanan, kɔr akono: na Jeroboam dze mbarimba a wɔasan mu eyi hɔn a wɔyɛ mbarimba a wɔyɛ ndam, mpem ahaawɔtwe, baa mpasuar kehyiaa no:", ""
"2CH.13.4", "na Abija kegyinaa bepɔw Zemaraim a ɔwɔ Efraim nkokodo nkurow no mu no do, na ɔsee dɛ, Jerusalɛm na Israel, Hom ntsie me;", ""
"2CH.13.5", "ana ɔnnsɛ dza hom hu dɛ EWURADZE, Israel Nyankopɔn no, dze Israel do ahendzi no maa David daa, mekyerɛ dɛ ɔnam nkyen ahyɛmudzi do dze maa ɔno na ne mba no bi a?", ""
"2CH.13.6", "Naaso Nebat ba Jeroboam, David ba Solomon n’akowaa no soɛree tseew no wura do etua.", ""
"2CH.13.7", "Na nyimpa huhuw, asansafo bi, boaa ano kɔr ne nkyɛn a wɔhyɛɛ hɔnho dzen tsiaa Solomon ba Rehoboam, wɔ aber a Rehoboam yɛ aberantsɛ na n’akoma yɛ mberɛw, na onnkotum esiw hɔn kwan.", ""
"2CH.13.8", "Na afei hom dwen dɛ hom besiw EWURADZE n’ahendzi no a ɔwɔ David mba nsamu no kwan; osiandɛ hom yɛ nyimpadodow kɛse, na sika anantwimba a Jeroboam yɛe maa hom dɛ hom enyame no wɔ hom nkyɛn.", ""
"2CH.13.9", "Ana hom nnyiyii EWURADZE n’asɔfoe, Aaron mbabanyin no, na Levifo no edzi, na hom nhyehyɛɛ asɔfo mma homho dɛ mbrɛ asaase binom do aman no tsetsee? Dɛm ntsi obiara a ɔdze nantwisaa eburwa na nguannyin esuon ba dɛ wɔmfa no nsi nkyɛn no, ɔnoara na ɔnyɛ ɔsɔfo mma hɔn a wɔnnyɛ enyame no.", ""
"2CH.13.10", "Na hɛn dze, EWURADZE nye hɛn Nyankopɔn, na yɛmmpoow no; na yɛwɔ asɔfo a wɔsom EWURADZE, Aaronmba no a, na Levifo no wɔwɔ hɔn edwuma mu:", ""
"2CH.13.11", "na anapa biara, na ewimbir biara wɔhyew ɔhyew afɔr na eduhuam pa ma EWURADZE: wosiesie kyerɛpaanoo so yie wɔ pon krɔnkrɔn no do; na sika kandzeadua na ne nkandzea no, ma ɔdzɛw ewimbir biara: na hɛn na yɛhwɛ EWURADZE hɛn Nyankopɔn n’ahwɛdodze no do; na hom dze, hom apow no.", ""
"2CH.13.12", "Na, hwɛ, Nyankopɔn ka hɛn ho dzi hɛn kan, na n’asɔfoe dzedze osebɔ mbɛn dɛ wɔdze bɛhɛn osebɔ etsia hom. Israel e, mma hom nnye EWURADZE, hom egyanom Nyankopɔn no nnko; na onnkesi hom yie.", ""
"2CH.13.13", "Na Jeroboam hyɛɛ atsɛweefo bɔɔ aprɔw, ma wobopuee hɔn ekyir: na wobedzii Juda enyim, na atsɛweefo no dzii hɔn ekyir.", ""
"2CH.13.14", "Na aber a Juda twaa hɔn enyi ekyir no, hwɛ nna dɔm no wɔ hɔn enyim na hɔn ekyir: na wosui frɛɛ EWURADZE, na asɔfo no hehɛɛn mbɛn no.", ""
"2CH.13.15", "Nna Juda mbarimba no bɔɔ ose gyee do: na ɔbaa dɛ, aber a Juda mbarimba no bɔɔ ose no, nna Nyankopɔn kaa Jeroboam na Israel nyinara gya wɔ Abija na Juda enyim.", ""
"2CH.13.16", "Na Israelmba no gui wɔ Juda enyim: na Nyankopɔn yii hɔn hyɛɛ hɔn nsa.", ""
"2CH.13.17", "Na Abija na ne man kunkum hɔn oku kɛse: ma dɛm ntsi hɔn a wɔhwee ase totɔree wɔ Israel mu wɔyɛ mbarimba a wɔasan mu eyi hɔn mpemahaenum.", ""
"2CH.13.18", "Mbrɛ wosii brɛɛ Israelmba no adze aber no no nye yi, na Judamba no dzii nyim, osiandɛ wɔtweer EWURADZE, hɔn egyanom Nyankopɔn no.", ""
"2CH.13.19", "Na Abija tsiiw Jeroboam, na ɔkɛgyegyee ne nsamu nkurow, Bɛtɛl nye no nkurobaase, na Jesana nye no nkurobaase, na Efron nye no nkurobaase.", ""
"2CH.13.20", "Nkyii so Jeroboam ennya ahoɔdzen bio wɔ Abija ne nda no mu: na EWURADZE bɔɔ no ma owui.", ""
"2CH.13.21", "Na Abija dze ɔhyɛɛ dzen, na ɔwarwaar yernom duanan, na ɔwowoo mbabanyin eduonu ebien, na mbabaa duesia.", ""
"2CH.13.22", "Na Abija no ho nsɛm nkaa no, na n’akwan, na ne nsɛm no, wɔakyerɛw no wɔ nkɔnhyɛnyi Iddo ne nkyerɛkyerɛase nwoma no mu.", ""
