"2CH.15.1", "Na Nyankopɔn no sunsum baa Oded ba Azaria do;", ""
"2CH.15.2", "na ofiir edzi kehyiaa Asa, na ɔsee no dɛ, Asa, na Juda na Benjamin nyinara, hom ntsie me: EWURADZE wɔ hom nkyɛn, aber a hom wɔ ne nkyɛn yi; na sɛ hom hwehwɛ no a, hom bohu no; na sɛ hom pow no dze a, ɔno so ɔbɔpow hom.", ""
"2CH.15.3", "Afei mber tsentsenntsen na Israel tsenae a nna wonnyi nokwar Nyankopɔn, na wonnyi ɔsɔfo so a ɔkyerɛkyerɛ, na wonnyi mbra so:", "#Hos 3.4"
"2CH.15.4", "na sɛ ahokyer mu no wɔsan ba EWURADZE, Israel Nyankopɔn no nkyɛn, na wɔhwehwɛ no a, ɔma wohu no.", ""
"2CH.15.5", "Na mber no mu no na asomdwee bi nnyi hɔ mma nyia ofir edzi na nyia ɔba mu so, na ɔfona kɛse wɔ asaase no do atsefo no nyinara do.", ""
"2CH.15.6", "Na wɔbobɔɔ hɔnho pɔsɔpɔsɔ, ɔman tsiaa ɔman, na kurow tsiaa kurow osiandɛ Nyankopɔn dze ahohia nyinara fonaa hɔn.", ""
"2CH.15.7", "Na hom dze, hom nhyɛ dzen, na mma mma hom abaw nngow: na hom edwuma benya akatua.", ""
"2CH.15.8", "Na aber a Asa tsee nsɛm yi, na nkɔnhyɛnyi Oded no nkɔnhyɛ no, nna ɔhyɛɛ dzen, na oyiyii ekyiwadze no fii Juda na Benjamin asaase nyinara do, na nkurow a ɔgyegyee no wɔ Efraim nkokodo nkurow no mu no mu; na ɔyɛɛ EWURADZE n'afɔrmbukyia a ɔwɔ EWURADZE ne nkrandaa no enyim no fofor.", ""
"2CH.15.9", "Na ohyiahyiaa Juda na Benjamin nyinara, na hɔn a wofi Efraim na Manaasɛ, na Simeon mu baa hɔn nkyɛn ahɔhotsena no boaa ano; osiandɛ Israel mu piigyan danee baa ne nkyɛn, aber a wohun dɛ n'EWURADZE Nyankopɔn dzi n'ekyir no.", ""
"2CH.15.10", "Nna wohyiahyiaa hɔnho kehyiaa Jerusalɛm wɔ bosoom a otsia ebiasa no mu, wɔ Asa n'ahendzi no mu afe a otsia duenum no mu.", ""
"2CH.15.11", "Na da no wɔdze asadze a wɔdze bae no mu, anantwi ahaesuon na nguan mpemesuon bɔɔ EWURADZE okum afɔr.", ""
"2CH.15.12", "Na wodzii ahyɛmu dɛ wɔdze hɔn akoma nyinara na ɔnye hɔn kra nyinara bɔhwehwɛ EWURADZE, hɔn egyanom Nyankopɔn no;", ""
"2CH.15.13", "na dɛ obiara a ɔnnkɛpɛ dɛ ɔhwehwɛ EWURADZE, Israel Nyankopɔn no, kakraba o, ɔkɛse o, ɔbarimba o, ɔbaa o, wonku no.", ""
"2CH.15.14", "Na wɔdze ndze kɛse, na esebɔ, na ɔnye nkasamu, na ɔnye mbɛn suae kyerɛɛ EWURADZE.", ""
"2CH.15.15", "Na Juda nyinara hɔn enyi gyee wɔ ntam no ho; osiandɛ hɔn akoma nyinara na wɔdze suae, na wɔdze hɔn pɛ nyinara hwehwɛɛ no; na ɔmaa wohun no: na EWURADZE maa hɔn ahomgye wɔ mbea nyinara.", ""
"2CH.15.16", "Na ɔhen Asa ne na Maaka so, otuu no fii ahembaadzi mu, osiandɛ ɔyɛɛ ekyiwa honyi bi maa Asera ntsi; na Asa twaa no honyi no, na ɔyɛɛ no huntuhuntu, na ɔkɛhyeew no wɔ ɔwora Kidron ho.", ""
"2CH.15.17", "Asa enntum ennyiyi mbea sorɔnsorɔm no nyinara emmfi Israel: naaso n'akoma dze, odzii mu wɔ ne nda nyinara mu.", ""
"2CH.15.18", "Na ɔdze ndzɛmba a n'egya yɛɛ no krɔnkrɔn, na dza nankasa yɛɛ no krɔnkrɔn no baa Nyankopɔn ne fie, dwetɛ, na sika, na ndzɛmbandzɛmba.", ""
"2CH.15.19", "Na akodzi bi ammba araa dze kodur Asa n'ahendzi mu afe a otsia eduasa enum no mu.", ""
