"2CH.17.1", "Na ne babanyin Jehosafat dzii hen wɔ n’ananmu, na ɔhyɛɛ noho dzen dze tsiaa Israel.", "#1 Ahe 15.24"
"2CH.17.2", "Na ɔdze dɔm guguu Juda nkurow a wɔabɔ ho ban nyinara mu, na ɔdze bansifo sisii Juda asaase do, na Efraim nkurow a n’egya Asa gyegyee no mu.", ""
"2CH.17.3", "Na EWURADZE dzii Jehosafat n’ekyir, osiandɛ ɔnantseew n’egya David n’akwan a odzi kan no mu, na ɔannhwehwɛ Baalim n’ekyir kwan;", ""
"2CH.17.4", "na mbom ɔhwehwɛɛ n’egya ne Nyankopɔn no, na ɔnantseew ne mbransɛm no mu, na nnyɛ Israel ndzeyɛɛ no ekyir a.", ""
"2CH.17.5", "Dɛm ntsi EWURADZE tsintsiim ahendzi no wɔ ne nsamu; na Juda nyinara dze ayɛyɛdze brɛɛ Jehosafat; na onyaa adze na enyidzi piigyan.", "#2 Mbe 18.1"
"2CH.17.6", "Na onyaa EWURADZE no som ho enyigye: na nkyii so oyiyii mbea sorɔnsorɔm na Aserim no fii Juda.", ""
"2CH.17.7", "Eso n’ahendzi no mu afe a otsia ebiasa no mu no ɔsomaa ne mbapɔmba, mekyerɛ Ben-hail, na Obadia, na Zekaria, na Netanel, na Mikaia, dɛ wɔnkɛkyerɛkyerɛ wɔ Juda nkurow no mu;", ""
"2CH.17.8", "na Levifo, mekyerɛ Semaia, na Netania, na Zebadia, na Asahel, na Semiramot, na Jehonatan, na Adonija, na Tobija, na Tob-adonija a wɔyɛ Levifo no ka hɔn ho; na asɔfo no, Elisama na Jehoram so ka hɔn ho.", ""
"2CH.17.9", "Na wɔkyerɛkyerɛe wɔ Juda, dɛ wɔwɔ EWURADZE ne mbra nwoma no wɔ hɔn nkyɛn; na wokekyimakyimaa Juda nkurow no nyinara mu; na wɔkɛkyerɛkyerɛe wɔ ɔman no mu.", ""
"2CH.17.10", "Na EWURADZE ho suro baa asaase a wɔabɔ Juda ho aprɔw no mu ahendzi nyinara do, ma dɛm ntsi wɔnnye Jehosafat enndzi ako.", ""
"2CH.17.11", "Na Filistiafo no mu binom dze ayɛyɛdze, na ɔtowyi dwetɛ brɛɛ Jehosafat; Arabiafo no so dze nguankuw nguankuw brɛɛ no, nguannyin mpemesuon ahaesuon, na mpɔnkyenyin mpemesuon ahaesuon.", ""
"2CH.17.12", "Na Jehosafat yɛɛ kɛse mbordo; na osisii adan na adzekora nkurow wɔ Juda.", ""
"2CH.17.13", "Na onyaa ndwuma pii wɔ Juda nkurow no mu; na mbarimba akofo, mbarimba akatakyi a wɔyɛ ndam, wɔ Jerusalɛm.", ""
"2CH.17.14", "Na hɔn nkanee dɛ mbrɛ hɔn egyanom efi tsetsee nye yi: Juda mu, mpem do asafohemfo no; ɔsafohen Adna, na mbarimba akatakyi a wɔyɛ ndam mpemahaasa ka no ho:", ""
"2CH.17.15", "na ɔsafohen Jehohanan na odzi no do, na nyimpa mpemahaenu eduowɔtwe ka no ho:", ""
"2CH.17.16", "na ɔno so no do na Zikri ne ba Amasia a ɔdze noho maa EWURADZE ɔpɛ do no dzi; na mbarimba akatakyi a wɔyɛ ndam mpemahaenu ka no ho:", ""
"2CH.17.17", "na Benjamin mu; Eliada ɔbarimba ɔkatakyi a ɔyɛ ndam bi, na nyimpa a wɔdze egyen na kyɛm emiamia mpemahaenu ka no ho:", ""
"2CH.17.18", "na no do na Jehozabad dzi, na nyimpa mpemɔha eduowɔtwe a woesiesie hɔnho ama ɔsa ka no ho.", ""
"2CH.17.19", "Woyinom nye hɔn a wɔsom ɔhen no, ɔsor hɔn a ɔhen no dze hɔn guguu Juda nyinara mu nkurow a wɔabobɔ ho ban no mu no.", ""
