"2CH.18.1", "Afei Jehosafat nyaa adze na enyidzi piigyan; na ɔnye Ahab yɛɛ asew.", ""
"2CH.18.2", "Na mfe bi n’ekyir no osii mu kɔr Ahab nkyɛn wɔ Samaria. Na Ahab kunkum nguan na anantwi piigyan dze maa ɔno, na nkorɔfo a wɔka no ho no, na ɔdaadaa no dɛ ɔnye no mfow nkɔ Ramot-gilead.", ""
"2CH.18.3", "Na Israelhen Ahab see Judahen Jehosafat dɛ, Ana enye me bɔkɔ Ramot-gilead a? Na obuaa no dɛ, Metse dɛ woara, na me man tse dɛ wo man; na yɛnye wo bɔkɔ ɔsa no.", ""
"2CH.18.4", "Na Jehosafat see Israelhen no dɛ, Mbom bisa EWURADZE ana.", ""
"2CH.18.5", "Nna Israelhen no boaboaa nkɔnhyɛfo no ano, mbarimba ahaanan, na ɔsee hɔn dɛ, Ana yɛnkɔ Ramot-gilead nkɔko, anaa mingyaa? Na wɔsee dɛ, Fow kɔ; na Nyankopɔn dze bɛhyɛ ɔhen ne nsa.", ""
"2CH.18.6", "Na Jehosafat see dɛ, Ana EWURADZE no nkɔnhyɛnyi bi so nnyi ha, ma yebebisa no hɔ adze?", ""
"2CH.18.7", "Na Israelhen no see Jehosafat dɛ, Ɔbarimba baako bi da ho wɔ hɔ a nkyɛ yɛnam no do bebisa EWURADZE adze: na mikyir no; osiandɛ ɔnnhyɛ mo ho nkɔm pa dɛ bɔn ara nko. Ɔno nye Imla ne ba Mikaia. Na Jehosafat see dɛ, Mma mma ɔhen nnse dɛm.", ""
"2CH.18.8", "Nna Israelhen no frɛɛ ɔsafohen bi, na ɔsee dɛ, Kɛfa Imla ne ba Mikaia bra ntsɛmara.", ""
"2CH.18.9", "Afei Israelhen na Judahen Jehosafat tsetse hɔn ahengua do nkorkor, hyehyɛ hɔn ahentar, na wɔtsetse Samaria kuropon ahɛnee gua do; na nkɔnhyɛfo no nyinara rehyɛ nkɔm wɔ hɔn enyim.", ""
"2CH.18.10", "Na Kenaana ne ba Zedekia yɛɛ dadze mmbɛn, na ɔsee dɛ, Mbrɛ EWURADZE se nye yi, Iyinom na edze bosun Siriafo no araa ma wɔaahyew.", ""
"2CH.18.11", "Na nkɔnhyɛfo no nyinara hyehyɛɛ nkɔm dɛm, dɛ, Fow kɔ Ramot-gilead, na onsi wo yie: na EWURADZE dze bɛhyɛ ɔhen ne nsa.", ""
"2CH.18.12", "Na ɔbɔfo no a ɔkɔr dɛ ɔrekɛfrɛ Mikaia no kaa kyerɛɛ no, dɛ, Hwɛ, nkɔnhyɛfo nsɛm no dze anokor yi papa kyerɛ ɔhen: dɛm ntsi meserɛ wo, ma w’asɛm nyɛ dɛ hɔndze no kor, na ka asɛm pa.", ""
"2CH.18.13", "Na Mikaia see dɛ, Dɛ EWURADZE tse ase yi, dza me Nyankopɔn bɛse no, ɔno na mebɛka.", ""
"2CH.18.14", "Na aber a ɔbaa ɔhen no nkyɛn no, ɔhen no see no dɛ, Mikaia, ana yɛnkɔ Ramot-gilead nkɔko, anaa mingyaa? Na ɔsee dɛ, Hom mfow nkɔ, na onsi hom yie; na wobeyi hɔn ahyɛ hom nsa.", ""
"2CH.18.15", "Na ɔhen no see no dɛ, Mpɛn ahen ara na menka ntam ngu wo do ma ennka hwee dɛ dza ɔyɛ nokwar nko wɔ EWURADZE ne dzin mu kyerɛ me?", ""
"2CH.18.16", "Na ɔsee dɛ, Muhun Israel nyinara dɛ wɔapetse mbepɔw do, dɛ nguan a wonnyi oguanhwɛfo: na EWURADZE see dɛ, Iyinom wonnyi wura; ma wɔnsan, nyimpa biara nkɔ ne fie asomdwee mu.", "#Nka 27.17; Eze 34.5; Mat 9.36; Mar 6.34"
"2CH.18.17", "Na Israelhen no see Jehosafat dɛ, Ana mannka annkyerɛ wo dɛ ɔnnkɛhyɛ mo ho nkɔm pa, dɛ bɔn nko?", ""
"2CH.18.18", "Na ɔsee dɛ, Dɛm ntsi hom ntsie EWURADZE n’asɛm: Muhun EWURADZE dɛ ɔtse n’ahengua do, na ɔsor dɔm nyinara gyinagyina n’enyimfa na n’abankum.", ""
"2CH.18.19", "Na EWURADZE see dɛ, Woana na ɔbɛdaadaa Israelhen Ahab ma ɔaafow akɔ akɔtɔr wɔ Ramot-gilead? Na obi kasaa see dɛm, na obi so see dɛm.", ""
"2CH.18.20", "Na sunsum bi fiir edzi begyinaa EWURADZE enyim, na ɔsee dɛ, Mara mebɛdaadaa no. Na EWURADZE see no dɛ, Edze ebɛnadze?", ""
"2CH.18.21", "Na ɔsee dɛ, Mibefir edzi, na makɛyɛ sunsum torfo wɔ no nkɔnhyɛfo nyinara anomu. Na ɔsee dɛ, Ɔwo bɛdaadaa no, na eso edzi nyim: fir edzi kɔ, na kɛyɛ dɛm.", ""
