"2CH.19.1", "Na Judahen Jehosafat sanee kɔr ne fie asomdwee mu wɔ Jerusalɛm.", ""
"2CH.19.2", "Na Hanani ne ba Jehu adzehunyi no fiir edzi kehyiaa no kwan, na ɔsee ɔhen Jehosafat dɛ, Aso ɔsɛ dɛ eboa ndzebɔnyɛfo, na edɔ hɔn a wokyir EWURADZE no anaa? Na iyi ntsi ebufuw fi EWURADZE enyim aba wo do.", ""
"2CH.19.3", "Naaso woehu wo mu ndzɛmba pa bi, wɔ dɛ ɔwo etwitwa Aserot no efi asaase no do, na esiesie w'akoma dɛ erohwehwɛ Nyankopɔn.", ""
"2CH.19.4", "Na Jehosafat tsenaa Jerusalɛm: na ofiir edzi kɔr ɔman no mu ɔdze fi Beer-seba kodu Efraim nkokodo nkurow no mu, na ɔdaan hɔn sanee baa EWURADZE, hɔn egyanom Nyankopɔn no nkyɛn.", ""
"2CH.19.5", "Na osisii atsɛmbuafo wɔ asaase no do wɔ Juda nkurow a wɔabobɔ ho ban nyinara mu, nkurow nkurow,", ""
"2CH.19.6", "na ɔsee atsɛmbuafo no dɛ, Hom ndwen dza hom yɛ ho: osiandɛ hom mmbu atsɛn mma nyimpa, na mbom EWURADZE a; na ɔwɔ hom nkyɛn wɔ atsɛmbu no mu.", ""
"2CH.19.7", "Dɛm ntsi afei wɔmma EWURADZE ho suro mbra hom do; hom nhwɛ yie na hom nyɛ: na emumuyɛ, na enyimhwɛ, na mboabadzi, nnyi EWURADZE, hɛn Nyankopɔn afamu.", ""
"2CH.19.8", "Nkyii so Jerusalɛm na Jehosafat dze Levifo na asɔfo, na Israel egyanom efiefi mu etsitsir no mu binom sisii hɔ maa EWURADZE n'atsɛmbusɛm, na asɛndzi do. Na wɔsanee baa Jerusalɛm.", ""
"2CH.19.9", "Na ɔhyɛɛ hɔn, dɛ, Dɛm na hom nyɛ wɔ EWURADZE no suro mu, nokwar mu, na akoma a odzi mu mu.", ""
"2CH.19.10", "Na aber biara a akasakasa biara bɛba hom enyim a ofi hom nuanom a wɔtsetse hɔn nkurow mu, wɔ bɔgya na bɔgya ntamu asɛm, mbra na mbrasɛm, ahyɛdze na atsɛmbu ntamu asɛm no, hom mbɔ hɔn nkaa, amma woeenndzi so wɔ EWURADZE afamu, na ebufuw aammba hom na hom nuanom do: hom nyɛ yi, na hom nnkedzi so.", ""
"2CH.19.11", "Na, hwɛ, ɔsɔfopanyin Amaria na ɔhwɛ hom do wɔ EWURADZE afamu nsɛm nyinara ho; na Ismael ne ba Zebadia, Juda fie ɔpanyin no so, wɔ ɔhen afamu nsɛm nyinara ho: Levifo no so nyɛ asafohemfo wɔ hom enyim. Hom nyɛ no akokodur mu, na EWURADZE ndzi apapafo no ekyir.", ""
