"2CH.26.1", "Na Juda ɔman no nyinara faa Uzia a oedzi mfe duesia, na wɔhyɛɛ no hen wɔ n'egya Amazia n'ananmu.", ""
"2CH.26.2", "Ɔno na ɔkyekyeer Elot, na ɔdanee maa Juda, n'ekyir no ɔhen no kɔr ne nsamankyir.", ""
"2CH.26.3", "Aber a Uzia ridzi hen no nna oedzi mfe duesia; na odzii hen mfe eduonum ebien wɔ Jerusalɛm: na ne na ne dzin dze Jekilia, ofi Jerusalɛm.", ""
"2CH.26.4", "Na ɔyɛɛ dza ɔtsen wɔ EWURADZE enyiwa do, dɛ mbrɛ n'egya Amazia yɛe no nyinara.", ""
"2CH.26.5", "Na ɔdze sii n'enyi do dɛ ɔrohwehwɛ Nyankopɔn wɔ Zekaria a ɔwɔ Nyankopɔn enyido adzehu mu ntseasee no, ne nda no nyinara mu: na mber tsentsen a ɔhwehwɛɛ EWURADZE no, Nyankopɔn maa ɔyɛɛ prɔmprɔm.", ""
"2CH.26.6", "Na ofiir edzi nye Filistiafo kɔkoe, na obubuu Gat fasu, na Jabue fasu, na Ashdod fasu no; na ɔkyekyeer nkurow wɔ Ashdod man mu, na Filistiafo no mu.", ""
"2CH.26.7", "Na Nyankopɔn buae tsiaa Filistiafo no, na Arabiafo a wɔtsetse Gur-baal, na Meunifo no.", ""
"2CH.26.8", "Na Ammonfo dze akyɛdze brɛɛ Uzia: na ne dzin tahyee araa dze kodur Egypt ahɛnee mu mpo; osiandɛ ɔyɛɛ dzen mbordo.", ""
"2CH.26.9", "Nkyii so Uzia totoow aban atsentsen wɔ Jerusalɛm wɔ kutuwdo kuropon no ho, na bɔnsa mu nkuropon no ho, na fasu no no mponee no ho, na ɔhyehyɛɛ no dzen.", ""
"2CH.26.10", "Na ɔtotoow aban atsentsen wɔ sar no do, na otutuu nsubura pii, osiandɛ ɔwɔ mbowakuw pii wɔ ɔbɔn no mu na tɛtɛr no mu: na ɔwɔ ekuafo na wenyin turehwɛfo wɔ mbepɔw no do, na nhabamber no mu; osiandɛ ɔpɛ ekuayɛ.", ""
"2CH.26.11", "Nkyii so Uzia ɔwɔ mbarimba ekuafo dɔm a, wotu sa ekuw mu ekuw mu, dɛ mbrɛ hɔn nkanee a wɔnam ɔkyerɛwfo Jeiel na ɔhwɛdofo Maaseia do kanee no no dodow tsetsee, wɔ ɔhen no n'asafohemfo no mu baako, Hanania, ne nsaadze.", ""
"2CH.26.12", "Egyanom efiefi mu etsitsir, mekyerɛ mbarimba akatakyi a wɔyɛ ndam nyinara, hɔn dodow yɛ mpemebien ahaesia.", ""
"2CH.26.13", "Na hɔn nsaadze na dɔm a wɔatsetse hɔn, mpemahaasa na mpemesuon ahaenum a wɔdze tum kɛse yɛ sa, dze boaa ɔhen no tsiaa atamfo no.", ""
"2CH.26.14", "Na Uzia siesiee akyɛm, na mpeaa, na ndadzekyɛw, na ndadzentar, na ngyen, na tsiabo abo, maa hɔn, mekyerɛ wɔdze maa dɔm no nyinara.", ""
"2CH.26.15", "Na ɔyɛɛ mfir a ɔyɛ edwimfo pa edwin wɔ Jerusalɛm, dɛ onsisi aban atsentsen do na akoban do, ma wɔmfa ntotow egyen menaba na abo akɛse nyina. Na ne dzin tahyee kɔr ekyirekyir; osiandɛ wɔboaa no nwanwa mu araa kodur dɛ ɔyɛɛ dzen.", ""
"2CH.26.16", "Na aber a ɔyɛɛ dzen no, nna n'akoma maa noho do ma ɔbɔɔ ɔbrafun, na ɔyɛɛ bɔn tsiaa EWURADZE ne Nyankopɔn; osiandɛ ɔnoara sii mu kɔr EWURADZE n'asɔrdan no mu dɛ ɔrekɛhyew eduhuam wɔ eduhuamhyew afɔrmbukyia no do.", ""
"2CH.26.17", "Na ɔsɔfo Azaria dzii n'ekyir kɛhɛɛn mu, na EWURADZE n'asɔfoe eduowɔtwe, mbarimba a wɔyɛ ndam, ka no ho:", ""
"2CH.26.18", "na wosiiw ɔhen Uzia kwan, na wɔsee no dɛ, Uzia, ɔnnyɛ ɔwo wodze, dɛ ebɛhyew eduhuam ama EWURADZE, na mbom Aaronmba asɔfo no a wɔayɛ hɔn krɔnkrɔn dɛ wɔnhyew eduhuam no na hɔndze a: fi krɔnkrɔnbea yi do ha fi, na ayɛ bɔn; nkyii so ɔrennyɛ w'enyidzii wɔ EWURADZE Nyankopɔn enyim.", ""
"2CH.26.19", "Nna Uzia no bo fuwii; na eduhuamhyew adze no dze ne nsamu dɛ ɔdze rebɛhyew eduhuam; na aber a no bo fuuw asɔfo no, kwata fifiir no momapɔw do wɔ asɔfo no enyim wɔ EWURADZE ne fie hɔ, wɔ eduhuamhyew afɔrmbukyia no nkyɛn.", ""
"2CH.26.20", "Na ɔsɔfopanyin Azaria, na asɔfo no nyinara, hwɛɛ no, na, hwɛ, ɔayar kwata wɔ no momapɔw do, na wosunsuun no fii hɔ ntsɛmara; nyew, ɔnoara so yɛɛ ntsɛm fiir edzi, osiandɛ EWURADZE abɔ no.", ""
"2CH.26.21", "Na ɔhen Uzia yɛɛ ɔkwatanyi dze kodur no wu da, na ɔkɛtsenaa nkyɛn ofi bi mu, ɔyɛ ɔkwatanyi ntsi; osiandɛ woetwa no efi EWURADZE fie: na ne ba Jotam na ɔhwɛɛ ɔhen ne fidua no do, dɛ obuu asaase no do nkorɔfo no atsɛn.", ""
"2CH.26.22", "Afei Uzia no ho nsɛm nkaa no, kan dze na ekyir dze no, Amoz ne ba nkɔnhyɛnyi Isaia kyerɛwee.", ""
