"2CO.2.1", "Na mobɔɔ me tsirmu pɔw dɛ meremmfa awerɛhow mmba hom nkyɛn bio.", ""
"2CO.2.2", "Na sɛ mohow hom werɛ a, woana na ɔma m'enyi gye, dɛ nyia mohow no werɛ no ara?", ""
"2CO.2.3", "Na merekyerɛw hom iyi ara amma meba a meemmbenya awerɛhow wɔ hɔn a ɔsɛ dɛ wɔma me enyigye no ho, na mo werɛ wɔ hom nyina mu dɛ m'enyigye yɛ hom nyina so hom enyigye.", ""
"2CO.2.4", "Na mifi akoma mu ahohiahia nye ahoguan pii mu, menam nyinsuwa pii mu kyerɛɛw hom, nnyɛ dɛ hom werɛ nhow bi a, na mbom ama hom eehu ɔdɔ a modɔ hom mbordo no.", ""
"2CO.2.5", "Na sɛ obi ahyɛ awerɛhow a, nnyɛ emi na ɔahow mo werɛ na n'afa bi mu ɔahow hom nyina hom werɛ (amma maannsoa hom dza ɔyɛ dur dodow).", ""
"2CO.2.6", "Na nkaenyim a dodow no dze aka nyimpa no enyim no dɔɔ so ma no,", ""
"2CO.2.7", "ma afei mbom ɔsɛ dɛ hom dze kyɛ no na hom kyekye no werɛ, aannyɛ a nna hom ama obi a ɔtse dɛm no n'awerɛhow dodow amen no.", ""
"2CO.2.8", "Dɛm ntsi meserɛ hom, hom mma hom dɔ nsi pi mma no.", ""
"2CO.2.9", "Na iyi ntsi na mekyerɛwee, ama meenya hom ho dase papa dɛ hom yɛ setsie wɔ adze nyina mu.", ""
"2CO.2.10", "Onyia a hom dze biribi kyɛ no no, mo so medze kyɛ no, na sɛ medze biribi akyɛ a, hom ntsi na medze akyɛ wɔ Kraest enyim;", ""
"2CO.2.11", "amma Satan eenndzi hɛn enyim annkɛyɛ biribi: osiandɛ yenyim mbrɛ n'akwan tse.", ""
"2CO.2.12", "Ber a mebaa Troas wɔ Kraest asɛmpa no ntsi no, Ewuradze buee abow maa me,", ""
"2CO.2.13", "naaso mennya mo sunsum mu enyigye, osiandɛ mennhu mo nua Titus wɔ hɔ; na mekraa hɔn fii hɔ kɔr Masidonia.", ""
"2CO.2.14", "Na ndaase nka Nyankopɔn a ɔdze hɛn to no nkonyimsantsen wɔ Kraest mu daa no, na ɔnam hɛn do yi ne nyimdzee ho nka huam kyerɛ wɔ mbea nyina no.", ""
"2CO.2.15", "Na yɛyɛ Kraest Jesus ne nka huam ma Nyankopɔn ma hɔn a wɔregye hɔn nkwa nye hɔn a wɔrehera nyina:", ""
"2CO.2.16", "binom, yɛyɛ owu ho hua dze kɔ owu mu ma hɔn; na binom so, yɛyɛ nkwa ho hua dze kɔ nkwa mu ma hɔn. Na woana na ɔfata yinom?", ""
"2CO.2.17", "Na hɛn dze, yɛnntse dɛ pii a wɔdze Nyankopɔn asɛm yɛ eguadzi, na mbom ofi nokwardzi mu, ofi Nyankopɔn mu, na yɛkasa wɔ Kraest mu wɔ Nyankopɔn enyim.", ""
