"2CO.4.1", "Dɛm ntsi, dɛ ɔnam Nyankopɔn n'ehumbɔbɔr do na wɔdze ɔsom a ɔtse dɛm ahyɛ hɛn nsa yi, yɛmmpa abaw:", ""
"2CO.4.2", "na mbom yɛapow enyimguase ndzɛmba a yɛdze suma no, yɛmmbɔ hɛn bra akɔhwi mu, eso yɛmmfa ndaadaa mmfora Nyankopɔn asɛm mu, na nokwar no ara na yɛnam do petee dze yi hɛnho kyerɛ nyimpa nyina wɔ Nyankopɔn enyim.", ""
"2CO.4.3", "Na sɛ hɛn asɛmpa no do kata a, ɔkata wɔ hɔn a wɔrehera no mu,", ""
"2CO.4.4", "hɔn mu na wiadze yi nyame efura hɔn a wɔnngye nndzi no adwen, amma woeennhu Kraest a ɔyɛ Nyankopɔn suban no n'asɛmpa enyimnyam ne kan no.", ""
"2CO.4.5", "Na nnyɛ hɛn ho asɛm na yɛka, na mbom Kraest Jesus a, dɛ Ewuradze, na hɛnankasa so dze, dɛ Jesus ntsi yɛyɛ hom nkowaa.", ""
"2CO.4.6", "Osiandɛ Nyankopɔn a ɔkaa dɛ kan mfi sum mu nhyerɛn no na ɔahyerɛn wɔ hɛn akoma mu dɛ ɔrema Nyankopɔn enyimnyam a ɔwɔ Jesus Kraest enyim no no ho nyimdzee no ne kan no.", "#Gye 1.3"
"2CO.4.7", "Na yɛwɔ akoradze yi wɔ dɛtse nkɔɔpow mu, ama tum no ne kɛseyɛ a ɔtra do no eefir Nyankopɔn na emmfir hɛn:", ""
"2CO.4.8", "wofi mbeambea hiahia hɛn ho, na wɔmmem hɛn; hɛn ho kyer hɛn, na hɛn enyidado mmpa;", ""
"2CO.4.9", "wɔtaa hɛn do, na eso wɔmmpa hɛn ekyir; woekruw hɛn ahwe ase, na eso wɔnnsɛɛ hɛn:", ""
"2CO.4.10", "daa yɛso Jesus no wu wɔ hɛn nyimpadua mu nam, ama Jesus no nkwa so aada edzi wɔ hɛn nyimpadua mu.", ""
"2CO.4.11", "Na hɛn a yɛtse ase yi, woyi hɛn ma owu daa, ama Jesus no nkwa so aada edzi wɔ hɛn wu honam yi mu.", ""
"2CO.4.12", "Dɛm ntsi owu dzi dwuma wɔ hɛn mu, na nkwa so dzi dwuma wɔ hom mu.", ""
"2CO.4.13", "Na yɛwɔ gyedzi sunsum kor no ara, dɛ mbrɛ wɔakyerɛw dɛ, Megyee dzii ntsi na mekasae yi, hɛn so yɛgye dzi na ne ntsi so yɛkasa;", "#Dwom 116.10"
"2CO.4.14", "na yenyim dɛ nyia onyaan Ewuradze Jesus no, obenyan hɛn so nye Jesus, na oeyi hɛn nye hom akyerɛ.", ""
"2CO.4.15", "Na iyi nyina hom ntsi a, na adom no aadɔɔ so edua nyimpa pii do ama ndaase a ɔbor do aaka Nyankopɔn enyimnyam.", ""
"2CO.4.16", "Dɛm ntsi yɛmmpa abaw. Kaansa hɛn nyimpadua a enyiwa hu yi roprɔw mpo a, hɛn nyimpasu a enyi nnhu no dan fofor daa daa.", ""
"2CO.4.17", "Na hɛn sesei ahohia harhar yi, risiesie onnyiewiei enyimnyam a ɔso bor do koraa ama hɛn,", ""
"2CO.4.18", "ber a yɛnnhwɛ ndzɛmba a wohu, na mbom yɛhwɛ dza wonnhu no: osiandɛ ndzɛmba a wohu no nnkyɛr na etwa mu, na dza wonnhu no na onnyi ewiei.", ""
