"2CO.8.1", "Na eso enuanom, yɛma hom ehu Nyankopɔn adom a ɔdze adom Masidonia asɔrasɔr:", "#Rom 15.26"
"2CO.8.2", "mbrɛ hɔn ahohia nsɔhwɛ kɛse mu hɔn dɛw mbordo nye hɔn hia dodow no buu do kyerɛɛ hɔn ayamuyie ahonya.", ""
"2CO.8.3", "Na midzi hɔn ho dase dɛ wɔmaa dɛ mbrɛ wobotum, mpo dza ɔtra hɔn ahoɔdzen, a ofi hɔnara hɔn pɛ mu,", ""
"2CO.8.4", "na wɔtotɔe serɛɛ pii dɛ wobenya kyɛfa wɔ hɔn som a wɔdze som ahotseweefo no wɔ adɔyɛ ho;", ""
"2CO.8.5", "na nnyɛ dɛ iyi yɛ biribi a hɛn enyi daa do a, na mbom wɔnam Nyankopɔn ne pɛ do dzii kan dze hɔnankasa hɔnho maa Ewuradze, na afei wɔdze hɔnho maa hɛn so.", ""
"2CO.8.6", "Na iyi ntsi yɛserɛɛ Titus dɛ, dɛ mbrɛ ɔhyɛɛ ase kan no, onwie adɔyɛ yi dɛmara wɔ hom so mu.", ""
"2CO.8.7", "Na dɛ mbrɛ hom bor do wɔ adze nyina mu no, gyedzi, nye asɛm, nye nyimdzee, nye mbɔdzembɔ, nye hom dɔ a ɔwɔ hɛn do no, hom nhwɛ dɛ hom bɔbor do wɔ adom yi so mu.", ""
"2CO.8.8", "Na mennka yi wɔ nhyɛ do, na mbom medze binom mbɔdzembɔ rosɔ hom dɔ no nokwar ahwɛ.", ""
"2CO.8.9", "Na hom nyim hɛn Ewuradze Jesus Kraest n'adom, dɛ ɔyɛ ɔhonyanyi, naaso hom ntsi ɔbɛyɛɛ ohianyi, ama hom nam ne hia do aayɛ ahonyafo.", ""
"2CO.8.10", "Na m'adwen na mekyerɛ wɔ iyi mu, dɛ iyi na ɔfata hom, nnyɛ nyɛe nko bi, na ɔpɛ mu so, hom dzii kan hyɛɛ ase mfeda.", ""
"2CO.8.11", "Na afei hom nwie ne nyɛɛ no so, dɛ mbrɛ hom ayɛ krado wɔ ɔpɛ mu, no wie so aayɛ dɛmara, dɛ mbrɛ hom botum.", ""
"2CO.8.12", "Na sɛ ɔpɛ mu dze obi yɛ krado a, enyisɔ wɔ mu dɛ mbrɛ obi wɔ, na nnyɛ mbrɛ onnyi bi a.", ""
"2CO.8.13", "Na mennka yi ama binom ho aadwe hɔn, na hom dze hom ho eeguan hom,", ""
"2CO.8.14", "na dɛ ɔnyɛ pɛpɛɛpɛr ntsi a; ama dɛm ber yi mu hom mbordo no aakɔhwɛ hɔn hia, na hɔn so hɔn mbordo aabɔhwɛ hom hia, na aayɛ pɛpɛɛpɛr:", ""
"2CO.8.15", "dɛ mbrɛ wɔakyerɛw dɛ, Onyia ɔtasee pii ennya ma aammbor no do, na nyia ɔtasee kakrabaa so, ennhia no hwee.", "#Eks 16.18"
"2CO.8.16", "Na ndaase nka Nyankopɔn a ɔdze hom ho mbɔdzembɔ kor yi ara ahyɛ Titus n'akoma mu.", ""
"2CO.8.17", "Na otsiee hɛn afotu dze, naaso noara no mbɔdzembɔ kyɛn dɛm ntsi, ɔnam nankasa ne pɛ do baa hom nkyɛn.", ""
"2CO.8.18", "Na yɛsomaa ɔno nye onua no a ne nkamfo wɔ asɛmpa no mu atahye wɔ asɔr nyina mu no;", ""
"2CO.8.19", "na nnyɛ dɛm nko, ɔno na asɔrmba no eyi no dɛ ɔnye hɛn nnantsew wɔ adɔyɛ yi a yɛrosom ho yi mfa nkyerɛ Ewuradze n'enyimnyam nye hɛnara so hɛn mbɔdzembɔ kɛse no:", ""
"2CO.8.20", "na yɛda hɛnho do amma obi eennya hɛn ho asɛm bi wɔ adze dodow a yɛrosom ho yi ho:", ""
"2CO.8.21", "na yɛdwen dza ɔyɛ enyidzi ho sie, nnyɛ Nyankopɔn enyim nko, na mbom nyimpa enyim so.", "#Mbɛ 3.4"
"2CO.8.22", "Na yɛasoma hɛn nua a yeenya no nhunii dɛ ɔbɔ mbɔdzen wɔ ndzɛmba pii mu, na afei osian awerɛhyɛmu kɛse a oenya no hom mu ntsi, ɔbɔ mbɔdzen bor do.", ""
"2CO.8.23", "Titus ho a, ɔyɛ me nyɛnko nye me nyɛnko dwumadzifo ma hom; hɛn nuanom ho a, wɔyɛ asɔr asomafo, Kraest enyimnyam.", ""
"2CO.8.24", "Dɛm ntsi hom nyi hom dɔ nye ahohyehyɛ a yɛhyehyɛ hɛnho wɔ hom ho ne dasee nkyerɛ hɔn wɔ asɔrasɔr enyim.", ""
