"2CO.9.1", "Na ahotseweefo som no ho dze, onnhia dɛ mekyerɛw mebrɛ hom;", ""
"2CO.9.2", "osiandɛ minyim hom mbɔdzembɔ a medze hyehyɛ moho kyerɛ Masidoniafo, dɛ Akaia siesiee hɔnho afrenhyia nye yi, na hom mbɔdzembɔ yi ekenyan hɔn mu piinara.", ""
"2CO.9.3", "Na masoma enuanom no, ama hɛn ahohyehyɛ a ɔwɔ hom ho aannyɛ kwa wɔ iyi afamu, na dɛ mbrɛ mekaa no, hom eesiesie homho;", ""
"2CO.9.4", "na bi a Masidoniafo bi nye hɛn bɛba, na sɛ wɔbɔto hom dɛ hom nnsiesiee homho a, hɛn (yɛnnka dɛ hom), hɛn enyi aannto wɔ dɛm ahohyehyɛ yi mu.", ""
"2CO.9.5", "Dɛm ntsi modween dɛ ohia dɛ meserɛ enuanom no dɛ wondzi kan wɔ hom nkyɛn mbɔboaboa hom akyɛdze a wɔabɔ hom nkaa esie no ano ngu hɔ, na ɔaada hɔ dɛ akyɛdze na nnyɛ epoobɔdze.", ""
"2CO.9.6", "Na dza meka nye dɛ, Nyia odua no kyenkyen mu no, obobu no kyenkyen mu, na nyia odua no bafuu no obobu no bafuu.", ""
"2CO.9.7", "Dɛ mbrɛ obiara esusu wɔ n'akoma mu, nnyɛ amemenemfe do, anaa nhyɛ do no ɔmma; osiandɛ Nyankopɔn dɔ nyia ɔtsew n'enyim dze ma.", ""
"2CO.9.8", "Na Nyankopɔn botum dɛ ɔma adom nyina bor do ma hom na adze nyina mu nye daa nyina hom eenya dza ɔdɔɔ so nyina, ama hom aabor do wɔ edwuma pa nyina mu:", ""
"2CO.9.9", "dɛ mbrɛ wɔakyerɛw no dɛ, Ɔtow petse, ɔdze ma ehiafo; Ne tsenenee tsim hɔ daa.", "#Dwom 112.9"
"2CO.9.10", "Na nyia ɔdze aba ma oduafo, na ɔma paanoo dɛ edziban no, ɔbɛma hom aba a hom dua no adɔɔ so, na ɔama hom tsenenee eduaba adɔr;", "#Isa 55.10"
"2CO.9.11", "na hom eenya hom ho wɔ ayamuyie nyina mu, dza ɔnam hɛn do yɛ ndaase ho edwuma ma Nyankopɔn no.", ""
"2CO.9.12", "Osiandɛ baguasom yi no som dze, nnyɛ dɛ wɔdze kɛhyɛ ahotseweefo no sintɔ ma nko, na ɔnam ndaase pii do bu do so ma Nyankopɔn;", ""
"2CO.9.13", "na ɔnam ɔsom yi no nsɔhwɛ do wɔhyɛ Nyankopɔn enyimnyam wɔ setsie a hom ka dɛ hom wɔ ma Kraest asɛmpa no, na ayamuyie ntoboa a hom yi boa hɔn nye nyimpa nyina ntsi;", ""
"2CO.9.14", "na hɔn so woyi mpaa ma hom na wɔfe hom wɔ Nyankopɔn adom a ɔbor do wɔ hom do ntsi.", ""
"2CO.9.15", "Ndaase nka Nyankopɔn wɔ n'akyɛdze a yenntum nnsusu no ntsi.", ""
