"2CO.13.1", "Mpɛn ebiasa nye yi a mereba hom nkyɛn. Adasefo beenu anaa baasa anomu na asɛm biara begyina.", "#Deut 17.6; 19.15"
"2CO.13.2", "Maka ana, na mereka no bio: mbrɛ mpɛn ebien a mowɔ hom nkyɛn mekae no, dɛmara na sesei a minnyi hom nkyɛn yi meka kyerɛ hɔn a wɔyɛɛ bɔn nkan no, nye hɔn a wɔaka no nyina dɛ, sɛ meba bio a, minnkegyaa hom;", ""
"2CO.13.3", "osiandɛ hom rohwehwɛ Kraest a ɔkasa mo mu no ho biribi ehu, ɔno na ɔnnyɛ mberɛw wɔ hom afamu, na mbom ɔyɛ tumfo wɔ hom mu:", ""
"2CO.13.4", "na ɔnam mberɛw mu na wɔbɔɔ no mbeamudua mu dze, naaso ɔnam Nyankopɔn tum do tse ase. Na hɛn so yɛyɛ mberɛw wɔ no mu dze, naaso ɔnam Nyankopɔn tum do yɛnye no bɛtsena ase wɔ hom ntsi.", ""
"2CO.13.5", "Hom mpɛnsampɛnsa hom mu nhwɛ dɛ hom wɔ gyedzi no mu anaa; hom nsɔ homho nhwɛ. Anaa hom nnyim dɛ Jesus Kraest tse hom mu? Gyedɛ gyama hom mmfora.", ""
"2CO.13.6", "Na m'enyi da do dɛ hom bohu dɛ hɛn dze, yɛnnyɛ nyimpa a wɔmmfora.", ""
"2CO.13.7", "Na yɛbɔ mpaa kyerɛ Nyankopɔn dɛ mma hom nnyɛ bɔn bi: nnyɛ dɛ ama woeehu hɛn dɛ yɛfora, na mbom ama hom aayɛ dza ɔyɛ fɛw, na hɛn dze, yaayɛ dɛ hɔn a wɔfora mpo.", ""
"2CO.13.8", "Na yenntum nnyɛ hwee nntsia nokwar no, na mbom yɛyɛ ma nokwar no.", ""
"2CO.13.9", "Na sɛ yɛyɛ mberɛw ma hom yɛ dzen a, yedzi dɛw; iyiara so ntsi na yɛbɔ mpaa, hom emudzi a.", ""
"2CO.13.10", "Iyiara ntsi na minnyi hom nkyɛn yi mekyerɛw iyi mebrɛ hom, na sɛ meba a, menye hom eemmbedzi no wenwennwen, dɛ mbrɛ tum a Ewuradze dze maa me wɔ ntowdo na nnyɛ ɔsɛɛ bi ntsi no tse.", ""
"2CO.13.11", "Dza medze wie nye dɛ, enuanom, hom ndzi dɛw; hom ndzi mu; hom werɛ nkyekyer; hom nyɛ adwenkor; hom ntsena asomdwee mu; na ɔdɔ nye asomdwee Nyankopɔn nye hom bɛtsena.", ""
"2CO.13.12", "Hom mfa mfewano krɔnkrɔn nkyiakyia homho.", ""
"2CO.13.13", "Ahotseweefo no nyina kyiakyia hom.", ""
"2CO.13.14", "Hɛn Ewuradze Jesus Kraest adom, Nyankopɔn no dɔ, nye Sunsum Krɔnkrɔn anyɛnkoyɛ nka hom nyina.", ""
