"2KI.1.1", "Na Ahab no wu ekyir no Moab tseew etua wɔ Israel do.", ""
"2KI.1.2", "Na Ahazia nam n’abansor pia a ɔwɔ Samaria n’atenatokura mu bɔhwee famu, na ɔyaree: na otuu abɔfo, na ɔsee hɔn dɛ, Hom nkɔ, wonkebisa Ekron nyame Baal-zebub no kyerɛ dɛ mobɔbɔ esu wɔ yarba yi mu a.", ""
"2KI.1.3", "Na EWURADZE no bɔfoe no see Tisbinyi Elija dɛ, Soɛr, fow kɔ kehyia Samariahen n’abɔfoe no, na se hɔn dɛ, Ana osiandɛ Nyankopɔn bi nnyi Israel ntsi, na hom rokɔ ekebisa Ekron nyame Baal-zebub no hɔ adze yi?", ""
"2KI.1.4", "Dɛm ntsi afei mbrɛ EWURADZE se nye yi, Mpa no a afow no rimmfi do nnsian, na owu ara na ibowu. Na Elija sii mu kɔree.", ""
"2KI.1.5", "Na abɔfo no sanee baa ne nkyɛn, na ɔsee hɔn dɛ, Ɔyɛ dɛn ntsi na hom asan yi?", ""
"2KI.1.6", "Na wɔsee no dɛ, Ɔbarimba bi fowee behyiaa hɛn, na ɔsee hɛn dɛ, Hom nsan nkɔ ɔhen a ɔsomaa hom no nkyɛn bio, na wɔnse no dɛ, Mbrɛ EWURADZE se nye yi, Ana osiandɛ Nyankopɔn bi nnyi Israel ntsi, na asoma dɛ wonkebisa Ekron nyame Baal-zebub no hɔ adze yi? Dɛm ntsi mpa no a afow no irimmfi do nnsian famu, na owu ara na ibowu.", ""
"2KI.1.7", "Na ɔsee hɔn dɛ, Ɔbarimba a ɔfowee bae behyiaa hom na ɔkaa nsɛm yi kyerɛɛ hom no tse dɛn?", ""
"2KI.1.8", "Na wobuaa no dɛ, ɔyɛ nyimpa a no ho yɛ nhwi nhwi, na nwoma abɔdo bɔ n’asen. Na ɔhen no see dɛ, Tisbinyi Elija a.", ""
"2KI.1.9", "Nna ɔhen no somaa eduonum do safohen nye n’eduonum no wɔ no hɔ. Na ɔfowee kɔr ne nkyɛn: na, hwɛ, ɔtse koko no n’etsifi. Na ɔkaa kyerɛɛ no, dɛ, Nyame nyimpa, ɔhen se dɛ, Sian bra.", ""
"2KI.1.10", "Na Elija buae see eduonum do ɔsafohen no dɛ, Sɛ Nyame nyimpa nye me a, ogya mfi sor nsian mbɛhyew ɔwo na w’eduonum no. Na ogya fi sor sianee bɛhyeew ɔno na n’eduonum no.", ""
"2KI.1.11", "Na ɔsomaa eduonum do safohen fofor so nye n’eduonum wɔ no hɔ bio. Na obuae see no dɛ, Nyame nyimpa, mbrɛ ɔhen se nye yi, Yɛ ntsɛm sian bra.", ""
"2KI.1.12", "Na Elija buae see hɔn dɛ, Sɛ Nyame nyimpa nye me a, ogya mfi sor nsian mbɛhyew ɔwo na w’eduonum no. Na Nyame gya fi sor sianee bɛhyeew ɔno na n’eduonum no.", ""
"2KI.1.13", "Na bio ɔsomaa eduonum do safohen a otsia ebiasa nye n’eduonum bio. Na eduonum do ɔsafohen a otsia ebiasa no fowee kɔree, na ɔkɔkotoow n’anankoroma enyim wɔ Elija n’enyim, paa no kyɛw, na ɔsee no dɛ, Nyame nyimpa, meserɛ wo, ma mo nkwa, na wo nkowaa eduonum yi hɔn nkwa nsom bo wɔ w’enyi do.", ""
"2KI.1.14", "Hwɛ, ogya fi sor sianee bɛhyeew nkan no eduonum do asafohemfo beenu no nye hɔn eduonum eduonum no: na afei ma mo nkwa nsom bo wɔ w’enyi do.", ""
"2KI.1.15", "Na EWURADZE no bɔfoe no see Elija dɛ, Enye no nsian nkɔ: mma nnsuro no. Na ɔsoɛree, na ɔnye no sianee kɔr ɔhen no nkyɛn.", ""
"2KI.1.16", "Na ɔsee no dɛ, Mbrɛ EWURADZE se nye yi, Susuampa dɛ ɔwo asoma abɔfo dɛ wonkebisa Ekron nyame Baal-zebub hɔ adze no, nna siantsir nye dɛ Nyankopɔn bi nnyi Israel a wokebisa n’asɛm bi a? Dɛm ntsi mpa no a afow no irimmfi do nnsian, na owu ara na ibowu.", ""
"2KI.1.17", "Nna owui dɛ mbrɛ EWURADZE n’asɛm no a Elija kae no tse. Na osiandɛ onnyi ba ntsi, Joram hyɛɛ ase dzii hen wɔ n’ananmu wɔ Judahen Jehosafat ne ba Jehoram n’afe a otsia ebien no mu.", ""
"2KI.1.18", "Afei Ahazia no ho nsɛm nkaa no, dza ɔyɛe no, ana wɔnnkyerɛɛw no wɔ Israel ahemfo hɔn Mbermunsɛm nwoma no mu a?", ""
