"2KI.16.1", "Remalia ne ba Peka n'afe a otsia duesuon no mu na Judahen Jotam ne ba Ahaz hyɛɛ ase dzii hen.", ""
"2KI.16.2", "Aber a Ahaz hyɛɛ ase dzii hen no na oedzi mfe eduonu; na odzii hen mfe duesia wɔ Jerusalɛm: na ɔannyɛ dza ɔtsen wɔ n'EWURADZE Nyankopɔn enyiwa do, dɛ mbrɛ n'egya David yɛe.", ""
"2KI.16.3", "Mbom ɔnantseew Israel ahemfo kwan do, nyew, na ɔdze ne ba mpo bɔɔ ɔhyew afɔr, dɛ mbrɛ amanamamfo a EWURADZE tuu hɔn fii Israelmba enyim no hɔn atɔrmuadze tse.", ""
"2KI.16.4", "Na ɔbɔɔ afɔr na ɔhyeew eduhuam wɔ mbea sorɔnsorɔm no do, na akoko do, na dua momon biara ase.", ""
"2KI.16.5", "Nna Siriahen Rezin na Israelhen Peka, Remalia ne ba no fowee baa Jerusalɛm dɛ wɔrobɔko: na wɔkɔr Ahaz ntuae, na mbom woenntum enndzi no do nyim.", ""
"2KI.16.6", "Aber no mu na Siriahen Rezin gyee Elat sanee maa Siria, na ɔpaam Jewfo no fii Elat: na Siriafo no baa Elat, na wɔtsenaa hɔ, dze bodu ndɛ da yi.", ""
"2KI.16.7", "Nna Ahaz tuu abɔfo ma wɔkɔr Asiriahen Tiglat-pileser nkyɛn, dɛ, Meyɛ w'akowaa na wo ba: fow bra bɛgye me fi Siriahen, na Israelhen a wɔasoɛr mo do yi nsamu.", ""
"2KI.16.8", "Na Ahaz faa dwetɛ na sika a wohun no wɔ EWURADZE ne fie, na ɔhen no ne fie akoradze mu, na ɔsomae ma wɔdze kɛmaa Asiriahen no dɛ ayɛyɛdze.", ""
"2KI.16.9", "Na Asiriahen no tsiee no: na Asiriahen no sii mu kɔr Damaskɔs do, na ɔkɛgyee, na ɔfaa no mu nkorɔfo no ndɔmmum kɔr Kir, na okum Rezin.", ""
"2KI.16.10", "Na ɔhen Ahaz sii mu kɔr Damaskɔs dɛ orikehyia Asiriahen Tiglat-pileser kwan, na ohun afɔrmbukyia no a ɔwɔ Damaskɔs no: na ɔhen Ahaz somae ma wɔdze afɔrmbukyia no su, na no nsusudo dɛ mbrɛ ne yɛbea nyinara tse, kɛmaa ɔsɔfo Uria.", ""
"2KI.16.11", "Na ɔsɔfo Uria sii afɔrmbukyia: dɛ mbrɛ dza ɔhen Ahaz somae ma wɔdze fi Damaskɔs no tse no, dɛmara so na ɔsɔfo Uria yɛe dze tweɔɔn ɔba a ɔhen Ahaz fi Damaskɔs bae no.", ""
"2KI.16.12", "Na aber a ɔhen no fi Damaskɔs bae na obohun afɔrmbukyia no, ɔtwee piin ho, na ɔbɔɔ do afɔr.", ""
"2KI.16.13", "Na ɔhyeew ne hyew afɔr na n'edziban afɔr, na ohuee no nom afɔr, na ɔdze n'asomdwee afɔr bɔgyaa no petsee afɔrmbukyia no do.", ""
"2KI.16.14", "Na boran afɔrmbukyia no a ɔwɔ EWURADZE enyim no, oyii fii ɔdan no enyim dze fii n'afɔrmbukyia no na EWURADZE ne dan no ntamu, na ɔdze kesii n'afɔrmbukyia no nkyɛn wɔ kwaamu afamu.", ""
"2KI.16.15", "Na ɔhen Ahaz hyɛɛ ɔsɔfo Uria, dɛ, Afɔrmbukyia kɛse no do na hyew anapa hyew afɔr, na ewimbir edziban afɔr, na ɔhen ne hyew afɔr, na n'edziban afɔr, ka asaase yi do ɔman nyinara hɔn ɔhyew afɔr, na hɔn edziban afɔr, na hɔn nom afɔr ho; na fa ɔhyew afɔr bɔgyaa no nyinara petse do: na boran afɔrmbukyia no dze onsi hɔ mma me, ma memfa nhwehwɛ adze.", ""
"2KI.16.16", "Dɛm na ɔsɔfo Uria yɛe, dɛ mbrɛ dza ɔhen Ahaz hyɛe no tse nyinara.", ""
"2KI.16.17", "Na ɔhen Ahaz twitwaa ndaka no ne nhyehyɛmu no, na oyiyii eguarsɛn bo fii do; na oyii po no fii boran anantwi no a wɔwɔ n'ase no do, na ɔdze kesii abosɛwee bi do.", ""
"2KI.16.18", "Na ɔhen no nsumaa kwan a wɔyɛɛ no ɔdan no mu no, na ɔhen no n'ahɛnee a ɔwɔ guado no, ɔdanee kɔr EWURADZE ne fi no nkyɛn, osian Asiriahen no ntsi.", ""
"2KI.16.19", "Afei Ahaz no ho nsɛm nkaa no, dza ɔyɛe no, ana wɔnnkyerɛɛw no wɔ Juda ahemfo hɔn Mbermunsɛm nwoma no mu?", ""
"2KI.16.20", "Na Ahaz kɔr ne nsamankyir, na wosiee no kaa n'egyanom ho wɔ David kurow mu: na ne babanyin Hezekia dzii hen wɔ n'ananmu.", ""
