"2SA.6.1", "Na David kehyiahyiaa Israel mbarimba a wɔasan mu eyi hɔn no nyinara bio, hɔn dodow yɛ mpemeduasa.", ""
"2SA.6.2", "Na David soɛree na ɔnye nkorɔfo a wɔka no ho no nyinara sii mu kɔr Baale-Juda, dɛ wɔrekɛfa Nyankopɔn n'adakaa no a wɔbɔ do dzin no efi hɔ aba, mekyerɛ dɔm EWURADZE a ɔtse kerubfo do no ne dzin no a.", ""
"2SA.6.3", "Na wɔdze Nyankopɔn n'adakaa no sii tseaseanam fofor do, na wɔdze fi Abinadab fi a ɔwɔ koko no do no mu puei: na Uza na Ahio, Abinadab ne mbabanyin no, na wɔtwee tseaseanam fofor no.", ""
"2SA.6.4", "Na wɔdze Nyankopɔn n'adakaa no fi Abinadab fie a ɔwɔ koko no do no puei: na Ahio dzii adaka no enyim kɔree.", ""
"2SA.6.5", "Na David na Israel fi nyinara wɔdze kupresidua ahorow, nye asankutsen, bɛnta asanku, mpintsin, mfirekyiwa, na ɔnye akasaa goree wɔ EWURADZE enyim.", ""
"2SA.6.6", "Na aber a wodur Nakon ewuporowee no, Uza tseen ne nsa kɛkaa Nyankopɔn n'adakaa no, na osuoo mu, osiandɛ anantwi no fintsiwii.", ""
"2SA.6.7", "Na EWURADZE n'ebufuw dzɛwee wɔ Uza do; na Nyankopɔn bɔɔ no hɔ wɔ no mfom no ntsi, na owui wɔ Nyankopɔn n'adakaa no nkyɛn hɔ.", ""
"2SA.6.8", "Na David dzii yaw, osiandɛ EWURADZE ebu afa Uza do ntsi: na ɔfrɛɛ bea no Perez-Uza a asekyerɛ nye dɛ, Uza n'asotwe, dze bodu ndɛ da yi.", ""
"2SA.6.9", "Na David suroo EWURADZE da no; na ɔsee dɛ, EWURADZE n'adakaa no besi dɛn aba me nkyɛn?", ""
"2SA.6.10", "Dɛm ntsi David ammpɛ dɛ oyi EWURADZE n'adakaa no dze kɔ ne nkyɛn wɔ David kurow no mu; na David dze maan nkyɛn kɔr Gitinyi Obed-edom fie.", ""
"2SA.6.11", "Na EWURADZE n'adakaa no kaa Gitinyi Obed-edom fie abosoom ebiasa: na EWURADZE hyiraa Obed-edom, na ne fie nyinara.", ""
"2SA.6.12", "Na wɔkaa kyerɛɛ ɔhen David dɛ, EWURADZE ehyira Obed-edom fi, na dza ɔwɔ nyinara, osian Nyankopɔn n'adakaa no ntsi. Na David dze enyigye sii mu kɔree keyii Nyankopɔn n'adakaa no fii Obed-edom fie dze baa David kurow no mu.", ""
"2SA.6.13", "Na mbrɛ ɔyɛe nye dɛ, sɛ hɔn a wɔso EWURADZE n'adakaa no tu anamɔn esia a, nna ɔdze ɔnantwi na abowa a ɔadɔ seradze abɔ afɔr.", ""
"2SA.6.14", "Na David dze n'ahoɔdzen nyinara sawee wɔ EWURADZE enyim: nna David ɔdze ndwera asɔfo ntar abɔ do.", ""
"2SA.6.15", "Nna David na Israel fi nyinara dze esebɔ, na abɛnhɛn ndze, dze EWURADZE n'adakaa no fowee bae.", ""
"2SA.6.16", "Na ɔbaa dɛ, aber a EWURADZE n'adakaa no dur David kurow mu no, Saul ne babaa Mikal hwɛɛ tokura mu, na ohun ɔhen David dɛ oruhuruhuruw na ɔresaw wɔ EWURADZE enyim; na obuu no enyimtsia wɔ n'akoma mu.", ""
"2SA.6.17", "Na wɔdze EWURADZE n'adakaa no bae, na wɔdze besii ne sibew wɔ asese a David abɔ ama no ne finimfin: na David bɔɔ ɔhyew afɔr na asomdwee afɔr wɔ EWURADZE enyim.", ""
"2SA.6.18", "Na David wiee ɔhyew afɔr na asomdwee afɔr no bɔ no, ɔdze dɔm EWURADZE ne dzin hyiraa ɔman no.", ""
"2SA.6.19", "Na ɔdze akyɛdze maa ɔman no nyinara, mekyerɛ Israel nyimpadodow nyina, mbarimba na mbaa nyina, ɔmaa obiara boodoo ntɔwmu, na nankum, na esikyireamba a wɔabɔ no etɔw. Nna ɔman no nyinara mu obiara sii mu kɔr ne fie.", ""
"2SA.6.20", "Nna David sanee baa dɛ oribehyira ne fiefo. Na Saul ne babaa Mikal puei behyiaa David, na ɔsee dɛ, Mbrɛ Israelhen n'enyim duae baa nyam ndɛ a, dɛ ɔpaa no ho tam wɔ no nkowaa hɔn mfonabaa enyim, dɛ mbrɛ ehuhufo no mu bi pa no ho tam adapaa mu!", ""
"2SA.6.21", "Na David see Mikal dɛ, EWURADZE a, nyia ogyaa w'egya, na ne fi nyinara hɔ, na ɔsaan mu yii me hyɛɛ me ɔpanyin wɔ EWURADZE ne man, Israel do no a; dɛm ntsi mobɔgor wɔ EWURADZE enyim.", ""
"2SA.6.22", "Na mo ho bɛda ho ayɛ nkɔw asen dɛm, na mebɛyɛ mankasa m'enyi do famufamunyi: na mfonabaa a akasa hɔn ho no mu mbom na wɔbɛhyɛ me enyimnyam.", ""
"2SA.6.23", "Na Saul ne babaa Mikal oennya ɔba dze kodur no wu da.", ""
