"2SA.9.1", "Na David bisaa dɛ, Ana obi da ho wɔ hɔ a ɔaka wɔ Saul fie, ma menyɛ no ayamuyie wɔ Jonatan ntsi?", ""
"2SA.9.2", "Na Saul fie akowaa bi wɔ hɔ a ne dzin dze Ziba, na wɔkɛfrɛɛ no ma ɔkɔr David nkyɛn; na ɔhen no see no dɛ, Ana ɔwo nye Ziba a? Na ɔsee dɛ, W’akowaa nye no.", ""
"2SA.9.3", "Na ɔhen no see dɛ, Ana obi nnyi hɔ bio wɔ Saul fie, ma medze Nyankopɔn ayamuyie mebɛyɛ no? Na Ziba see ɔhen no dɛ, Jonatan na ɔda ho wɔ ɔbabanyin bi a ɔyɛ apakye.", ""
"2SA.9.4", "Na ɔhen no see no dɛ, Ɔwɔ hen? Na Ziba see ɔhen no dɛ, Hwɛ, ɔwɔ Makir, Ammiel ba no ne fie, wɔ Lo-debar.", ""
"2SA.9.5", "Nna ɔhen David somae ma wɔkɛfaa no wɔ Makir, Ammiel ba no ne fie, wɔ Lo-debar bae.", ""
"2SA.9.6", "Na Saul ne ba Jonatan ne ba Mefiboset baa David nkyɛn no, ɔdze n’enyim boom famu, na ɔyɛɛ enyidzi. Na David see dɛ, Mefiboset. Na obuaa dɛ, Hwɛ, w’akowaa nye yi.", ""
"2SA.9.7", "Na David see no dɛ, Mma nnsuro: na ampaara w’egya Jonatan ntsi mebɛyɛ wo ayamuyie, na madan w’egya Saul n’asaase nyinara mama wo; na ibedzidzi mo pon do daa.", ""
"2SA.9.8", "Na ɔyɛɛ enyidzi, na ɔsee dɛ, W’akowaa nye bɛn, ma ebɔhwɛ ɔkraman fun a ɔtse dɛ emi yi?", ""
"2SA.9.9", "Nna ɔhen no frɛɛ Ziba, Saul n’akowaa no, na ɔsee no dɛ, Adze nyinara a ɔyɛ Saul na ne fie nyinara dze no medze ama wo wura ne ba no.", ""
"2SA.9.10", "Dɔw asaase no ma no, ɔwo, na wo mba, na wo nkowaa; na fa no do nduadzewa bra, ma wo wura ne ba nnya edziban ndzi: na wo wura ne ba Mefiboset dze ondzidzi mo pon do daa. Nna Ziba wɔ mbabanyin duenum na nkowaa eduonu.", ""
"2SA.9.11", "Nna Ziba see ɔhen no dɛ, Dɛ mbrɛ mo wura ɔhen hyɛ w’akowaa no nyinara no, dɛmara so na w’akowaa bɛyɛ. Na Mefiboset dze, ɔhen no see no dɛ, Ibedzidzi mo pon do dɛ ɔhen ne mba no mu bi.", ""
"2SA.9.12", "Nna Mefiboset wɔ babanyin kakraba bi a ne dzin dze Mika. Na hɔn a wɔtse Ziba fie nyinara wɔyɛ nkowaa dze ma Mefiboset.", ""
"2SA.9.13", "Nna Mefiboset tsenaa Jerusalɛm: na odzidzii ɔhen no no pon do daa; a nna ɔyɛ ebubua.", ""
