"2SA.19.1", "Nna wɔkaa kyerɛɛ Joab dɛ, Hwɛ, ɔhen rusu na origyam Absalom.", ""
"2SA.19.2", "Na da no konyimdzi no daan dɔm no nyinara nkɔmbɔdzi: na dɔm no tsee no da no dɛ wɔrese dɛ, Ɔhen ridzi yaw ma ne ba.", ""
"2SA.19.3", "Na dɔm no wiawiaa hɔnho baa kurow no mu da no, dɛ mbrɛ nkorɔfo a woguan ɔko mu gu hɔn enyim ase no, wiawia hɔnho no.", ""
"2SA.19.4", "Na ɔhen no kataa n'enyim, na ɔhen no dze ndze kɛse kekaa mu dɛ, Me ba Absalom e, Absalom e, me ba e, me ba e!", ""
"2SA.19.5", "Na Joab baa ɔhen no nkyɛn wɔ fie, na ɔsee dɛ, Ndɛ da yi egu wo nkowaa nyinara a ndɛ da yi wɔagye ɔwo na wo mbabanyin, na wo mbabaa, na wo yernom, na wo nwewefo nkwa no enyim ase;", ""
"2SA.19.6", "wɔ dɛ ɔwo edɔ hɔn a wɔtan wo, na etan hɔn a wɔdɔ wo. Osiandɛ ɔwo ada no edzi ndɛ da yi, dɛ asafohemfo na nkowaa nnyɛ hwee mma wo: na ndɛ da yi muhu dɛ, sɛ Absalom tsenaa ase, na hɛn nyinara wuwui a, nkyɛ ɔsɔ w'enyi papaara.", ""
"2SA.19.7", "Dɛm ntsi afei soɛr, fir edzi, na kɛkasa awerɛkyekyer mu kyerɛ wo nkowaa: na meka EWURADZE dɛ, sɛ emmpue a, ondu mbrɛ adze nsa no nna w'akofo no mu kor mpo nnkaa wo nkyɛn: na ɔno mbom bɛyɛ ɔhaw kɛse ama wo ma ɔasen mbusu a ofitsi wo mberantsɛber dze ebodu sesei aba wo do nyinara.", ""
"2SA.19.8", "Nna ɔhen no soɛree, na ɔkɛtsenaa kuropon no mu. Na wɔkaa kyerɛɛ ɔman no nyinara dɛ, Hwɛ, ɔhen no tse kuropon no mu: na ɔman no nyinara baa ɔhen no enyim. Afei na Israel eguanguan, nyimpa biara kɔ n'asesee mu.", ""
"2SA.19.9", "Na ɔman no nyinara hamee wɔ Israel ebusuakuw ebusuakuw nyinara mu, dɛ, Ɔhen na oyii hɛn fii hɛn atamfo nsamu, na ɔno na ɔgyee hɛn fii Filistiafo nsamu; na afei Absalom ntsi oeguan efi asaase yi do.", ""
"2SA.19.10", "Na Absalom a yɛseraa no hyɛɛ no hen wɔ hɛn do no, ɔatɔr wɔ akono. Dɛm ntsi afei ɔyɛ dɛn ntsi na hom nnka asɛm bi a wɔdze bɛkɛfa ɔhen asan aba yi?", ""
"2SA.19.11", "Na ɔhen David tsee Israel nyinara hɔn asɛm yi no, ɔsomae ma wɔkɔr asɔfo Zadok na Abiathar nkyɛn, dɛ, Hom nkasa nkyerɛ Juda mpanyimfo, dɛ, Ɔyɛ dɛn ntsi na hom aka ekyir dɛ wɔdze ɔhen bɛsan akɔ ne fie yi?", ""
