"2TH.2.1", "Afei enuanom, ɔfa hɛn Ewuradze Jesus Kraest ne mbae no, na dɛ yɛbɔboa ano ehyia ne nkyɛn dze, yɛkotow serɛ hom dɛ,", "#1 Tes 4.15-17"
"2TH.2.2", "mma hom mma wonndua sunsum anaa asɛm, anaa nwoma bi a ɔwɔ dɛ ofi hɛn hɔ do nndan hom adwen ntsɛm, anaa nntu hom akoma dɛ gyama Kraest da no enya edu.", ""
"2TH.2.3", "Mma obiara nndaadaa hom wɔ biribiara ho, osiandɛ da no nnkɛba, gyedɛ gyedzi ho asehwe no aba ana, na woeyi omumuyɛnyi no edzi, mekyerɛ, ɔsɛɛ ba no a.", ""
"2TH.2.4", "Ɔhoran noho, ɔmema noho do tsia dza wɔfrɛ no onyame biara, anaa dza wɔsɔr no nyina, ma ɔtsena Nyankopɔn asɔrdan mu dze noho kyerɛ dɛ ɔno nye Nyankopɔn no.", "#Dan 11.36; Eze 28.2"
"2TH.2.5", "Ana hom nkaa dɛ mowɔ hom nkyɛn no mekaa yinom nyina kyerɛɛ hom?", ""
"2TH.2.6", "Na afei hom nyim dza osiw kwan, ama woeeyi no akyerɛ wɔ nankasa n'aber do.", ""
"2TH.2.7", "Na mbrato esumasɛm no enya reyɛ edwuma, na obi na orisiw kwan ma ekodu dɛ wobeyi no hɔ.", ""
"2TH.2.8", "Nna nkyii wobeyi nyia onndzi mbra biara do no akyerɛ, ɔno na Ewuradze Jesus dze n'anomu ehubɔw boku no, na ɔdze ne mbae no mpuei bɛma ɔaasɛɛ.", "#Isa 11.4"
"2TH.2.9", "Ɔno ne mbae no ɔnam abɔnsam edwuma do ba, wɔ tum nye nsɛnkyerɛdze nye ator anwanwadze nyina mu,", "#Mat 24.24"
"2TH.2.10", "nye dza ɔnntsen ndaadaa nyina mu ma hɔn a wɔreyew no, osiandɛ wɔapow dɛ wɔbɔdɔ nokwar ma wɔaagye hɔn nkwa.", ""
"2TH.2.11", "Iyi ntsi na Nyankopɔn soma ndaadaa dwumadzi ba hɔn mu ama wɔaagye atorsɛm edzi:", ""
"2TH.2.12", "na woeebu hɔn a wɔanngye nokwar no enndzi na mbom hɔn enyi sɔɔ dza ɔnntsen no nyina atsɛn.", ""
"2TH.2.13", "Na hɛn dze, ɔsɛ hɛn dɛ yɛda Nyankopɔn ase daa wɔ hom ntsi, enuanom a Ewuradze dɔ hom, osiandɛ Nyankopɔn fi ahyɛse yii hom kɔr nkwagye mu wɔ Sunsum ahosan nye nokwar gyedzi a", ""
"2TH.2.14", "ɔnam hɛn asɛmpa no do afrɛ hom aba mu, ma hom eenya Kraest Jesus enyimnyam no.", ""
"2TH.2.15", "Dɛm ntsi, enuanom, hom ngyina pintsinn na hom nsuo atsetsesɛm a yɛnam asɛm anaa nwoma do kyerɛkyerɛɛ hom no mu.", ""
"2TH.2.16", "Afei hɛn Ewuradze Jesus Kraest nankasa nye Egya Nyankopɔn a ɔdɔɔ hɛn na ɔmaa hɛn onnyiewiei awerɛkyekyer nye enyidado pa a ɔnam adom do no,", ""
"2TH.2.17", "ɔnka hom akoma nto mu na ontsintsim hom wɔ asɛm nye edwuma pa nyina mu.", ""
