"2TI.2.1", "Dɛm ntsi ɔwo, me ba, hyɛ dzen wɔ adom a ɔwɔ Kraest Jesus mu no mu.", ""
"2TI.2.2", "Na dza etsee no m’anomu wɔ adasefo pii enyim no, ɔnoara na fa hyɛ nyimpa anokwafo a wobotum akyerɛkyerɛ binom so nsa.", ""
"2TI.2.3", "Na ɔwo so sɔw akotorka no bi dɛ Kraest Jesus sordaanyi pa.", ""
"2TI.2.4", "Ɔsordaanyi a ɔwɔ som mu biara mmfa daa daa asetsena mu nsɛm mbrabra noho, ama ɔaasɔ nyia ɔfaa no yɛɛ sordaanyi no enyi.", ""
"2TI.2.5", "Na sɛ obi si akan wɔ agodzi bi mu a, wɔmmbɔ no konyim abɔtsir, gyedɛ odzi esi dɛ mbrɛ no ho mbra tse.", ""
"2TI.2.6", "Okuafo a ɔyɛ edwuma no, nna otwar dɛ odzi abakan no bi.", ""
"2TI.2.7", "Dwen dza mereka yi ho; na Ewuradze bɛma wo adze nyina mu ntseasee.", ""
"2TI.2.8", "Kaa Jesus Kraest a ɔasoɛr efi ewufo mu no, ofi David asefo mu, dɛ mbrɛ me nsɛmpa tse no,", ""
"2TI.2.9", "no mu na mosɔw akotorka dze besi mpokyerɛ mu, dɛ ɔdzebɔnyɛnyi; na Nyankopɔn asɛm dze, wɔnnkyer no.", ""
"2TI.2.10", "Dɛm ntsi na mosɔw yinom nyina wɔ hɔn a wɔasan mu eyi hɔn no ntsi, ma hɔn so woeenya nkwagye no a ɔwɔ Kraest mu no, nye enyimnyam a onnyi ewiei.", ""
"2TI.2.11", "Nokwasɛm nye yi: Sɛ yɛnye no wui a, yɛnye no bɛtsena ase so:", ""
"2TI.2.12", "sɛ yetsintsim a, yɛnye no bedzi hen; sɛ yɛpa no a, ɔno so bɛpa hɛn:", "#Mat 10.33; Luk 12.9"
"2TI.2.13", "sɛ hɛn, yɛnnyɛ anokwafo a, ɔno dze, ɔyɛ nokwafo; osiandɛ onntum mmpa noho ekyir.", ""
"2TI.2.14", "Iyinom ho na kaa hɔn, na kasa kyerɛ hɔn Nyankopɔn enyim, dɛ mma wɔnngye nsɛm mu ekyingyehun a mfaso biara nnyi ho a ɔsɛɛ etsiefo adwen.", ""
"2TI.2.15", "Bɔ mbɔdzen yi woho kyerɛ dɛ nyia Nyankopɔn apen no, odwumayɛnyi a onnyi dɛ ɔfɛr, na ɔpeepee nokwasɛm no mu yie.", ""
"2TI.2.16", "Na nsɛnhun dze, yi woho fi ho: na wɔbɔkɔ enyim ara wɔ mbusubɔ mu,", ""
"2TI.2.17", "na hɔn kasaa bɛtserɛw dɛ kuprɔwee: hɔn mu bi nye Himeneus nye Filetus;", ""
"2TI.2.18", "nkorɔfo a wɔayew efi nokwar no ho ka dɛ wusoɛr no etwa mu dada, na woebutuw binom hɔn gyedzi.", ""
"2TI.2.19", "Naaso Nyankopɔn fapem tsim hɔ pintsinn kitsa nsɔwano yi, Ewuradze nyim hɔn a wɔyɛ nedze: na ma obiara a ɔbɔ Ewuradze dzin ntwe noho mfi dza ɔnntsen ho.", "#Nka 16.5"
"2TI.2.20", "Na ofi kɛse mu nnyi sika nye dwetɛ ndzɛmba nko, na ndua nye dɛtse so; na wobu bi bi, bi so wommbu no.", ""
"2TI.2.21", "Na sɛ obi tsew noho fi iyinom ho a, ɔbɛyɛ adze a wobu no bi, wɔatsew ho, owura dze yɛ biribi a ɔyɛ yie, na woesiesie dze ama edwuma pa biara.", ""
"2TI.2.22", "Guan fi mbabunber mu akɔndɔ ho, na nye hɔn a wofi akoma a no mu tsew mu frɛ Ewuradze ndzi tsenenee, gyedzi, ɔdɔ, nye asomdwee ekyir.", ""
"2TI.2.23", "Na mbatam hɔn nkwasea ekyingye dze, pow, osiandɛ inyim dɛ ɔdze ntokwaa ba.", ""
"2TI.2.24", "Na ɔnnsɛ Ewuradze akowaa dɛ ɔyɛ ntokwapɛfo, na mbom ɔsɛ no dɛ ɔdwe ma nyimpa nyina, ohu nkyerɛkyerɛ, ɔto no bo ase,", ""
"2TI.2.25", "ɔkyerɛkyerɛ hɔn a wɔnye hɔnho dzi esi wɔ ɔdwe mu; dɛ bi a Nyankopɔn bɛma hɔn nnuho akɔ nokwar no ho nyimdzee mu,", ""
"2TI.2.26", "na hɔn enyi do aatsew hɔn efi abɔnsam a ɔafa hɔn ndɔmmum no efir mu ama Nyankopɔn apɛdze.", ""
