"2TI.4.1", "Afei mehyɛ wo wɔ Nyankopɔn nye Jesus Kraest a obobua atseasefo nye ewufo atsɛn, wɔ ne mbae nye n’ahendzi no mu no enyim dɛ,", ""
"2TI.4.2", "ka asɛm no, kɔ do ka no mber pa na mber bɔn mu; yi atsɛn, ka enyim, tu fo, wɔ abotar kɛse nye nkyerɛkyerɛ nyina mu.", ""
"2TI.4.3", "Na ber bɛba a worinntsie nkyerɛkyerɛ pa, na mbom wobedzi hɔn akɔndɔ ekyir aprapra akyerɛkyerɛfo aboa ano ma wɔakyerɛkyerɛ dza hɔnara wɔpɛ dɛ wɔtse;", ""
"2TI.4.4", "na wɔbɛdan hɔn aso efi nokwar no ho, na wɔaman akɔ anansesɛm ho.", ""
"2TI.4.5", "Na ɔwo dze, gyen w’enyi wɔ adze nyina mu, sɔw akotorka, yɛ asɛmpakafo edwuma no, wie wo som koraa.", ""
"2TI.4.6", "Na emi dze, woruhue me egu dada, na mo kɔber edu.", ""
"2TI.4.7", "Mako ɔko pa no, mewie mbirika no tu, mesuo gyedzi no mu esie,", ""
"2TI.4.8", "afei dza ɔda hɔ ma me nye tsenenee ahenkyɛw a Ewuradze tsɛmbuafo tsenenee no dze bɛma me da no, na nnyɛ mo nko, na hɔn a wɔdɔ ne mbae no nyina so.", ""
"2TI.4.9", "Bɔ mbɔdzen bra me nkyɛn ntsɛm:", ""
"2TI.4.10", "na Demas adɔ sesei wiadze yi egya me hɔ esi mu kɔ Tesalonika; Kresɛns kɔ Galatia, Titus kɔ Dalmatia.", "#Kol 4.14; Fael 24; 2 Kor 8.23; Gal 2.3; Tit 1.4"
"2TI.4.11", "Luke nko na ɔnye me wɔ ha. Fa Mark ka woho bra: na oye ma me wɔ ɔsom mu.", "#Kol 4.14; Fael 24; Ndwu 12.12, 25; 13.13; 15.37-39; Kol 4.10; Fael 24"
"2TI.4.12", "Tikikus dze, masoma no Efeso.", ""
"2TI.4.13", "Sɛ ereba a, fa m’egudotar a medanee gyaa Troas wɔ Karpus nkyɛn no bra, nye mbuukuu no, nkanka nwoma a wɔkyerɛw do no.", ""
"2TI.4.14", "Alɛksanda kɔɔberdwimfo no yɛɛ me bɔn pii: Ewuradze botua no kaw dɛ mbrɛ no ndwuma tse:", ""
"2TI.4.15", "ɔno na wo so hwɛ yie wɔ no ho, na osiiw hɛn asɛm kwan pii.", ""
"2TI.4.16", "M’anoyi a odzi kan no mu no, obiara enndzi m’afa, na hɔn nyina daan me gyae: meserɛ dɛ mma wommbu nngu hɔn do.", ""
"2TI.4.17", "Naaso Ewuradze gyinaa m’ekyir, na ɔhyɛɛ me dzen, na wɔnam mo do eewie asɛnka no, na amanamamfo nyina aatse: na wɔgyee me fii gyata anomu.", ""
"2TI.4.18", "Ewuradze bɛgye me efi ndwuma bɔn nyina mu, na ɔaagye me akɔ no sor ahendzi no mu: ɔno na enyimnyam nka no mbersantsen mfesantsen. Amen.", ""
"2TI.4.19", "Kyia Priska nye Akwila, nye Onesiforɔs fiefo.", "#Ndwu 18.2; 2 Tim 1.16, 17"
"2TI.4.20", "Erastus tsenaa Korinte: na Trofimus yar ma madan no egya Miletus.", ""
"2TI.4.21", "Bɔ mbɔdzen bra ansaana awɔwber edu, Eubulus nye Pudens, nye Linus, nye Klaudia, nye enuanom no nyina kyia wo.", ""
"2TI.4.22", "Ewuradze nye wo sunsum ntsena. Adom nka wo.", ""
