"3JN.1.1", "Emi, Ɔpanyin no dze kɛma ɔdɔfo Gaius a modɔ no nokwar mu.", "#Ndwu 19.29; Rom 16.23; 1 Kor 1.14"
"3JN.1.2", "Ɔdɔfo, mobɔ mpaa dɛ, adze nyina mu onsi wo yie, na nya apɔwmudzen, dɛ mbrɛ esi wo kra yie no.", ""
"3JN.1.3", "Na enuanom no bae bedzii dase wɔ wo nokwardzi ho, wɔ mbrɛ esi nam nokwar no mu no, na midzii dɛw dɛ.", ""
"3JN.1.4", "Minnyi dɛw biara a ɔkyɛn iyi, dɛ mebɛtse dɛ me mba nam nokwar no mu.", ""
"3JN.1.5", "Ɔdɔfo, dza eyɛ ma enuanom nye ahɔho no, yɛ no nokwar mu;", ""
"3JN.1.6", "hɔn na woedzi wo dɔ ho dase wɔ asɔr no enyim, na sɛ igya hɔn kwan dɛ mbrɛ ɔsɛ wɔ Nyankopɔn enyim a, nna ayɛ dza odzi mu:", ""
"3JN.1.7", "osiandɛ, Kraest ntsi na wɔhyɛɛ hɔn akwantu ase a wɔanngye Amanamamfo no hɔ biribi.", ""
"3JN.1.8", "Dɛm ntsi na ɔsɛ hɛn dɛ yɛgye dɛm nkorɔfo no, na yaayɛ nyɛnko edwumayɛfo ama nokwar no.", ""
"3JN.1.9", "Makyerɛw akɛma asɔr no, naaso Diotrefɛs a ɔpɛ dɛ ɔyɛ noho kandzifo no anngye hɛn annto mu.", ""
"3JN.1.10", "Iyi ntsi sɛ meba a, mebɛkaa ne ndzeyɛe a ɔyɛ, ɔbɔ hɛn sombo a ɔnnyɛ nokwar. Iyi so mpo nndɔɔ so mma no, ɔnoara so nngye enuanom no so, na ɔsan so siw hɔn a wɔpɛ dɛ wɔyɛ dɛm no kwan, na oyi hɔn edzi fi asɔr no mu.", ""
"3JN.1.11", "Ɔdɔfo, mma nndzi bɔn ekyir, na mbom dzi papa ekyir. Nyia ɔyɛ papa no na ofi Nyankopɔn mu, nyia ɔyɛ bɔn dze, onnhun Nyankopɔn.", ""
"3JN.1.12", "Na Demitrius dze, hɔn nyinara dzi no ho dase wɔ nokwar mu, na hɛn so yedzi no ho dase; osiandɛ inyim dɛ hɛn dasee yɛ nokwar.", ""
"3JN.1.13", "Mowɔ ndzɛmba pii a nkyɛ mebɛkyerɛw wo, naaso memmpɛ dɛ medze dubir nye kyerɛwdua mekyerɛw brɛ wo:", ""
"3JN.1.14", "na m'enyi da dɛ mubohu wo ntsɛm, na yaakasa enyim na enyim.", ""
"3JN.1.15", "Asomdwee nka wo. Anyɛnkofo no kyiakyia wo. Bobɔ anyɛnkofo no edzin nkorkor kyiakyia hɔn.", ""
