"ACT.1.1", "Teofilus, medzi kan akyerɛw nsɛm a ɔfa ndzɛmba nyina a Jesus hyɛɛ ase yɛe na ɔkyerɛkyerɛe no ho;", "#Luk 1.1-4"
"ACT.1.2", "dze kodur da a ɔdze n’ahyɛdze maa n’esuafo a ɔpaa hɔn no wiei no, na wɔnam Sunsum Krɔnkrɔn do wɔfaa no kɔr sor no.", ""
"ACT.1.3", "Hɔn so na n’amandzehu ekyir no, oyii noho kyerɛɛ hɔn adaduanan mu mpɛn pii dɛ ɔda ho tse ase dze yɛɛ dasehyɛ, na ɔkyerɛɛ hɔn Nyankopɔn n’ahendzi no ho nsɛm mu.", ""
"ACT.1.4", "Na ɔnye hɔn dzii ehyia no, ɔhyɛɛ hɔn dɛ mma wommfi Jerusalɛm nnkɔ, na mbom wɔntweɔn Egya no n’anohoba no a hom tsee ho asɛm wɔ m’anomu no:", "#Luk 24.49"
"ACT.1.5", "dɛ John dze, ɔdze nsu numae, na hom dze, orinndzi nda dodow biara wɔdze Sunsum Krɔnkrɔn bonuma hom.", "#Mat 3.11; Mar 1.8; Luk 3.16; Joh 1.33"
"ACT.1.6", "Na Jesus nye hɔn hyiae no, wobisaa no dɛ, Ewuradze, ana ber yi mu ebɛsan dze ahendzi no ama Israel?", ""
"ACT.1.7", "Na ɔsee hɔn dɛ, Ɔnnyɛ homdze dɛ hom bohu mber anaa mber nkyekyɛmu a Egya no ahyɛ ato hɔ wɔ nankasa no tum mu no.", ""
"ACT.1.8", "Na mbom Sunsum Krɔnkrɔn no nya ba hom do a, hom benya ahoɔdzen; na hom bɛyɛ m’adasefo wɔ Jerusalɛm, nye Judea nyina, nye Samaria, dze ekodu asaase ano noho.", "#Mat 28.19; Mar 16.15; Luk 24.47, 48"
"ACT.1.9", "Na owiee yinom ka, na wɔrohwɛ no no, wɔmaa no do kɔr sor, na mununkum gyee no fii hɔn enyiwa do.", "#Mar 16.19; Luk 24.50, 51"
"ACT.1.10", "Na ɔrokɔ na wɔrohwɛ sor hann no, hwɛ, mbarimba beenu bi hyɛ ntar fufuw begyinaa hɔn nkyɛn,", ""
"ACT.1.11", "na wɔkaa dɛ, Galilii mbarimba, Ɔyɛ dɛn na hom gyina hɔ rohwɛ sor yi? Jesus yi ara a wɔafa no efi hom nkyɛn kɔ sor yi, ɔbɛba dɛmara dɛ mbrɛ hom ehu dɛ ɔrokɔ sor yi.", ""
"ACT.1.12", "Nna wofii koko a wɔfrɛ no Ngo Bepɔw a ɔbɛn Jerusalɛm bɛyɛ da kor kwansin no do sanee baa Jerusalɛm.", ""
"ACT.1.13", "Na wodur kurow no mu no, wɔkɔr abansor hɔ beebi a wɔtse no: Peter nye John nye James nye Andrew, Filip nye Tomas, Bartholomew nye Matthew, Alfaeus ba James, Simon Zealot no nye James ne ba Judas ka ho.", "#Mat 10.2-4; Mar 3.16-19; Luk 6.14-16"
"ACT.1.14", "Yinom nyina dze anokor suoo ntotɔserɛ mpaabɔ mu, wɔnye mbaa bi, nye Jesus ne na Mary, nye no nuanom.", ""
"ACT.1.15", "Dɛm aber no mu na Peter soɛree gyinaa enuanom bɛyɛ nyimpa ɔha eduonu no finimfin, na ɔsee dɛ,", ""
"ACT.1.16", "Enuanom, otwar dɛ kyerɛwsɛm a Sunsum Krɔnkrɔn no nam David n’anomu asɛm do dzii kan kae wɔ Judas a ɔyɛɛ kwankyerɛfo ma hɔn a wɔkyeer Jesus no ho no, ba mu.", ""
"ACT.1.17", "Wɔkaan no kaa hɛn ho, na wɔmaa no ne kyɛfa wɔ ɔsom yi mu.", ""
"ACT.1.18", "(Oyi na ɔdze n’emumuyɛ ho akatua nyaa asaase, na ɔwɔɔ akɔmfo, na no mu paae, ma n’ayamudze nyina tui gui;", "#Mat 27.3-8"
"ACT.1.19", "na hɔn a wɔtse Jerusalɛm nyina tsee, ma dɛm ntsi asaase no wɔfrɛ no hɔnankasa hɔn kasaa mu dɛ, Akeldama: ɔnye dɛ, Bɔgya Asaase no.)", ""
"ACT.1.20", "Na wɔakyerɛw no wɔ Ndwom nwoma no mu dɛ, Wɔmma ne tsenabea nyɛ amamfo, Na mma obiara nntsena mu: na, No nhwɛdodwuma no so obi mfa.", "#Dwom 69.25; Dwom 109.8"
"ACT.1.21", "Dɛm ntsi mbarimba a wɔnye hɛn nantsewee wɔ ber a nna Ewuradze Jesus nye hɛn kɔ ba no nyina,", "#Mat 3.16; Mar 1.9; Luk 3.21; Mar 16.19; Luk 24.51"
"ACT.1.22", "ofitsi John enuma do dze besi da a wɔfaa no hɛn nkyɛn kɔr sor no, otwar dɛ hɔn mu baako nye hɛn yɛ no wunyan no ho adasefo.", ""
"ACT.1.23", "Na woyii beenu sii hɔ, Josef a wɔfrɛ no Barsabas a wɔtoo no Justus, nye Mattias.", ""
"ACT.1.24", "Na wɔsɔree see dɛ, Ɔwo Ewuradze a inyim nyimpa akoma mu, kyerɛ beenu yi mu baako a eyi no", ""
"ACT.1.25", "dɛ ɔmfa ɔsom nye asomafodwuma a Judas hwee ase fii ho, ma ɔaakɔ nankasa ne tsenabea mu no, ne fa bi nsom.", ""
"ACT.1.26", "Na wɔtwee hɔnho tonto, na tonto no bɔɔ Mattias; na wɔkaan no foraa asomafo dubiako no.", ""
