"ACT.2.1", "Ber a Pentekost da no durii no, nna hɔn nyina ehyia fakor.", "#Lev 23.15-21; Deut 16.9-11"
"ACT.2.2", "Na awerɛfir mu ara na dede a ɔtse dɛ mframa a n'ano yɛ dzen a ɔrobɔ fi sor bae, na ɔbɛhyɛɛ dan no a wɔtse mu no nyina ma.", ""
"ACT.2.3", "Na ntɛkyerɛma a wɔapaapaa mu a ɔtse dɛ gya yiyii hɔnho kyerɛɛ hɔn, na wobesisii hɔn etsifi nkorkor.", ""
"ACT.2.4", "Na Sunsum Krɔnkrɔn bɛhyɛɛ hɔn nyina amaama, na wɔhyɛɛ ase kasaa kasa fofor dɛ mbrɛ Sunsum no dze maa hɔn dɛ wɔnka.", ""
"ACT.2.5", "Nna Jewfo bi, nyimpa nyamesurofo a wofi amanaman a wɔwɔ wiadze nyinara tse Jerusalɛm.", ""
"ACT.2.6", "Na wɔtsee dza ɔrokɔ do no, nyimpadodow bae behyiae, na hɔnho boow hɔn kɛsenara dɛ obiara tse dɛ wɔreka no kurow mu kasa.", ""
"ACT.2.7", "Na ɔyɛɛ hɔn nyina ahobow, nye nwanwa, na wɔsesee dɛ, Ana hɔn a wɔrekasa yi nyina nnyɛ Galiliifo bi a?", ""
"ACT.2.8", "Na ɔyɛ dɛn na hɛn nyina yɛretse hɛnankasa hɛn kasaa a wɔwoo hɛn wɔ mu yi?", ""
"ACT.2.9", "Partiafo nye Mediafo nye Elamfo, nye hɔn a wɔtse Mesopotemia nye Judea nye Kapadosia, Pontus nye Asia,", ""
"ACT.2.10", "Frigyia nye Pamfilia, Egypt nye Libiya fa a ɔfa Sirene, nye ahɔho a wofi Rome, Jewfo nye hɔn a wɔadan Jewfo.", ""
"ACT.2.11", "Kreetefo nye Arabiafo, yɛtse dɛ wɔdze hɛn kasaa reka Nyankopɔn n'etumdze.", ""
"ACT.2.12", "Na ɔyɛɛ hɔn nyina ahobow, na hɔn tsirmu yɛɛ hɔn konsee, na wɔsesee hɔnho nkorkor dɛ, Iyi ase nye dɛn?", ""
"ACT.2.13", "Na binom sii atwetwe see dɛ, Nsa fofor abow hɔn.", ""
"ACT.2.14", "Na Peter nye dubiako no soɛree gyinae, na ɔmaa ne ndze do see hɔn dɛ, Judea mbarimba, nye hom a hom tse Jerusalɛm nyina, hom nhyɛ iyi nsew, na hom ntsie m'asɛm a mereka yi wɔ aso pa mu.", ""
"ACT.2.15", "Woyinom mmbobowee, dɛ mbrɛ hom susu yi, osiandɛ adzekyee mu anapa ndɔnkron nye yi;", ""
