"ACT.3.1", "Da kor bi, Peter nye John siaan anan kɔr asɔrfi no mu ewiaber ndɔnebiasa mpaabɔ ber no mu.", ""
"ACT.3.2", "Nna barimba bi wɔ hɔ a wɔwoo no obubuafo a daa wɔdze no bɔto asɔrfi abotsen a wɔfrɛ no Fɛɛfɛw no ano, ama ɔaaserɛ hɔn a wɔrokɔ asɔrfi no mu no adze.", ""
"ACT.3.3", "Ɔno na ohun Peter nye John dɛ wɔrekɛhɛn asɔrfi no mu no, obisaa hɔn hɔ akyɛdze.", ""
"ACT.3.4", "Na Peter dze n'enyiwa tsiim no do, na John so dɛmara, na ɔsee dɛ, Hwɛ hɛn.", ""
"ACT.3.5", "Na ɔhwɛɛ hɔn komm, nna osusu dɛ oribenya biribi efi hɔn hɔ.", ""
"ACT.3.6", "Na Peter see no dɛ, Sika nye dwetɛ dze, minnyi bi, na dza mowɔ na medze rema wo yi. Nazarɛtnyi Jesus Kraest ne dzin mu, nantsew.", ""
"ACT.3.7", "Na osuoo ne nsa nyimfa mu maa no do, na amonmu hɔ ara n'anansa nye n'anamɔn mu yɛɛ dzen.", ""
"ACT.3.8", "Na ohuruwii gyinae, na ɔnantsewee; na ɔnye hɔn kɔr asɔrfi no mu, na ɔnam no nna oruhuruhuruw, na oriyi Nyankopɔn ayɛw.", ""
"ACT.3.9", "Na nkorɔfo nyina hun no dɛ ɔnam na oriyi Nyankopɔn ayɛw.", ""
"ACT.3.10", "Na wohunii so dɛ ɔnoara nye nyia adzeserɛ ntsi ɔtsena Abow a wɔfrɛ no Fɛɛfɛw no ano no; na adze a ayɛ no no ntsi nwanwa nye ahobow hyɛɛ hɔn ma.", ""
"ACT.3.11", "Ber a nna ɔtetar Peter na John ho no, nkorɔfo nyina tutuu mbirika behyiaa hɔn nkyɛn wɔ abrandaa a wɔfrɛ no Solomon dze no no do, a hɔnho abow hɔn kɛse.", ""
"ACT.3.12", "Na Peter hunii no, obuaa nkorɔfo no dɛ, Israel mbarimba, Ɔyɛ dɛn na iyi yɛ hom nwanwa, anaadɛ ɔyɛ dɛn na hom hwɛ hɛn hann, dɛ gyama hɛnankasa hɛn tum anaa hɛn sompa na yɛdze maa ɔnantsewee yi?", ""
"ACT.3.13", "Abraham nye Isaak nye Jakob hɔn Nyankopɔn, hɛn egyanom Nyankopɔn, na ɔahyɛ n'Akowaa  Jesus enyimnyam; ɔno a hom yii no mae, na hom poow no wɔ Pilate a obuu atsɛn dɛ nkyɛ obegyaa no no enyim no.", "#Eks 3.15 #3.13 N'AKOWAA: Anaadɛ: n'abofra."
"ACT.3.14", "Na hom poow Krɔnkrɔnnyi nye Tseneneenyi no, na hom serɛɛ dɛ wɔmfa owudzifo nkyɛ hom,", "#Mat 27.15-23; Mar 15.6-14; Luk 23.13-23; Joh 19.12-15"
"ACT.3.15", "na nkwa Hen no dze, hom kum no; ɔno na Nyankopɔn nyaan no fii ewufo mu: ɔno ho adasefo nye hɛn.", ""
"ACT.3.16", "Na ɔnam ne dzin mu gyedzi do na ne dzin do na ama oyi a hom hu no na hom nyim no yi atse apɔw: nyew, gyedzi a ɔnam no do na ɔama no ahosan koraa dɛm wɔ hom nyina enyim yi.", ""
"ACT.3.17", "Na afei, enuanom, minyim dɛ hom nnyim ntsi na hom yɛe, dɛ mbrɛ hom etsitsir so yɛe.", ""
"ACT.3.18", "Na dza Nyankopɔn nam no nkɔnhyɛfo nyina anomu kae too hɔ dɛ otwar dɛ ne Kraest no bohu amandze no, aba mu.", ""
"ACT.3.19", "Dɛm ntsi hom nnu homho, na hom ndan mbra Nyankopɔn hɔ, ama wɔaapepa hom bɔn efi hom ho,", ""
"ACT.3.20", "ama dɛm no Ewuradze aama hom ahotɔ mber, na ɔaasoma Kraest a woeyi no esi hɔ ama hom dada no, mekyerɛ Jesus a;", ""
"ACT.3.21", "ɔno na ɔsɛ dɛ ɔsor gye no sie, dze kodu ndzɛmba nyina ahyɛnanmu ber a Nyankopɔn nam no nkɔnhyɛfo krɔnkrɔn a wɔwɔ hɔ fi tsetse no hɔn anomu kae no.", ""
"ACT.3.22", "Na Moses kaa dɛ, Nkɔnhyɛnyi bi na Ewuradze Nyankopɔn bɛma no do ama hom wɔ hom enuanom mu, dɛ mbrɛ ɔmaa emi so do no: ɔno na hom ntsie no wɔ dza ɔbɛka akyerɛ hom nyina mu.", "#Deut 18.15, 18"
"ACT.3.23", "Na ɔbɛba dɛ ɔkra biara a onnketsie nkɔnhyɛnyi no, wɔbɛsɛɛ no efi ɔman no mu.", ""
"ACT.3.24", "Ɛhɛɛ, nkɔnhyɛfo nyina a wofi Samuel do nye hɔn a wodzi do no dodow a wɔkasae no, hɔn so kaa nda yi ho asɛm.", ""
"ACT.3.25", "Hom nye nkɔnhyɛfo no nye ahyɛmu a Nyankopɔn nye hom egyanom dzii no mba, osiandɛ ɔsee Abraham dɛ, W'asefo mu na wobehyira asaase do ebusua biara.", "#Gye 22.18"
"ACT.3.26", "Hom na Nyankopɔn nyaan n'akowaa no, odzii kan somaa no hom nkyɛn dɛ ombehyira hom, dɛ ɔmbɛdan hom nyina mfi hom emumuyɛ mu.", ""
