"ACT.4.1", "Na wɔrekasa kyerɛ nkorɔfo no, asɔfo nye asɔrfi safohen, nye Sadusiifo no baa hɔn do,", ""
"ACT.4.2", "na ɔyɛɛ hɔn ehi dɛ wɔnam Jesus do reka ewufo mu soɛr ho asɛm.", ""
"ACT.4.3", "Na wɔdze nsa suoo hɔn mu dze hɔn kesiee dɛ adze nkye: osiandɛ nna edu anafua.", ""
"ACT.4.4", "Na hɔn a wɔtsee asɛm no dodowara gyee dzii; na nyimpa no dodow bɛyɛɛ mpemenum.", ""
"ACT.4.5", "Na ɔbaa dɛ adze kyee no, hɔn etsitsir nye mpanyimfo nye kyerɛwfo no behyiae wɔ Jerusalɛm,", ""
"ACT.4.6", "wɔnye ɔsɔfopanyin Annas, nye Kaiafas, nye John, nye Alɛksandar, nye dodowara a wofi sɔfopanyin ebusua mu.", ""
"ACT.4.7", "Na wɔdze hɔn begyinaa finimfin bisaa hɔn dɛ, Ebɛn tum anaadɛ ebɛn dzin mu na hom yɛɛ yi?", ""
"ACT.4.8", "Nna Peter a Sunsum Krɔnkrɔn ahyɛ no ma no see hɔn dɛ, Ɔman mu etsitsir, nye mpanyimfo,", ""
"ACT.4.9", "sɛ dza wɔrepɛnsa hɛn mu ndɛ wɔ yie a wɔayɛ ama ɔyarfo yi ho, nye dɛ, Ɔnam ebɛnadze do na wɔagye no nkwa a;", ""
"ACT.4.10", "hom nyina nye Israelman nyina nhu dɛ Nazarɛtnyi Jesus Kraest a hom bɔɔ no mbeamudua mu na Nyankopɔn nyaan no fii ewufo mu no, ne dzin mu a; ɔno no mu na oyi no ho asan gyina hom enyim ha yi.", ""
"ACT.4.11", "Ɔno nye ɔbo a hom adantofo emmbu no bi, na wɔayɛ no kutuwdo bo.", "#Dwom 118.22"
"ACT.4.12", "Na nkwagye nnyi obiara so mu: eso dzin fofor biara nnyi wi yi ase a wɔdze ama wɔ nyimpa mu a otwar dɛ wɔgye hɛn nkwa wɔ mu.", ""
"ACT.4.13", "Na wohun Peter nye John hɔn ndam no, na wɔtsee ase dɛ wɔyɛ nyimpa a wonnsuaa nwoma na wɔyɛ ntsetsekwaa no, ɔyɛɛ hɔn nwanwa; na wohun dɛ wɔnye Jesus anantsew pɛn.", ""
"ACT.4.14", "Na wɔhwɛɛ nyimpa a wɔasa no yarba no a ɔnye hɔn gyina hɔ no, woenntum annka hwee enntsia hɔn.", ""
"ACT.4.15", "Dɛm ntsi wɔhyɛɛ hɔn dɛ womfi bagua mu hɔ nkɔ nkyɛn, na wotuu hɔn mu egyina,", ""
"ACT.4.16", "dɛ, Yɛnyɛ nyimpa yi dɛn? Wɔnam hɔn do ayɛ asɛnkyerɛdze a ɔyɛ nwanwa, a ada edzi ama hɔn a wɔtse Jerusalɛm nyina, na yerunntum nnsan.", ""
"ACT.4.17", "Na mbrɛ ɔbɛyɛ ma ɔnnkɛda ho atahye ɔman mu no, hom mma yempuw hɔn dɛ mma wɔnnka dzin yi ho asɛm nnkyerɛ nyimpa biara bio.", ""
