"ACT.5.1", "Na ɔbarimba bi a ne dzin dze Ananias nye ne yer Safira kɔtɔɔn asaase bi,", ""
"ACT.5.2", "na ɔdze ne tsisika bi siei, nna ne yer so nyim ho bi, na ɔdze fa bi bae bɔtoo asomafo no ananadze.", ""
"ACT.5.3", "Na Peter see dɛ, Ananias, ɔyɛ dɛn na Satan ahyɛ w'akoma ma dɛ ibedzi ator akyerɛ Sunsum Krɔnkrɔn no, na edze asaase no ne tsisika no bi esuma?", ""
"ACT.5.4", "Ana ɔwɔ hɔ no, nnyɛ wankasa wodze bi a? Na wɔtɔnee no, onnyi wankasa wo nsamu bi? Ɔyɛ dɛn na adwen adze yi wɔ w'akoma mu? Nnyɛ nyimpa na edzi ator akyerɛ hɔn, na Nyankopɔn a.", ""
"ACT.5.5", "Na Ananias tsee nsɛm yi no, otwae hwee famu wui, na hu kɛse kaa hɔn a wɔtsee yinom nyina.", ""
"ACT.5.6", "Na mberantsɛ no soɛree kyekyeer no ho, na wɔdze no kɔree kesiee no.", ""
"ACT.5.7", "Na n'ekyir bɛyɛ ndɔnhwer ebiasa, na ne yer a onnyim dza esi no so bae.", ""
"ACT.5.8", "Na Peter see no dɛ, Ka kyerɛ me, ana hom tɔɔn asaase no gyee dɛmara? Na ɔsee dɛ, Nyew, dɛmara.", ""
"ACT.5.9", "Na Peter see no dɛ, Ɔyɛ dɛn na hom ayɛ kor dɛ hom robɔsɔ Ewuradze Sunsum no ahwɛ yi? Hwɛ, hɔn a wokesiee wo kun no anan wɔ abowano, na wɔbɔsoa wo so akɔ dɛmara.", ""
"ACT.5.10", "Na ɔhwee n'ananadze amonmu hɔ ara wui; na mberantsɛ no bae bohun dɛ oewu no, wɔsoaa no kɔree kesiee no no kun nkyɛn.", ""
"ACT.5.11", "Na hu kɛse baa asɔr mu no nyina, nye dodow a wɔtsee yinom nyina do.", ""
"ACT.5.12", "Na wɔnam asomafo no nsa do na wɔyɛɛ nsɛnkyerɛdze nye anwanwadze pii wɔ ɔman no mu, na hɔn nyina yɛɛ adwenkor wɔ Solomon abrandaa mu.", ""
"ACT.5.13", "Na nkaa no mu obiara ennsi no bo dɛ ɔdze noho bɔ hɔn ho, na ɔman no dze, wɔkamfoo hɔn.", ""
"ACT.5.14", "Na dodow bɛkaa hɔn ho a wɔgyee Ewuradze dzii, mbarimba nye mbaa pii,", ""
"ACT.5.15", "ma wɔsoaa ayarfo fiir edzi baa abrɔn mu so bɔtotoo mpikyi nye nkɛtɛ do, ama Peter resen a no sunsuma aakata hɔn mu bi do.", ""
"ACT.5.16", "Na nkurow a oetwa ho ehyia no mu nyimpadodow so dze ayarfo nye hɔn a esunsum fi rehyɛ hɔn amen baa Jerusalɛm, na wɔyɛɛ hɔn nyina edur.", ""
"ACT.5.17", "Na ɔsɔfopanyin nye hɔn a wɔka no ho a wofi Sadusiifo fɛkuw no soɛree, na nyinkun hyɛɛ hɔn ma,", ""
"ACT.5.18", "na wɔdze hɔn nsa suoo asomafo no mu, na wɔdze hɔn koguu kwasafo efiadze.", ""
"ACT.5.19", "Na Ewuradze bɔfoe bobuee efiadze no no mbobow no na ɔdze hɔn puei, na ɔsee dɛ,", ""
"ACT.5.20", "Hom nkɔ nkegyina asɔrfi no mu nkɛka dɛm Nkwa yi ne nsɛm nyina nkyerɛ ɔman no.", ""
"ACT.5.21", "Na wɔtsee no, wɔkɔr asɔrfi no mu anapaatu kɛkyerɛkyerɛe. Na ɔsɔfopanyin no nye hɔn a wɔka no ho no bae, na wɔbɛfrɛɛ baguafo nye Israelmba mpanyimfo nyina boaa ano, na wɔsomae kɔr efiadze hɔ dɛ wɔnkɛfa hɔn mbra.", ""
"ACT.5.22", "Na asomfo no kɔr hɔ na woennhu hɔn efiadze hɔ no, wɔsanee bɛkaa dɛ,", ""
"ACT.5.23", "Efiadze no dze, yekohun dɛ wɔatow mu yie pɛpɛɛpɛr, na ahwɛfo no gyina ekyir wɔ abowano, naaso yebuei no yeennhu obiara wɔ mu.", ""
