"ACT.7.1", "Na ɔsɔfopanyin no bisaa no dɛ, Ana asɛm yi tse dɛm a?", ""
"ACT.7.2", "Na Stefen see dɛ, Enuanom nye egyanom, hom ntsie: Enyimnyam Nyankopɔn yii noho kyerɛɛ hɛn egya Abraham, ber a ɔwɔ Mesopotemia no, ansaana ɔrebɛtsena Haran,", "#Gye 12.1"
"ACT.7.3", "na ɔsee no dɛ, Fi w’asaase do nye w’ebusuafo mu, na bra asaase a mebɛkyerɛ wo no do.", ""
"ACT.7.4", "Nna ofii Kaldeafo asaase no do bɛtsenaa Haran; na n’egya wu ekyir no, Nyankopɔn maa ofii hɔ bɛtsenaa asaase a hom tse do sesei yi do.", "#Gye 11.31; Gye 12.4"
"ACT.7.5", "Na ɔamma no egyapadze wɔ mu, nnyɛ anamɔn kor bi mpo; mbom ɔbɔɔ no anohoba dɛ ɔdze bɛma ɔno nye n’asefo a wodzi n’ekyir ma aayɛ hɔndze: naaso nna onnyae nnyaa ba.", "#Gye 12.7; 13.15; 15.18; 17.8"
"ACT.7.6", "Na mbrɛ Nyankopɔn kae nye dɛ n’asefo bɛyɛ ahɔho wɔ anana asaase do, na wɔdze hɔn ayɛ nkowaa, na wɔayɛ hɔn bɔn mfe ahaanan.", "#Gye 15.13, 14"
"ACT.7.7", "Na ɔman no a wɔbɔkɔ hɔn mu nkowaasom no, mubobu hɔn atsɛn, Nyankopɔn na ɔse: na n’ekyir no wobefi hɔ na wɔabɔsom me wɔ bea yi mu.", "#Eks 3.12"
"ACT.7.8", "Na ɔmaa no twatsia ahyɛmudzi no; na ɔdze dɛm woo Isaak, na ne ndaawɔtwe no otwaa no twatsia; na Isaak woo Jakob, na Jakob woo egyanom mpanyin duebien no.", "#Gye 17.10-14; Gye 21.2-4; Gye 25.26; Gye 29.31—35.18"
"ACT.7.9", "Na mpanyin duebien no dze enyitan tɔɔn Josef kɔr Egypt; na Nyankopɔn dzii n’ekyir,", "#Gye 37.11; Gye 37.28; Gye 39.2, 21"
"ACT.7.10", "na oyii no fiir n’amandzehu nyina mu, na ɔmaa no adom nye nyansa wɔ Farao, Egypthen no, enyim, na ɔyɛɛ no otsitsir wɔ Egypt nye ne fie nyina do.", "#Gye 41.39-41"
"ACT.7.11", "Na ɔkɔm sii Egypt nyina, nye Keenan, nye amandzehu kɛse, na hɛn egyanom ennya edziban.", "#Gye 42.1, 2"
"ACT.7.12", "Na Jakob tsee dɛ edziban wɔ Egypt no, ɔsomaa hɛn egyanom kan.", ""
"ACT.7.13", "Na dza otsia ebien no, Josef yii noho kyerɛɛ no nuanom no, na Farao so bohun Josef n’ebusua no.", "#Gye 45.1; Gye 45.16"
"ACT.7.14", "Na Josef somae ma wɔkɛfaa n’egya Jakob nye n’ebusuafo nyina a wɔyɛ nyimpa eduosuon enum no baa ne nkyɛn.", "#Gye 45.9, 10, 17, 18; Gye 46.27"
"ACT.7.15", "Na Jakob kɔr Egypt; na ɔno nye hɛn egyanom wuwui;", "#Gye 46.1-7; Gye 49.33"
"ACT.7.16", "na wɔdze hɔn kɔr Sekem, na wɔdze hɔn kɔtotoo nda a Abraham dze dwɛɛtɛɛ tɔɔ no wɔ Sekem Hamor mba no hɔ no mu.", "#Gye 23.3-16; 33.19; 50.7-13; Jos 24.32"
