"ACT.11.1", "Na asomafo nye enuanom a wɔwɔ Judea no tsee dɛ amanamamfo so agye Nyankopɔn asɛm no.", ""
"ACT.11.2", "Na Peter baa Jerusalɛm no, hɔn a wofi etwatsiafo mu no nye no akasakasa dɛ,", ""
"ACT.11.3", "Ɔwo akɔ mbarimba a wɔnnyɛ etwatsiafo mu, na nye hɔn ekedzidzi.", ""
"ACT.11.4", "Na Peter hyɛɛ asɛm no ase kaa no esiado kyerɛɛ hɔn dɛ,", ""
"ACT.11.5", "Mowɔ Jopa kurow mu rosɔr, na m'enyiwa wiaa me ma mokɔr tsebea fofor mu na muhun m'enyido adze, adze bi a orisian a ɔtse dɛ abradaa kɛse a wɔakyekyer no etwaanan rigyaa mu fi sor, na ɔbaa me nkyɛn;", ""
"ACT.11.6", "na megyeen m'enyi hwɛɛ mu no, muhun asaase mbowa a wotsia ntwɛrnan nye hambowa nye hɔn a wɔweawea nye wimu ntumbowa nyina wɔ mu.", ""
"ACT.11.7", "Na metsee ndze bi a ɔsee me dɛ, Peter, soɛr: ku na dzi.", ""
"ACT.11.8", "Na mesee dɛ, Dabida, Ewuradze: osiandɛ biribiara a ɔyɛ ekyiwadze anaadɛ no ho nntsew nnkɔr m'anomu da.", ""
"ACT.11.9", "Na ndze no fi sor buaa ne mprɛnu dɛ, Dza Nyankopɔn asan ho no, mma mmfrɛ no ekyiwadze.", ""
"ACT.11.10", "Na wɔyɛɛ iyi mprɛnsa, na afei wɔtwetwee ne nyina kɔr sor bio.", ""
"ACT.11.11", "Na hwɛ, amonmu hɔ ara na mbarimba baasa baa ofi a yɛwɔ mu no ano a wɔsomaa hɔn fii Kaesarea baa me nkyɛn.", ""
"ACT.11.12", "Na Sunsum no see me dɛ menye hɔn nkɔ, na mma mennyɛ nyiyimu. Na enuanom beesia yi kegyaa me, na yɛkɛhɛɛn ɔbarimba no ne fie;", ""
"ACT.11.13", "na ɔkaa mbrɛ ohun ɔbɔfo no wɔ ne fie, dɛ ogyina hɔ rese no dɛ, Soma nyimpa kɔ Jopa kehyia Simon a wɔfrɛ no Peter so kyerɛɛ hɛn:", ""
"ACT.11.14", "ɔno na ɔbɛka wo nsɛm a ɔwo nye wo fiemba nyina nam do benya nkwa.", ""
"ACT.11.15", "Na mehyɛɛ ase rekasa no, Sunsum Krɔnkrɔn no boguu hɔn do dɛ mbrɛ ahyɛse no oguu hɛn so do no.", ""
"ACT.11.16", "Na mekaa Ewuradze asɛm a ɔkaa dɛ, John dze, ɔdze nsu numae; na hom dze, wɔdze Sunsum Krɔnkrɔn bonuma hom.", "#Ndwu 1.5"
"ACT.11.17", "Dɛm ntsi, sɛ Nyankopɔn akyɛ hɔn akyɛdze kor no ara dɛ hɛn so a yɛgyee Ewuradze Jesus Kraest dzii no a, emi nye woana na mubotum esiw Nyankopɔn kwan?", ""
"ACT.11.18", "Na wɔtsee yinom no, wɔyɛɛ komm, na wɔhyɛɛ Nyankopɔn enyimnyam see dɛ, Nna kyerɛ dɛ Nyankopɔn ama amanamamba so nnuho a ɔdze kɔ nkwa mu.", ""
"ACT.11.19", "Na hɔn a ahohia a ɔbaa Stefen do no ntsi wɔpetsee no, wokyinii kodur Fonisia nye Siprus nye Antiok, na wɔannka asɛm no annkyerɛ obiara dɛ Jewfo nko.", "#Ndwu 8.1-4"
"ACT.11.20", "Na hɔn mu binom yɛ Siprusfo nye Sirenefo; hɔn na wɔbaa Antiok no, wɔkasaa kyerɛɛ Helenefo  no so kaa Ewuradze Jesus ho asɛmpa no.", "#11.20 Tsetse akyerɛwfo no binom ka dɛ: Griikfo."
"ACT.11.21", "Na Ewuradze ne nsa nye hɔn nam, na nyimpa pii a wɔgyee dzii no wɔdanee baa Ewuradze hɔ.", ""
"ACT.11.22", "Na yinom ho nsɛm dur asɔr a ɔwɔ Jerusalɛm asomu, na wɔsomaa Barnabas dɛ onkekyin nkodu Antiok;", ""
"ACT.11.23", "ɔno na ɔbae, na obohun Nyankopɔn adom no, n'enyi gyee, na otuu hɔn nyina fo dɛ wonsi hɔn adwen pi ntakyer Ewuradze ho:", ""
"ACT.11.24", "osiandɛ Barnabas yɛ nyimpa papa, na Sunsum Krɔnkrɔn nye gyedzi so ahyɛ no ma; na nyimpadodow pii baa Ewuradze hɔ.", ""
"ACT.11.25", "Na ofii hɔ kɔr Tarsus kɔhwehwɛɛ Saul,", ""
"ACT.11.26", "na ohun no no, ɔdze no baa Antiok, na wɔnye asɔrmba no dzii ehyia araa afrenhyia, na wɔkyerɛkyerɛɛ nyimpadodow pii. Antiok hɔ na wodzii kan too esuafo no Kristianfo.", ""
"ACT.11.27", "Na nda no mu no nkɔnhyɛfo fii Jerusalɛm baa Antiok.", ""
"ACT.11.28", "Na hɔn mu kor a ne dzin dze Agabus gyinae nam Sunsum no do kyerɛɛ dɛ ɔkɔm kɛse bi rebɛba asaase nyina do: ɔno na ɔbae wɔ Klaudius ber do no.", "#Ndwu 21.10"
"ACT.11.29", "Na esuafo no, dɛ mbrɛ hɔn mu biara botum no, bɔɔ hɔn tsirmu dɛ wɔdze biribi bɔmona enuanom a wɔtse Judea dze akɔhwɛ hɔn:", ""
"ACT.11.30", "ɔno na wɔyɛe, na wɔdze somaa Barnabas nye Saul dze kɛmaa mpanyimfo no.", ""
