"ACT.12.1", "Dɛm aber no mu, Ɔhen Herod tseen ne nsa tseetsee asɔrmba no binom ho.", ""
"ACT.12.2", "Na ɔdze afona kum James, John no nua no.", ""
"ACT.12.3", "Na ohun dɛ Jewfo no enyi gyee ho no ntsi, ɔtoaa do kɛfaa Peter so: nna ɔyɛ epitsi nda.", ""
"ACT.12.4", "Na ɔkyeer no no, ɔdze no kɔtoo efiadze, na ɔdze no hyɛɛ nsordaafokuw anan ahorow anan nsa dɛ wɔnweɔn no, na ɔdween dɛ apaho afahyɛ no ekyir obeyi no abrɛ ɔman no.", "#Eks 12.1-27"
"ACT.12.5", "Dɛm ntsi wɔdze Peter kesiee efiadze hɔ dze, naaso asɔrmba no bɔɔ mpaa enyiberdo ara kyerɛɛ Nyankopɔn maa no.", ""
"ACT.12.6", "Na anadwe no a adze rebɛkye ma Herod ebeyi no akɔ no, Peter daa nsordaafo beenu ntamu a nna wɔdze nkɔnsɔnkɔnsɔn ebien ato no: na aweɔmfo gyinagyina abowano roweɔn efiadze no enyiber do.", ""
"ACT.12.7", "Na hwɛ, Ewuradze bɔfoe baa ne nkyɛn na kan hyerɛɛn efiadzedan no mu, na ɔbɔɔ Peter ne nkyɛnmu nyaan no see dɛ, Soɛr ntsɛm. Na no nkɔnsɔnkɔnsɔn no fii ne nsa gui.", ""
"ACT.12.8", "Na ɔbɔfo no see no dɛ, Fa w'abɔdo bɔ wo do, na kyekyer wo mpaboa. Na ɔyɛɛ dɛm. Na ɔsee no dɛ, Fura wo tam yie na ka mo do.", ""
"ACT.12.9", "Na opuei kaa no do, na oennhu dɛ dza ɔbɔfo no reyɛ no yɛ ampa, osiandɛ ɔdween dɛ ɔyɛ enyido adzehu.", ""
"ACT.12.10", "Na wɔtraa aweɔmfo no a wodzi kan, nye dza otsia ebien no, wɔbaa dadze abow a ɔdze kɔ kurow no mu no ho, na noara buei maa hɔn, na wopuei na wɔtraa ɔbrɔn kor, na ntsɛmara ɔbɔfo no gyaa no hɔ.", ""
"ACT.12.11", "Na Peter n'enyi baa no ho do no, ɔsee dɛ, Afei na mehu ampa dɛ Ewuradze asoma no bɔfoe na oeyi me efi Herod nsamu, nye dza Jewfo man hɔn enyiwa da kwan nyina mu.", ""
"ACT.12.12", "Na ɔrodwendwen ho no, ɔkɔr John a ɔnoara so wɔfrɛ no Mark no ne na Mary fie, mbrɛ dodowara aboa ano robɔ mpaa no.", ""
"ACT.12.13", "Na ɔbɔɔ paado abow no mu no, abaawa bi a ne dzin dze Roda bae betsiei;", ""
"ACT.12.14", "na ɔtsee Peter ne ndze no, dɛw ntsi oemmbue abow no, na otutuu mbirika kɔr mu kɛkaa dɛ Peter gyina abow no ekyir.", ""
"ACT.12.15", "Na wɔsee no dɛ, Ɔwoara w'adwen nnyɛ edwuma. Na ɔkɔr do ara kaa dɛ ɔtse dɛm. Na wɔsee dɛ, Ɔyɛ no bɔfoe.", ""
"ACT.12.16", "Na Peter kɔr do ara bɔɔ mu; na wobuei no, wohun no, na hɔn ho boow hɔn.", ""
"ACT.12.17", "Na ɔdze ne nsa kyerɛɛ hɔn dɛ wɔnyɛ komm, na ɔkaa mbrɛ Ewuradze duae yii no fii efiadze no kyerɛɛ hɔn; na ɔsee dɛ, Hom nkɛka nsɛm yi nkyerɛ James nye enuanom no. Na ofii hɔ kɔr beebi.", ""
"ACT.12.18", "Na adze kyee no, wentwiwentwi kɛsenara na ɔbaa nsordaafo no mu dɛ, ebɛnadze ara na ayɛ Peter.", ""
"ACT.12.19", "Na Herod hwehwɛɛ no, na oennhu no no, ɔnye aweɔmfo no kɔr nhwehwɛmu, na ɔhyɛɛ dɛ wonkoku hɔn. Na ofii Judea kɔr Kaesarea kɛtsenaa hɔ.", ""
"ACT.12.20", "Na Herod nyaa Taefo nye Sidonfo ho ebufuw no; wɔyɛɛ adwenkor baa ne nkyɛn, na wɔbɛfaa ɔhen no ne pianyi Blastus nyɛnko, na woduaa no do serɛɛ amandwee, osiandɛ nna wonya hɔn edziban fi ɔhen no ne nsaase do.", ""
"ACT.12.21", "Na da a wɔhyɛe no durii no, Herod hyɛɛ n'ahentar, na ɔtsenaa asɛndzii egua do, na ɔkasaa kyerɛɛ ɔman no.", ""
"ACT.12.22", "Na ɔman no bɔɔ ose dɛ, Ampa, Nyame bi ndze nye yi, na nnyɛ nyimpa dze bi a!", ""
"ACT.12.23", "Na ntsɛmara Ewuradze no bɔfoe bɔbɔɔ no, osiandɛ ɔammfa enyimnyam amma Nyankopɔn: na nsaamaa dzii no honam ma owui.", ""
"ACT.12.24", "Na Nyankopɔn asɛm nyinii, na ɔtserɛwee.", ""
"ACT.12.25", "Na Barnabas nye Saul wiee hɔn som no, wɔsanee fii Jerusalɛm na wɔfaa John a wɔtoo no Mark so no kaa hɔn ho.", ""
