"ACT.17.1", "Na wokotwaa mu wɔ Amfipolis nye Apollonia no, wɔbaa Tesalonika mbrɛ Jewfo nhyiamudan bi wɔ:", ""
"ACT.17.2", "na dɛ mbrɛ Paul tɔ yɛ no, ɔkɔr mu wɔ hɔn nkyɛn ahomgyeda ebiasa, na ɔnye hɔn yɛɛ mpɛnsampɛnsamu wɔ kyerɛwnsɛm no mu,", ""
"ACT.17.3", "na obuee asɛm no do kyerɛkyerɛɛ hɔn mu kofee dɛ otwar dɛ Kraest no hu amandze, na ɔsoɛr fi ewufo mu; na ɔkae sɔɔw do dɛ, Jesus a meka hom no ho asɛm yi ɔnoara nye Kraest no.", ""
"ACT.17.4", "Na hɔn mu binom gyee dzii, na wɔdze hɔnho bɔɔ Paul nye Silas ho, a Griikfo nyamesurofo nyimpadodow pii, nye mbaa a wɔyɛ etsitsir so pii ka ho.", ""
"ACT.17.5", "Na Jewfo no dze, nyinkun kaa hɔn, na wɔfaa ehuhufo no mu nyimpa bɔn bi kaa hɔn ho, na wɔmaa nyimpadodow behyiae, na wɔmaa kurow no mu yɛɛ wentwiwentwi, na wɔkɛkyeer Jason dan ho hwehwɛɛ dɛ woyi hɔn pue kɛma nkorɔfo no.", ""
"ACT.17.6", "Na woennhu hɔn no, wotwuuw Jason nye enuanom no bi adze kɛmaa kurow no mu etsitsir no, na wɔtseatseaa mu dɛ, Yinom a wɔadan wiadze tsir esi famu yi, wɔaba ha so:", ""
"ACT.17.7", "hɔn na Jason agye hɔn esie, na hɔn nyina yɛ dza otsia Kaesar mbransɛm no, eso wɔka dɛ ɔhen fofor bi so wɔ hɔ, Jesus bi.", ""
"ACT.17.8", "Na iyi haaw nyimpadodow no nye kurow no mu etsitsir a wɔtsee yinom no.", ""
"ACT.17.9", "Na wɔmaa Jason nye nkaa no dzii egyinamu maa hɔn no, wɔmaa wɔkɔree.", ""
"ACT.17.10", "Na ntsɛmara enuanom no gyaa Paul nye Silas kwan anadwe kɔr Beroa, na wodur hɔ no, wɔkɔr Jewfo nhyiamudan no mu.", ""
"ACT.17.11", "Na iyinom yɛ enyimdzefo sen hɔn a wɔwɔ Tesalonika, osiandɛ wosiesiee hɔn adwen mu tsiee asɛm no, na wɔhwehwɛɛ kyerɛwnsɛm no mu daa, kyerɛ dɛ ndzɛmba yi tse dɛm anaa.", ""
"ACT.17.12", "Dɛm ntsi hɔn mu dodowara gyee dzii, nye Griikfo mbaa a wɔwɔ dzin, nye mbarimba no so pii.", ""
"ACT.17.13", "Na Jewfo a wɔwɔ Tesalonika tsee dɛ Paul akɛka Nyankopɔn asɛm no wɔ Beroa so no, wɔbaa hɔ so na wobohuur nyimpadodow no akoma na wɔhaaw hɔn.", ""
"ACT.17.14", "Na afei ntsɛmara enuanom no gyaa Paul kwan dɛ ɔnkɔ po ho, na Silas nye Timoti dze, wɔtsenaa hɔ.", ""
"ACT.17.15", "Na hɔn a wokegyaa Paul kwan no dze no kɔree kodur Atens, na ɔmaa hɔn nkra dɛ Silas nye Timoti mbra ne nkyɛn ntsɛntsɛm no, wosii mu kɔree.", ""
"ACT.17.16", "Na Paul rotweɔn hɔn wɔ Atens no, ohun dɛ abosonsom ahyɛ kurow no ma, na ɔyɛɛ no ahomtsew pii.", ""
"ACT.17.17", "Dɛm ntsi ɔnye Jewfo nye nyamesurofo no yɛɛ nhwehwɛmu dzendzenndzen wɔ nhyiamudan mu, na guado so daa nyina ɔnye hɔn a ohyiaa hɔn no dzii anokɔnkɔn.", ""
"ACT.17.18", "Na Epikurufo nye Stoafo enyansapɛfo bi so nye no dzii anokɔnkɔn. Na binom see dɛ, Ɔkasakasafo yi se dɛn nye yi? Binom so see dɛ, Ɔyɛ dɛ ɔka anana abosom bi ho asɛm: osiandɛ ɔkaa Jesus nye wusoɛr no ho asɛmpa no.", ""
"ACT.17.19", "Na wosuoo no mu dze no kɔr Areopagus dɛ, Ana yebotum ehu nkyerɛkyerɛ fofor a erekyerɛ yi?", ""
"ACT.17.20", "Na edze nsɛm fofor bi aba hɛn asomu: dɛm ntsi yɛpɛ dɛ yɛtse ndzɛmba yi ase.", ""
"ACT.17.21", "(Osiandɛ nna Atensefo nye ahɔho a wɔabɛtsena hɔ nyina, wonnya biribiara ho adagyer ka dɛ wɔbɛka anaadɛ wobetsie asɛm fofor bi.)", ""
"ACT.17.22", "Na Paul gyinaa Areopagus finimfin, na ɔsee dɛ: Atens mbarimba, mehu dɛ hom wɔ gyedzi wɔ ndzɛmba pii mu dodow.", ""
"ACT.17.23", "Na murutwa mu, na mohwɛɛ hom adze a hom sɔr no, muhun afɔrmbukyia so a wɔakyerɛw do dɛ, NYAME A WONNYIM NO DZE A. Dɛm ntsi nyia hom nnyim na hom sɔr no no, ɔno na mereka no ho asɛm kyerɛ hom yi.", ""
"ACT.17.24", "Nyankopɔn a ɔyɛɛ wiadze nye dza ɔwɔ mu nyina, ɔno a ɔyɛ sor nye asaase wura no ntsi, ɔnntse asɔrdan a wɔdze nsa ayɛ mu;", "#1 Ahe 8.27; Isa 42.5; Ndwu 7.48"
"ACT.17.25", "eso wɔnndze nyimpa nsa som no, dɛ gyama ohia no biribi, osiandɛ ɔno na ɔma nyimpa nyina nkwa nye ahom nye adze nyina;", ""
"ACT.17.26", "na ofi adze kor mu yɛɛ nyimpa amanaman nyina, dɛ wɔntsena asaase enyi nyina, na ɔhyɛɛ hɔn hyɛber, nye hɔn tsenabea he too hɔ,", ""
"ACT.17.27", "dɛ wɔnhwehwɛ Nyankopɔn, dɛ bi a hɔn nsa bɛka no, na woehu no, naaso ɔnye hɛn mu biara ntamu kwan nnwar koraa:", ""
"ACT.17.28", "na no mu na yɛtse ase, na yɛkeka hɛnho, na yɛwɔ hɔ; dɛ mbrɛ homankasa hom ndwomkyerɛwfo binom aka dɛ, Hɛn nyinara so yɛ ne mbanana.", ""
"ACT.17.29", "Na osiandɛ yɛyɛ Nyankopɔn ne mbanana ntsi, ɔnnsɛ dɛ yesusu dɛ Nyame suban tse dɛ sika anaa dwetɛ, anaa ɔbo, edwin a nyimpa dze ne nyansaa nye n'adwen edzi.", ""
"ACT.17.30", "Na mber a wonnyim no dze, Nyankopɔn buu enyi guu do, na afei dze, ɔhyɛ nyimpa nyina wɔ mbea nyina dɛ wonnu hɔnho,", ""
"ACT.17.31", "osiandɛ ɔahyɛ da bi a ɔnam ɔbarimba bi a oeyi no esi hɔ no do bobu wiadze atsɛn wɔ tsenenee mu; ɔno na ɔama ɔasoɛr efi ewufo mu dze esi no pi ama nyimpa nyina dɛ wɔmfa ndzi dase.", ""
"ACT.17.32", "Na wɔtsee ewufo soɛr no, binom sii atwetwe, na binom so see dɛ, Yebetsie wo wɔ asɛm yi ho bio.", ""
"ACT.17.33", "Na mbrɛ Paul sii fii hɔn nkyɛn kɔree nye no.", ""
"ACT.17.34", "Naaso nyimpa bi dze hɔnho bɔɔ no ho na wɔgyee dzii: hɔn mu bi nye Dionisius Areopagusnyi no, na ɔbaa bi a ne dzin dze Damaris, nye binom a wɔka hɔn ho no.", ""
