"ACT.18.1", "Na iyinom ekyir no, Paul fii Atens baa Korinte.", ""
"ACT.18.2", "Na obohun Jewnyi bi wɔ hɔ a ne dzin dze Akwila a wɔwoo no wɔ Pontus na ofi Itali baa hɔ nnkyɛree, nye ne yer Prisila, osiandɛ nna Klaudius ahyɛ dɛ Jewfo nyina mfi Rome nkɔ: na ɔbaa hɔn nkyɛn;", ""
"ACT.18.3", "na dɛ ɔnye hɔn yɛ edwuma kor ntsi, ɔtsenaa hɔn nkyɛn, na wɔyɛɛ edwuma; nna wɔyɛ ntamadanyɛfo.", ""
"ACT.18.4", "Na daa ahomgyeda ɔbɛkaa asɛm wɔ nhyiamudan mu, dɛ ɔrema Jewfo nye Griikfo agye edzi.", ""
"ACT.18.5", "Na Silas nye Timoti fii Masidonia sianee bae no, asɛm no hyɛɛ Paul do, na odzii dase kyerɛɛ Jewfo no dɛ Jesus nye Kraest no.", ""
"ACT.18.6", "Na wɔyɛɛ kyikyiikyi, na wɔkaa ebususɛm no, ɔpopoo n’atar mu kaa kyerɛɛ hɔn dɛ, Hom bɔgyaa ngu homankasa hom etsifi: emi dze, minndzi so; ofitsi ndɛ mobɔkɔ Amanamamfo no hɔ.", ""
"ACT.18.7", "Na ofii hɔ kɔr obi a ne dzin dze Titus Justus a ɔyɛ nyamesuronyi a ne dan wɔ nhyiamudan no ho no ne fie.", ""
"ACT.18.8", "Na Krispus, nhyiamudan mu panyin nye ne fiemba nyina gyee Ewuradze dzii; na Korintefo no pii tsee no, wɔgyee dzii, ma wonumaa hɔn.", ""
"ACT.18.9", "Na Ewuradze see Paul wɔ enyido adzehu mu anadwe dɛ, Mma nnsuro, na kasa, na mma mmua w’ano:", ""
"ACT.18.10", "na emi mara meka wo ho, na obiara rennka wo mmbɛyɛ wo bɔn bi; osiandɛ mowɔ nkorɔfo pii wɔ kurow yi mu.", ""
"ACT.18.11", "Na ɔtsenaa hɔ afrenhyia abosoom esia kyerɛkyerɛɛ hɔn Nyankopɔn asɛm no.", ""
"ACT.18.12", "Na Galio dzii Akaia ambrado no, Jewfo no yɛɛ adwenkor soɛɛr Paul do, na wɔdze no baa asɛndzi egua enyim dɛ,", ""
"ACT.18.13", "Oyi otu nyimpa aso suma dɛ wɔnsom Nyankopɔn wɔ kwan bi do a otsia hɛn mbra.", ""
"ACT.18.14", "Na Paul reyɛ ebue n’ano no, Galio see Jewfo no dɛ, Jewfo, sɛ ɔyɛ mfom anaa ehuhusɛm bi a omuo a nkyɛ ɔsɛ dɛ misie hom ho abotar tsie hom;", ""
"ACT.18.15", "na sɛ ɔyɛ asɛm nye edzin nye hom mbra ho asɛmbisa a, ɔnodze, homara hom nhwɛ: na emi dze, memmpɛ dɛ meyɛ dɛm asɛm yi ho ɔtsɛmbuafo.", ""
"ACT.18.16", "Na ɔpaam hɔn fii asɛndzi egua enyim hɔ.", ""
"ACT.18.17", "Na hɔn nyina suoo nhyiamudan mu panyin Sostenes mu hwee no asɛndzi egua enyim hɔ. Na Galio dze, ɔammfa yinom mu biara annyɛ hwee.", ""
"ACT.18.18", "Na Paul daa ho tsenaa hɔ nda kakra ara no, ɔkraa enuanom no, na ofii hɔ faa nsuenyi kɔr Siria, na Prisila nye Akwila ka no ho; na ɔpraa ne tsir wɔ Kenkreae; osiandɛ nna oedzi nsew bi.", ""
"ACT.18.19", "Na wɔbaa Efeso, na ogyaa hɔn hɔ; na nankasa dze ɔkɔr nhyiamudan mu nye Jewfo kɛyɛɛ mpɛnsampɛnsamu dzendzenndzen.", ""
"ACT.18.20", "Na wɔserɛɛ no dɛ ɔntsena hɔn nkyɛn nkyɛr kakra, naaso ɔammpen;", ""
"ACT.18.21", "na ɔkraa hɔn dɛ, Sɛ Nyankopɔn pɛ a, mebɛsan aba hom nkyɛn bio no, ofii Efeso sii nsuenyi.", ""
"ACT.18.22", "Na odwiir daadze wɔ Kaesarea no, ɔkɔree kekyiaa asɔrmba no, na osianee kɔr Antiok.", ""
"ACT.18.23", "Na odzii hɔ mber kakra no, ofii hɔ kekyiin Galatia nye Frigyia nkurow mu esiado esiado, hyɛɛ esuafo no nyina dzen.", ""
"ACT.18.24", "Na Jewnyi bi a ne dzin dze Apollos a wɔwoo no wɔ Alɛksandria na ɔyɛ nyimpa n’ano atsew yie, baa Efeso, na onyim kyerɛwnsɛm no yie.", ""
"ACT.18.25", "Nyimpa yi na wɔakyerɛkyerɛ no Ewuradze kwan no mu; na ɔyɛ hyew wɔ sunsum mu, ɔkae na ɔkyerɛkyerɛɛ dza ɔfa Jesus ho no pɛpɛɛpɛ, naaso nna John enuma no ho asɛm nko na onyim;", ""
"ACT.18.26", "na ɔhyɛɛ ase dze ndam kasae wɔ nhyiamudan mu. Ɔno na Prisila nye Akwila tsiee no no, wɔfaa no baa hɔn nkyɛn, na wɔkyerɛkyerɛɛ no ma ɔkɔr kan wɔ Nyankopɔn kwan no mu ara yie.", ""
"ACT.18.27", "Na onyaa adwen dɛ obotwa mu akɔ Akaia no, enuanom no hyɛɛ no dzen na wɔkyerɛɛw nwoma kɛmaa esuafo no dɛ wɔngye no; na ɔbae no, ɔboaa hɔn a wɔnam adom do agye edzi no pii,", ""
"ACT.18.28", "osiandɛ ɔkaa Jewfo no gui wɔ bagua mu, na ɔnam kyerɛwsɛm no do kyerɛɛ mu kofee dɛ Jesus nye Kraest no.", ""
