"ACT.22.1", "Paul dze Hebriw kasa see dɛ, Enuanom nye egyanom, hom ntsie m’anoyi a miriyi akyerɛ hom yi.", ""
"ACT.22.2", "Na wɔtsee dɛ ɔrekasa kyerɛ hɔn wɔ Hebriw kasa mu no, wɔyɛɛ komm koraa: na ɔsee dɛ:", ""
"ACT.22.3", "Meyɛ Jewnyi a wɔwoo me wɔ Tarsus wɔ Silisia, na wɔtsetsee me kurow yi mu, wɔ Gamaliel anan ho, wɔkyerɛkyerɛɛ me egyanom mbra no mu ketsee, na mobɔɔ Nyankopɔn ho mbɔdzen, dɛ mbrɛ hom nyina yɛ ndɛ yi;", "#Ndwu 5.34-39"
"ACT.22.4", "na meyɛɛ Ɔkwan yi do akadofo ayakayakadze kɔr owu mu, mekyekyeer mbarimba nye mbaa, na miyii hɔn mae, ma wɔdze hɔn koguu efiadze;", "#Ndwu 8.3; 26.9-11"
"ACT.22.5", "dɛ mbrɛ ɔsɔfopanyin no so nye mpanyimfo nyina dzi me dase no: hɔn hɔ so na mekɛgyee nwoma dɛ medze rekɛma enuanom no, mokɔr Damaskɔs dɛ merekɛfa hɔn a wɔwɔ hɔ no so aba Jerusalɛm wɔ nkyehoma mu, ma wɔaatsea hɔn.", ""
"ACT.22.6", "Na ɔbaa dɛ menam na mebɛɛn Damaskɔs bɛyɛ wigyinae no, awerɛfir mu na kan kɛse fi sor bɛhyerɛnee botwaa mo ho hyiae.", ""
"ACT.22.7", "Na mohwee daadze, na metsee ndze bi a ɔsee me dɛ, Saul, Saul, ɔyɛ dɛn na etaa mo do yi?", ""
"ACT.22.8", "Na mubuaa dɛ, Woana nye wo, Ewuradze? Na ɔsee me dɛ, Emi nye Nazarɛtnyi Jesus a etaa no do no.", ""
"ACT.22.9", "Na hɔn a wɔnye me nam no hun kan no dze, naaso wɔanntse nyia ɔkasaa kyerɛɛ me no ne ndze.", ""
"ACT.22.10", "Na mesee dɛ, Ebɛnadze na menyɛ, Ewuradze? Na Ewuradze see me dɛ, Soɛr, na kɔ Damaskɔs, na hɔ na wɔbɛka wo dza wɔahyɛ wo dɛ yɛ nyina ho asɛm.", ""
"ACT.22.11", "Na kan no ne hyerɛn kɛse ntsi munnhu adze no, hɔn a wɔnye me nam no susuoo me nsa dze me baa Damaskɔs.", ""
"ACT.22.12", "Na Ananias bi a ɔyɛ nyamesuronyi dɛ mbrɛ mbra no tse, na Jewfo a wɔwɔ hɔ nyina bɔɔ no dzin pa no,", ""
"ACT.22.13", "baa mo hɔ begyinaa me nkyɛn see me dɛ, Onua Saul, hu adze. Na dɔn no ara mu na memaa m’enyi do hwɛɛ no.", ""
"ACT.22.14", "Na ɔsee dɛ, Hɛn egyanom Nyankopɔn no eyi wo ato hɔ dɛ ihu ne pɛ, na ihu ɔtseneneenyi no, na etse ɔnoara ne ndze.", ""
"ACT.22.15", "Na ebɛyɛ ne dasefo ama nyimpa nyina wɔ dza ehu nye dza atse ho.", ""
"ACT.22.16", "Na afei, ebɛnadze ntsi na irikyinkyim? Soɛr ma wonnuma wo nhohor wo bɔn, na paa mu bɔ ne dzin no.", ""
"ACT.22.17", "Na ɔbaa dɛ mesanee baa Jerusalɛm, na morobɔ mpaa wɔ asɔrfi mu no, m’enyiwa wiaa me ma mokɔr tsebea fofor mu,", ""
"ACT.22.18", "na muhun no na ɔsee me dɛ, Yɛ ntsɛm fi Jerusalɛm, osiandɛ wɔrenngye wo dasee a ibedzi wɔ mo ho no.", ""
"ACT.22.19", "Na mesee dɛ, Ewuradze, hɔnankasa nyim dɛ hɔn a wɔgye wo dzi nyina medze hɔn guu efiadze, na mohwee hɔn nhyiamudan nyina mu;", ""
"ACT.22.20", "na wɔreka wo dasefo Stefen no bɔgyaa egu no, mo so migyinaa hɔ bi, na mepeen no wu do, na mohwɛɛ hɔn a wokum no no hɔn ntar do.", "#Ndwu 7.58"
"ACT.22.21", "Na ɔsee me dɛ, Kɔ, na morosoma wo efi ha akɔ ekyirekyir wɔ amanaman mu.", ""
"ACT.22.22", "Na wotsiee no besii asɛm yi do, na wɔmaa hɔn ndze do see dɛ, Wonyi dɛm nyimpa yi mfi asaase do: na ɔnnsɛ dɛ ɔbɛtsena ase.", ""
"ACT.22.23", "Na woruhuro, na wɔrotow hɔn ntar gu, na worutu huntuma gu wimu no,", ""
"ACT.22.24", "safohen panyin no hyɛɛ dɛ wɔmfa no mbra aban mu, na ɔkaa dɛ wɔnka no mpire mbisa no asɛm, ama oeehu adze kor a osian ntsi ma woruhuro gu no do yi.", ""
"ACT.22.25", "Na wɔdze nguanhoma dweer ne nsa no, Paul see ɔhamupanyin a ogyinaa hɔ no dɛ, Ana hom wɔ kwan dɛ hom ka nyimpa a ɔyɛ Romenyi na wommbuu no fɔ mpire?", ""
"ACT.22.26", "Na ɔhamupanyin no tsee no, ɔkɔr safohen panyin no hɔ kɛkaa kyerɛɛ no dɛ, Ebɛnadze na erebɛyɛ yi? Hwɛ, nyimpa yi yɛ Romenyi.", ""
"ACT.22.27", "Na safohen panyin no bae bɛsee no dɛ, Sɛ eyɛ Romenyi a, ka kyerɛ me. Na ɔsee dɛ, Nyew.", ""
"ACT.22.28", "Na ɔsafohen panyin no buaa dɛ, Medze sika kɛse na medze nyaa ɔmambayɛ yi. Na Paul see dɛ, Emi dze, wɔdze woo me.", ""
"ACT.22.29", "Dɛm ntsi ntsɛmara hɔn a nkyɛ woribebisa no asɛm no fii ne nkyɛn, na ɔsafohen panyin no so hun dɛ ɔyɛ Romenyi na dɛ ɔakyekyer no no, osuroi.", ""
"ACT.22.30", "Na adze kyee no, na ɔpɛɛ dɛ ohu siantsir a ɔnam do ma Jewfo nye no robɔ nkuro no mu nokwar no, ɔsaan no na ɔhyɛɛ asɔfompanyin nye baguafo no nyina dɛ wombehyia, na ɔdze Paul sianee bae begyinaa hɔn enyim.", ""
